dt,n_open,n_kept,n_no_band,n_slot,n_ep
2026-05-04,1168524,1167552,10,171818,463666
2026-05-05,1362666,1361965,1,255190,648588
2026-05-06,1917798,1916856,1,284391,968210
2026-05-07,2103767,2103032,6,268305,1032384
2026-05-08,2238003,2236998,3,367470,943739
2026-05-09,306960,306029,78,45675,134005
2026-05-10,308608,307992,8,74437,177831
2026-05-11,2298291,2296761,1,473138,1603697
2026-05-12,3146651,3145183,1,635845,1937246
2026-05-13,2821353,2820206,2,471063,1695640
2026-05-14,3218518,3217503,21,357012,1765681
2026-05-15,4220558,4219335,0,546416,2321644
2026-05-16,444035,443404,4,67557,242057
2026-05-17,664088,663459,11,133335,377249
2026-05-18,4572456,4570926,2,716231,2324630
2026-05-19,5033239,5032114,10,653558,2533524
2026-05-20,4101058,4099205,17,397677,2011162
2026-05-21,4198751,4197721,5,363032,1995246
2026-05-22,2718649,2718006,24,284379,1425384
2026-05-23,632322,631633,6,134462,420853
2026-05-24,692734,691857,0,103677,425515
2026-05-25,910242,909572,4,140383,512062
2026-05-26,4265347,4264010,10,827020,2252260
2026-05-27,5542871,5540292,1,830105,3114361
2026-05-28,5031228,5030282,44,652396,2819815
2026-05-29,3166347,3165406,11,420575,1864625
2026-05-30,585947,584998,4,93802,370474
2026-05-31,627925,627140,7,113501,408138
2026-06-01,3252227,3251393,12,147092,829690
2026-06-02,3232833,3231586,0,111056,870116
2026-06-03,3044890,3044086,3,91096,866200
2026-06-04,4990592,4989405,2,326316,1575023
2026-06-05,7544515,7543308,0,1064978,4005735
2026-06-06,1542501,1541395,24,285315,1116862
2026-06-07,1797479,1796485,39,310249,1236320
2026-06-08,6383919,6382489,29,892710,3731289
2026-06-09,6475031,6472786,0,1144096,3716856
2026-06-10,8464379,8463263,34,911138,4839329
2026-06-11,7014682,7013274,24,993826,4187405
2026-06-12,5371362,5370433,3,494672,2962637
2026-06-13,746612,745776,10,95630,475355
2026-06-14,768272,767433,18,81712,344407
2026-06-15,2958996,2958180,10,99317,850173
2026-06-16,4115148,4114069,6,178511,1226631
2026-06-17,4620028,4619140,4,131535,1294165
2026-06-18,3710238,3708978,10,120208,940403
2026-06-19,1702060,1700949,6,72180,560812
2026-06-20,883234,882625,10,37627,359542
2026-06-21,777573,776837,8,38296,328971
2026-06-22,3754992,3753590,60,157082,1112397
2026-06-23,6385400,6382487,2,308772,2029200
2026-06-24,6799763,6796956,5,369240,2002326
2026-06-25,6043166,6040987,0,248434,1945350
2026-06-26,6661530,6660308,3,183803,1949462
2026-06-27,810757,809301,0,34390,304902
2026-06-28,1067433,1066566,8,54520,409692
2026-06-29,5747994,5745783,1,255805,1687383
2026-06-30,4216500,4215048,4,98073,1218498
2026-07-01,5384318,5382743,10,234838,1489332
2026-07-02,9101333,9099007,11,645532,3763589
2026-07-03,2866073,2864763,0,277814,1297935
2026-07-04,687815,686944,2,23031,293578
2026-07-05,1114362,1113813,36,39404,420409
2026-07-06,6281861,6280318,5,411824,2379291
2026-07-07,8867548,8865034,3,840183,5224332
2026-07-08,10613548,10610994,44,1006206,5979118
2026-07-09,9754850,9752644,18,761303,3834378
2026-07-10,8933085,8931418,64,547600,4631645
2026-07-11,1479027,1478132,10,122004,816134
2026-07-12,1706732,1706002,12,158560,913663
2026-07-13,10324332,10322447,49,759642,5126222
2026-07-14,9638255,9636569,11,896282,4935159
2026-07-15,8632627,8630272,53,1021744,4400823
2026-07-16,11127010,11123879,43,898053,5440582
2026-07-17,14427623,14425052,6,1144966,6483422
2026-07-18,1041424,1040043,20,99393,657631
2026-07-19,2162201,2161158,10,219097,1142574
2026-07-20,11768140,11766613,16,651505,5106810
2026-07-21,9576978,9574609,2,1092421,4442803
2026-07-22,10803147,10800998,8,796636,5001829
2026-07-23,13670170,13668073,13,581183,5831846
2026-07-24,12475415,12473111,0,979864,5517235
2026-07-25,1275683,1274746,11,165990,782635
2026-07-26,1936487,1935508,5,192618,1059530
2026-07-27,13878010,13876336,14,1123402,6278441
2026-07-28,18208850,18206611,2,1380622,8254075
2026-07-29,23378120,23373992,13,1845710,10578060
2026-07-30,16315277,16310592,0,1824383,7676654
2026-07-31,16721345,16718961,0,1336775,7906841
2026-08-01,1506106,1504744,60,152963,913879
2026-08-02,3455159,3454026,10,365818,1965824
2026-08-03,13987634,13985273,9,1020736,6520853
2026-08-04,17709546,17707108,0,1164979,8180028
2026-08-05,18400353,18398298,0,908615,8795089
2026-08-06,16460135,16457926,17,1033424,7744006
2026-08-07,12770592,12768602,10,899920,6121670
2026-08-08,1074259,1073300,1,104606,733958
2026-08-09,1222179,1221288,3,96752,752470
