feat,bin_i,bin,n_full,n_sub,fill_rate,spread_bp_mean_full,spread_bp_med,spread_bp_q1,spread_bp_q3,qsize_mean_full,qsize_med,qsize_q1,qsize_q3,fillsz_mean_full,fillsz_med,fillsz_q1,fillsz_q3
OBI,0,−1.00〜−0.75,3805179,114191,0.14096603602616328,4.7888669844857255,2.532286654848826,1.1941367894339652,4.636068613814562,107.89548279252091,25.564,9.343,68.264,1.4318561037470512,0.0,0.0,0.0
OBI,1,−0.75〜−0.50,1851400,55521,0.13183968888408773,5.505573459910942,3.272072858155765,1.7951709900368689,5.534544783691751,34.00285412660803,10.546,4.6419999999999995,30.130000000000003,1.202624408555782,0.0,0.0,0.0
OBI,2,−0.50〜−0.25,1471059,44368,0.1292409074007229,5.825039083052666,3.3653037186597006,1.852938451561171,5.57326522309973,24.083811565001973,10.662,3.4829999999999997,23.2635,1.167776093956815,0.0,0.0,0.0
OBI,3,−0.25〜0,1525539,45733,0.11802779214428474,6.273546913905882,3.600360036004711,2.1755683672355075,5.880047040375154,20.965727864052283,10.064,2.768,22.000999999999998,1.0263850521029212,0.0,0.0,0.0
OBI,4,ちょうど 0,186404,5607,0.03812149953863651,5.825109012124578,2.3278822091597537,1.6542141557127437,4.384091401369672,2.896201036458693,1.188,1.12,1.3290000000000002,0.3371798942082789,0.0,0.0,0.0
OBI,5,0〜+0.25,1602330,48075,0.11479345702820268,6.59762717650545,3.6163562627537615,2.2193863396766376,6.084290842428683,20.082822105933307,9.927,2.569,20.17,0.9696466370847524,0.0,0.0,0.0
OBI,6,+0.25〜+0.50,1507092,45230,0.12760800269658387,5.932461147139833,3.4219231207940157,1.8582467455337697,5.657708628004897,23.823844349914594,10.3745,3.24375,23.195749999999997,1.1501357952931759,0.0,0.0,0.0
OBI,7,+0.50〜+0.75,1858188,55626,0.13035925320796388,5.601483831860924,3.3319450254760525,1.8254282150355126,5.515846568506168,29.152779587426544,10.863,4.54425,30.104749999999996,1.2249532700675072,0.0,0.0,0.0
OBI,8,+0.75〜+1.00,3778105,112826,0.1391374776508329,4.708801436477691,2.625016406353137,1.228501228501857,4.637609466999212,76.38657181337142,25.5465,9.494,68.48750000000001,1.3926218985444196,0.0,0.0,0.0
OFI_z,0,< −2σ,469634,14167,0.04138967791940107,4.038029959142849,2.3494860499277808,0.7030124081683647,4.120677025476244,110.25916498805584,62.697,18.796499999999998,149.2235,2.7068116490714034,0.0,0.0,0.0
OFI_z,1,−2〜−1σ,741968,22229,0.044987115347292606,4.616673397162484,2.7285129604360185,1.1501523951929515,4.669624095261062,84.8882518262255,42.448,15.685,101.198,1.5557044481702744,0.0,0.0,0.0
OFI_z,2,−1〜−0.5σ,1111980,33455,0.05601000017985935,5.176257660717486,2.9826706833288363,1.5718327667026246,4.870706422945611,56.55836748232808,25.917,11.9565,54.5805,1.3351103320203872,0.0,0.0,0.0
OFI_z,3,−0.5〜0σ,6301402,189066,0.15531004052748895,5.444949044923993,3.0913721277674497,1.7558748646513789,5.391622766354086,44.28398138032432,11.249,4.54725,27.288,1.0826217489377021,0.0,0.0,0.0
OFI_z,4,ちょうど 0,30304,893,0.030656019007391764,3.4375652838887722,2.16134435618912,1.2499218798831468,3.22362270719725,11.361478022703185,1.33,1.166,8.434,0.2158575765575503,0.0,0.0,0.0
OFI_z,5,0〜+0.5σ,6367843,190745,0.16425781854232274,5.572781439214586,3.1235358425727284,1.768815777836805,5.480953685942212,48.79514305471136,11.141,4.485,27.309,1.0638238128673072,0.0,0.0,0.0
OFI_z,6,+0.5〜+1σ,1111781,33341,0.05614774852241584,5.249390674377796,3.0003900507055685,1.6115602589240763,4.8566193514211635,55.08200751946808,25.726,12.369,53.984,1.3056357816872122,0.0,0.0,0.0
OFI_z,7,+1〜+2σ,733306,21889,0.04584852708146395,4.7383702361221145,2.7741559630472965,1.1914690813779476,4.675518982606804,82.5896287197989,42.189,15.829,100.562,1.5179001249137478,0.0,0.0,0.0
OFI_z,8,> +2σ,469578,13979,0.04202070795480197,3.8171298056863927,2.298454289491494,0.9310770278874785,4.077471967381482,111.5113189118765,64.389,20.341499999999996,150.6045,2.693811615961572,0.0,0.0,0.0
