feat,x_form,y_kind,day_type,hor,sample,n,beta,r,r2,t
churn_top|全窓,log1p,絶対値,全日,後ろ向き(帰無対照)|5m,sub,28061.0,0.0005418562769800308,0.2734029145143265,0.07474915366492814,47.61123960706372
churn_bid|全窓,生,絶対値,立会日,後ろ向き(帰無対照)|30s,full,57867821.0,5.150502900021614e-7,0.2116466841681985,0.04479431891939317,1647.3336797280658
churn_top|動いた窓,生,符号つき,閉場日,後ろ向き(帰無対照)|1s,sub,1108966.0,-5.5393200112642335e-8,-0.0004963326849728192,2.463461341723278e-7,-0.522674910087858
churn_bid|全窓,生,符号つき,全日,後ろ向き(帰無対照)|500ms,sub,16934217.0,1.1913017126524666e-8,0.006510562223146805,0.00004238742046146627,26.792314537421678
churn_total|動いた窓,生,絶対値,閉場日,後ろ向き(帰無対照)|30s,sub,34988.0,4.0449978911391183e-7,0.14966780567115376,0.022400452054418245,28.313596672193775
churn_total|動いた窓,log1p,絶対値,全日,前向き|2m,full,55226176.0,0.00022143339792296792,0.24225655978868868,0.0586882407606505,1855.5868324851033
churn_cnt|動いた窓,log1p,符号つき,閉場日,前向き|100ms,sub,11141737.0,4.169020171464883e-7,0.0007337719465077421,5.384212694817608e-7,2.449275471010115
churn_total|全窓,生,符号つき,立会日,後ろ向き(帰無対照)|30s,sub,192853.0,-3.7188538667382965e-9,-0.002020509352459057,4.082458043374517e-6,-0.8873045307447309
churn_cnt|全窓,生,符号つき,立会日,後ろ向き(帰無対照)|1m,full,57847721.0,-2.586796639042176e-7,-0.005243980142324635,0.000027499327733095103,-39.885048950635735
churn_top|全窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|30s,sub,192853.0,-6.317101924833238e-7,-0.0008071028119892071,6.514149491208853e-7,-0.35443773245470833
churn_total|全窓,log1p,符号つき,立会日,前向き|200ms,full,57887787.0,-2.2928324284379737e-8,-0.0005312607937475176,2.822380309732424e-7,-4.042046395954232
churn_cnt|動いた窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|1s,sub,1108966.0,0.00004768933597431878,0.026265094505784493,0.0006898551893977908,27.668622856076595
churn_deep|全窓,生,絶対値,全日,前向き|1s,full,84670773.0,7.24681454218529e-8,0.049423943541445726,0.0024427261951880147,455.3394013361203
churn_total|全窓,生,符号つき,立会日,前向き|2s,full,57886581.0,-5.504713686440494e-10,-0.0011492410517094259,1.3207549949341873e-6,-8.743802910119989
churn_deep|動いた窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|1s,full,44159196.0,-1.5612941720776208e-7,-0.0012273285188460399,1.506335293172814e-6,-8.15589680168032
churn_deep|全窓,log1p,絶対値,立会日,後ろ向き(帰無対照)|1s,full,57887251.0,0.0000212721533174558,0.2240739415653439,0.05020913128862916,1749.3181981909381
churn_bid|全窓,生,符号つき,立会日,前向き|2s,full,57886581.0,-8.940083805499497e-9,-0.010092662021612889,0.00010186182668250716,-76.79214386857102
churn_top|動いた窓,log1p,符号つき,閉場日,後ろ向き(帰無対照)|5s,sub,216967.0,-9.338735349772965e-7,-0.0030538552323983188,9.32603178044659e-6,-1.4224771899482205
churn_deep|全窓,生,符号つき,全日,後ろ向き(帰無対照)|5s,full,84666853.0,-1.7021724389481477e-9,-0.0010638177382337095,1.1317081801806854e-6,-9.788681029902158
churn_deep|全窓,生,符号つき,全日,前向き|2m,sub,70397.0,4.042113365575004e-8,0.009797176119952187,0.00009598465992536138,2.599517022584291
churn_ask|全窓,生,符号つき,全日,前向き|5m,sub,28061.0,-1.3846183618195618e-7,-0.011642585740256329,0.00013554980271922,-1.9503608726116073
churn_bid|動いた窓,log1p,符号つき,立会日,前向き|500ms,sub,8925975.0,2.1775090857747327e-7,0.002439621647448939,5.951753782701475e-6,7.2887248375140965
churn_deep|全窓,生,絶対値,閉場日,前向き|2s,sub,1339142.0,1.6148248459738454e-7,0.15374785392911663,0.023638402587808985,180.05977747856173
churn_deep|全窓,log1p,符号つき,立会日,前向き|5s,full,57884571.0,7.263634067953302e-9,0.00003854412124091376,1.4856492822342593e-9,0.2932510332719215
churn_total|動いた窓,生,絶対値,全日,後ろ向き(帰無対照)|200ms,full,55301356.0,3.31509610747485e-8,0.0719359998810761,0.0051747880788901805,536.3407257285301
churn_ask|全窓,生,符号つき,閉場日,前向き|10s,full,26780732.0,7.114101431064806e-8,0.0035726457739642223,0.000012763797826224417,18.48859611718979
churn_ask|全窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|1m,full,26765232.0,0.00007337304309753292,0.06994856782580332,0.004892802140881007,362.76834436294234
churn_bid|全窓,生,絶対値,閉場日,後ろ向き(帰無対照)|5m,sub,8872.0,2.2108510111642767e-6,0.12827554352682072,0.016454615067101278,12.181716019077115
churn_cnt|動いた窓,log1p,符号つき,全日,前向き|200ms,full,55301325.0,-3.0307443000081004e-8,-0.00009217243704484129,8.495758150785231e-9,-0.6854390342094552
churn_top|全窓,log1p,符号つき,立会日,前向き|100ms,full,57887854.0,-3.6590119058285304e-8,-0.0007181471676883903,5.15735354458857e-7,-5.463957107012442
churn_deep|動いた窓,log1p,符号つき,立会日,前向き|5s,full,44157270.0,1.9698858569071665e-8,0.00008058869740659205,6.494538149691257e-9,0.5355194333305295
churn_top|全窓,生,符号つき,全日,前向き|500ms,sub,16934217.0,2.2056835360094118e-8,0.00210794817206745,4.443445496122503e-6,8.674479565153579
churn_ask|全窓,生,符号つき,閉場日,前向き|1s,sub,2678336.0,1.89200668784209e-8,0.0009479819219578123,8.986697243588277e-7,1.551431545561982
churn_deep|動いた窓,生,符号つき,全日,後ろ向き(帰無対照)|2s,full,55300386.0,-1.1458661269998068e-9,-0.0007837517670951444,6.142668324247615e-7,-5.828311297255284
churn_top|全窓,生,絶対値,閉場日,前向き|5m,sub,8872.0,0.000015145084767615751,0.0694846275205888,0.004828113461674967,6.559964578008533
churn_imb|動いた窓,生,絶対値,閉場日,前向き|100ms,sub,11141737.0,-3.4948057530117004e-8,-0.00006040516034924852,3.648783396818426e-9,-0.20162782007472974
churn_imb|動いた窓,生,絶対値,全日,後ろ向き(帰無対照)|200ms,sub,27656842.0,-3.523868681628272e-7,-0.0008044654533679471,6.471646656624967e-7,-4.230666755392653
churn_imb|全窓,生,絶対値,全日,前向き|500ms,full,84671263.0,-8.394260031040312e-8,-0.00008512529225219661,7.246315381021885e-9,-0.783297303302411
churn_total|全窓,log1p,符号つき,全日,前向き|5s,full,84666853.0,9.453466265793958e-8,0.00027271416324426963,7.437301483402215e-8,2.509368333604011
churn_top|動いた窓,生,絶対値,立会日,後ろ向き(帰無対照)|10s,full,44154180.0,8.894553550443482e-7,0.11961710323733471,0.01430825138689119,800.5871635746662
