feat,x_form,y_kind,day_type,hor,sample,n,beta,r,r2,t
churn_ask|動いた窓,生,符号つき,全日,前向き|2s,full,55300060.0,8.283649407280686e-9,0.004114613462894384,0.000016930043949031713,30.59817417834344
churn_bid|動いた窓,生,絶対値,閉場日,後ろ向き(帰無対照)|500ms,sub,2254876.0,1.4304687543908745e-7,0.013638111954382876,0.00018599809768028112,20.481218153371422
churn_ask|全窓,生,絶対値,立会日,後ろ向き(帰無対照)|1s,full,57887251.0,1.4152842833070965e-7,0.2127778945341974,0.045274432402406035,1656.832809284748
churn_imb|動いた窓,生,符号つき,立会日,前向き|2m,sub,36195.0,0.000011776454233462921,0.0032991183662572283,0.000010884181994575763,0.6276428017552745
churn_total|動いた窓,生,符号つき,全日,後ろ向き(帰無対照)|200ms,sub,27656842.0,-4.0315304958298004e-10,-0.0008751756964037476,7.659324995757845e-7,-4.602530696968451
churn_imb|全窓,生,絶対値,全日,前向き|2m,full,84554153.0,9.505582562406448e-6,0.0031092196081947674,9.667246571982823e-6,28.59044820463179
churn_total|動いた窓,log1p,絶対値,全日,後ろ向き(帰無対照)|1s,sub,5530923.0,0.00002857354767262651,0.0842851666024662,0.007103989309205483,198.92895186454444
churn_imb|全窓,生,符号つき,立会日,後ろ向き(帰無対照)|100ms,full,57887854.0,6.369726204728847e-7,0.00498298343433519,0.000024830123906858926,37.91303507552557
churn_bid|動いた窓,生,符号つき,立会日,前向き|10s,full,44154886.0,-7.421192249780178e-9,-0.004410747642189556,0.00001945469476308073,-29.309324502829977
churn_bid|全窓,log1p,絶対値,立会日,前向き|1s,full,57887251.0,0.00001604429167125916,0.1589677758733889,0.025270753766132005,1225.0633715001106
churn_top|全窓,生,絶対値,立会日,前向き|2s,full,57886581.0,4.273310375038499e-7,0.09687993600124305,0.009385721999604949,740.5774665836104
churn_total|動いた窓,log1p,符号つき,立会日,前向き|1m,full,44131499.0,1.7918943094259487e-6,0.002011115951268083,4.044587369444926e-6,13.360180286851008
churn_ask|動いた窓,log1p,絶対値,立会日,後ろ向き(帰無対照)|200ms,full,44159630.0,0.00001009703032725901,0.22139244160866825,0.04901461320144758,1508.6502576668875
churn_cnt|動いた窓,生,符号つき,閉場日,前向き|5s,full,11140822.0,6.542355992571454e-7,0.004492087861456739,0.000020178853355046978,14.993782361826355
churn_cnt|動いた窓,生,符号つき,全日,後ろ向き(帰無対照)|200ms,full,55301356.0,-5.716993290957748e-9,-0.0006060659235546712,3.6731590369417664e-7,-4.507002804673723
churn_bid|全窓,log1p,絶対値,閉場日,前向き|500ms,full,26783677.0,8.018538412857213e-6,0.011045018473875788,0.00012199243308825743,57.16471225936441
churn_bid|動いた窓,生,絶対値,全日,前向き|100ms,sub,55301393.0,1.7283734908939302e-8,0.029253930566206343,0.0008557924535724218,217.639723978248
churn_bid|動いた窓,生,符号つき,立会日,後ろ向き(帰無対照)|200ms,sub,22047223.0,1.9367146308659393e-10,0.0009253087960651716,8.561963680755773e-7,4.34474011979758
churn_deep|動いた窓,生,絶対値,閉場日,前向き|5m,sub,3485.0,6.593932030943078e-7,0.10375864361862056,0.010765856125575908,6.156749363096018
churn_total|動いた窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|100ms,sub,44159685.0,-5.111297269217015e-8,-0.0011487277624398857,1.3195754722001465e-6,-7.633617192483702
churn_total|動いた窓,生,符号つき,全日,後ろ向き(帰無対照)|2m,sub,44962.0,2.368267901503092e-9,0.0006281035306918674,3.945140452675896e-7,0.13318167468862926
churn_cnt|動いた窓,log1p,絶対値,立会日,前向き|2s,full,44158715.0,0.00005187178205716243,0.2152565899063453,0.04633539949810852,1464.7612037384238
churn_total|全窓,log1p,符号つき,閉場日,後ろ向き(帰無対照)|5s,sub,535623.0,1.427688668322495e-7,0.0012810754403677768,1.6411542839134932e-6,0.9375703394099241
churn_total|全窓,log1p,符号つき,閉場日,後ろ向き(帰無対照)|100ms,sub,26783801.0,1.315638070642019e-7,0.000504557351381377,2.5457812083299036e-7,2.6112393521175927
churn_total|全窓,生,符号つき,閉場日,前向き|200ms,full,26783770.0,-1.5116867212555294e-8,-0.0029802542947871143,8.88191566159704e-6,-15.423789463807
churn_bid|全窓,log1p,絶対値,立会日,後ろ向き(帰無対照)|100ms,sub,57887854.0,6.908556446556007e-6,0.22097862557751022,0.048831552962125456,1723.9126953968123
churn_ask|動いた窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|2s,sub,2210194.0,-5.204932617103525e-6,-0.031983310075080436,0.0010229321233587417,-47.57301216933535
churn_bid|全窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|2s,sub,1339142.0,0.0000231312111781236,0.2526635778147916,0.06383888355417125,302.190170402514
churn_ask|全窓,log1p,符号つき,閉場日,後ろ向き(帰無対照)|30s,full,26774532.0,-3.97791893838618e-6,-0.0038505070851394467,0.000014826404812709079,-19.924254218803505
churn_deep|動いた窓,log1p,符号つき,閉場日,後ろ向き(帰無対照)|1s,full,11141566.0,3.959324687172324e-7,0.00035725502598811813,1.2763115359377096e-7,1.1924809632240314
churn_total|動いた窓,生,符号つき,立会日,前向き|5s,sub,880640.0,6.650603497109787e-10,0.0010364234716451137,1.0741736125769097e-6,0.9726042966987283
churn_total|全窓,log1p,絶対値,立会日,後ろ向き(帰無対照)|1m,sub,96373.0,0.00012470919262278063,0.2530060150832278,0.06401204366829448,81.18371087895595
churn_total|動いた窓,log1p,符号つき,立会日,前向き|100ms,full,44159656.0,-7.694096082205213e-9,-0.0002686277306421219,7.21608576699364e-8,-1.7851046851642445
churn_deep|動いた窓,生,符号つき,全日,前向き|200ms,full,55301325.0,-1.6008691647501283e-10,-0.0002743174213010979,7.525004762928404e-8,-2.039957720851106
churn_cnt|全窓,log1p,絶対値,立会日,前向き|10s,full,57881221.0,0.00008062338484836286,0.22062999187425839,0.04867759331443532,1720.9550241533557
churn_deep|動いた窓,生,符号つき,立会日,後ろ向き(帰無対照)|1s,full,44159196.0,-6.72374838153963e-10,-0.0019076618645708786,3.639173789538041e-6,-12.676891030537872
churn_cnt|動いた窓,生,絶対値,立会日,前向き|10s,full,44154886.0,2.8093800992788217e-6,0.19122066056258036,0.03656534102598957,1294.5327897148766
churn_ask|動いた窓,log1p,符号つき,全日,後ろ向き(帰無対照)|1m,sub,90009.0,-0.000018070218743889696,-0.024534579340420852,0.0006019455834114057,-7.362876392364614
churn_bid|全窓,生,絶対値,閉場日,後ろ向き(帰無対照)|5s,sub,535623.0,4.938885128832596e-7,0.1859399938880376,0.034573681327083466,138.4975348383865
churn_bid|動いた窓,生,絶対値,立会日,前向き|1s,full,44159226.0,9.567188389548592e-8,0.1695785633581783,0.028756889150623695,1143.4513525299858
churn_deep|全窓,生,絶対値,立会日,前向き|500ms,full,57887586.0,4.608446337821561e-8,0.1772637572914969,0.03142243964909872,1370.394039063436
churn_ask|全窓,生,符号つき,閉場日,後ろ向き(帰無対照)|200ms,full,26783770.0,7.737100165612324e-9,0.0008827836496511276,7.793069720913649e-7,4.568675235513138
churn_total|動いた窓,生,絶対値,全日,後ろ向き(帰無対照)|100ms,sub,55301433.0,2.5882483033027834e-8,0.0781183751863332,0.006102480541752719,582.7074665906005
churn_bid|動いた窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|2s,full,11141447.0,0.000021567975442346954,0.018166579891945957,0.00033002462497045516,60.64787789205231
churn_total|動いた窓,生,絶対値,全日,後ろ向き(帰無対照)|1s,sub,5530923.0,8.500475464059656e-8,0.08142388315765955,0.0066298487484721955,192.1299124683921
churn_cnt|動いた窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|500ms,sub,8925980.0,-2.722517702186242e-7,-0.002253079405781516,5.0763668087567885e-6,-6.73140167231542
churn_bid|動いた窓,生,絶対値,立会日,前向き|2m,full,44104225.0,7.526623358431768e-7,0.16985460922901388,0.02885058827634101,1144.6544433932327
churn_imb|全窓,生,符号つき,全日,前向き|30s,full,84642353.0,8.643107096657784e-6,0.003969234236776636,0.000015754820426399803,36.51774979721306
churn_bid|動いた窓,生,符号つき,閉場日,前向き|30s,full,11136719.0,6.717369031143922e-8,0.003794371744623951,0.000014397256936400605,12.662562321273436
churn_ask|動いた窓,生,符号つき,全日,後ろ向き(帰無対照)|2m,sub,44962.0,-1.1191363462477194e-7,-0.016271018997876172,0.0002647460592292473,-3.450526760546725
churn_cnt|動いた窓,生,符号つき,閉場日,前向き|1m,sub,17441.0,8.033489989088783e-7,0.014614075417557089,0.0002135712003100464,1.9300942389588127
churn_cnt|全窓,log1p,符号つき,全日,前向き|2m,sub,70397.0,1.0183816337848646e-6,0.0007095986613589638,5.035302602024334e-7,0.1882711621972395
churn_bid|動いた窓,log1p,絶対値,立会日,前向き|2s,sub,2210180.0,0.000024299969611641905,0.16934022744340485,0.028676112630584085,255.44166123414354
churn_imb|動いた窓,生,絶対値,全日,後ろ向き(帰無対照)|30s,sub,180737.0,6.092483352253928e-6,0.005010577096664286,0.00002510588284161671,2.1301703350853667
churn_total|動いた窓,log1p,絶対値,閉場日,前向き|1s,sub,1108963.0,8.683098960906284e-6,0.16554727983894882,0.02740590186207523,176.77236436801547
churn_bid|動いた窓,生,絶対値,立会日,後ろ向き(帰無対照)|2m,full,44092085.0,8.67618322686889e-7,0.19232837299332578,0.03699020305825985,1301.3925408138068
churn_total|動いた窓,log1p,絶対値,閉場日,前向き|30s,sub,34987.0,0.00002712793989368698,0.11316474593135672,0.012806259721708518,21.303496806030935
churn_cnt|全窓,log1p,絶対値,閉場日,前向き|2m,sub,22264.0,0.00011492956209094926,0.14872598348237753,0.022119418162800435,22.4401640511703
churn_top|全窓,log1p,絶対値,立会日,前向き|1s,sub,5788693.0,0.000022787326095227705,0.14105005673548562,0.019895118505083714,342.78923343985565
churn_deep|動いた窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|200ms,full,11141726.0,4.1897430609842495e-6,0.01134115247328176,0.00012862173942222496,37.85831835201013
churn_cnt|動いた窓,log1p,符号つき,立会日,前向き|100ms,full,44159656.0,-2.1418288069484177e-8,-0.0004491111522289854,2.017008270564469e-7,-2.984466540419573
churn_deep|全窓,生,絶対値,全日,後ろ向き(帰無対照)|1s,full,84670773.0,9.411459188362456e-8,0.06418532068511423,0.004119755391450953,591.8326410842417
churn_bid|動いた窓,生,符号つき,全日,後ろ向き(帰無対照)|5m,sub,17885.0,8.414676309735174e-8,0.007183608574416672,0.00005160423215043274,0.9606696145789005
churn_ask|動いた窓,log1p,符号つき,立会日,前向き|1m,full,44131499.0,-6.547189055811872e-7,-0.0008243629013332063,6.795741930945017e-7,-5.476371686134629
churn_ask|全窓,生,符号つき,閉場日,後ろ向き(帰無対照)|2m,full,26746632.0,-7.526357983743254e-8,-0.0032612173197050422,0.00001063553840634414,-16.866174316479487
churn_deep|動いた窓,生,符号つき,全日,前向き|2m,full,55226176.0,8.917738125304304e-9,0.002479317444063091,6.147014988435538e-6,18.42493435835173
churn_cnt|全窓,生,符号つき,立会日,前向き|30s,full,57867821.0,-1.3103154822265733e-9,-0.00003787310147942048,1.434371815670482e-9,-0.288104093561649
churn_bid|全窓,log1p,絶対値,閉場日,前向き|100ms,sub,26783801.0,1.7000082128784496e-6,0.0052381482208057155,0.00002743819678313008,27.109395279543154
churn_bid|動いた窓,log1p,符号つき,閉場日,前向き|2m,sub,8758.0,8.885253615031913e-6,0.01502570449995716,0.00022577179572003285,1.4061665132048617
churn_top|動いた窓,log1p,符号つき,立会日,前向き|10s,full,44154886.0,-8.115041279742089e-8,-0.00018799183949256326,3.5340931715797666e-8,-1.2491896555413835
churn_cnt|全窓,生,符号つき,立会日,後ろ向き(帰無対照)|1m,sub,96373.0,-3.1704027531716464e-7,-0.005856487309570126,0.000034298443607155935,-1.818100294808396
churn_deep|全窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|10s,full,57881221.0,-3.4618612004503543e-7,-0.0013201421532897076,1.742775304892386e-6,-10.043611645778581
churn_deep|動いた窓,生,符号つき,全日,前向き|2s,sub,2762695.0,9.43762311184221e-11,0.00018907746978448237,3.5750289580101845e-8,0.3142722996095456
churn_bid|全窓,log1p,絶対値,全日,後ろ向き(帰無対照)|2s,full,84669793.0,0.00003460171151062033,0.09723423440710464,0.009454496340735773,898.9721290458881
churn_bid|動いた窓,生,符号つき,閉場日,後ろ向き(帰無対照)|2m,full,11120350.0,1.9903687692966727e-7,0.009466708337546845,0.00008961856674817895,31.5702228443484
churn_top|全窓,生,符号つき,閉場日,後ろ向き(帰無対照)|500ms,full,26783677.0,-1.031046519358615e-6,-0.009203478969085596,0.00008470402513440086,-47.63273310894906
churn_ask|全窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|30s,full,26774532.0,0.000057289585338129136,0.05619306469702823,0.0031576605200444,291.2261766976078
churn_bid|動いた窓,生,絶対値,立会日,後ろ向き(帰無対照)|10s,full,44154180.0,2.9498836512828385e-7,0.219183315469411,0.048041325780163346,1492.740604255262
churn_top|動いた窓,生,符号つき,閉場日,前向き|100ms,full,11141737.0,4.5647055952103215e-8,0.0012811430110066648,1.641327414651223e-6,4.276361200561596
churn_imb|動いた窓,生,絶対値,立会日,前向き|1s,sub,4421947.0,-1.5428258042665239e-6,-0.004690316224081035,0.000021999066281877777,-9.863103022711076
churn_ask|全窓,log1p,符号つき,全日,前向き|30s,sub,282077.0,-6.459093553265759e-7,-0.0014970911251384472,2.241281836968302e-6,-0.795116966946276
churn_imb|全窓,生,絶対値,立会日,後ろ向き(帰無対照)|5m,sub,19189.0,-0.000058553325790245916,-0.012770101160162122,0.000163075483640774,-1.7690222269655815
churn_total|動いた窓,生,符号つき,全日,前向き|2s,sub,2762695.0,5.907404575187715e-11,0.000123967131466835,1.5367849684115554e-8,0.20605011866006215
churn_cnt|動いた窓,log1p,符号つき,全日,前向き|100ms,full,55301393.0,8.610052200813776e-9,0.00004549575116714499,2.069863374262775e-9,0.3383287218277732
churn_ask|全窓,生,符号つき,閉場日,前向き|1m,full,26765232.0,1.2604527779778165e-7,0.0058846107209819505,0.00003462864333749571,30.44463335243295
churn_cnt|全窓,log1p,符号つき,閉場日,後ろ向き(帰無対照)|2m,sub,22264.0,-2.040471248873737e-6,-0.002134014433409118,4.554017601998439e-6,-0.3184054043999707
churn_total|動いた窓,log1p,絶対値,立会日,前向き|10s,full,44154886.0,0.00005890558762632559,0.21272152074896689,0.04525044538975315,1446.625349211218
churn_cnt|動いた窓,log1p,符号つき,閉場日,後ろ向き(帰無対照)|1s,full,11141566.0,-3.117912539190909e-7,-0.00012929443679372452,1.6717051385806424e-8,-0.4315716638286975
churn_deep|全窓,log1p,符号つき,全日,前向き|1m,sub,140957.0,1.5974388240150261e-6,0.0028518763688290135,8.133198823085359e-6,1.0707120827772918
churn_cnt|動いた窓,log1p,絶対値,立会日,前向き|5m,sub,14401.0,0.00048183970660848485,0.187672868797216,0.03522110568257705,22.92734475790777
churn_bid|動いた窓,log1p,絶対値,立会日,前向き|10s,sub,439447.0,0.00004905201211712755,0.20225014500283514,0.04090512115366784,136.90216598687581
churn_ask|全窓,log1p,絶対値,全日,前向き|2s,sub,4233435.0,0.000026945858966223626,0.21393935694457927,0.0457700484498601,450.62004792074686
churn_total|動いた窓,生,符号つき,立会日,後ろ向き(帰無対照)|2s,full,44158939.0,-9.960890899930315e-10,-0.002274347449045768,5.172656318980992e-6,-15.113576216490003
churn_cnt|動いた窓,生,絶対値,閉場日,前向き|30s,sub,34987.0,4.38528527363798e-6,0.13305051209076682,0.017702438767615288,25.109378113911532
churn_ask|動いた窓,生,符号つき,全日,後ろ向き(帰無対照)|100ms,full,55301433.0,1.3643806051633842e-9,0.002196503310642274,4.824626793662469e-6,16.33432132013469
churn_bid|全窓,生,絶対値,立会日,前向き|5m,sub,19189.0,1.341028931430149e-6,0.1477559302728976,0.02183181493080938,20.693868818771794
churn_deep|動いた窓,生,絶対値,立会日,前向き|100ms,sub,44159656.0,9.434038833900508e-9,0.12845861174282072,0.016501614930892756,860.7741767556251
churn_deep|全窓,log1p,絶対値,立会日,前向き|5s,full,57884571.0,0.00003163623581091229,0.20187080216196407,0.04075182076551484,1568.1565592993759
churn_total|動いた窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|5s,full,11140747.0,0.000026548902701505966,0.02317066721690059,0.0005368798192763517,77.3592534532025
churn_top|動いた窓,log1p,絶対値,閉場日,前向き|1m,sub,17441.0,0.000075152929629461,0.09964635839718272,0.009929396741819788,13.224800760320852
churn_bid|動いた窓,生,符号つき,全日,前向き|5s,full,55298092.0,-8.030667954949889e-9,-0.0030913146606739834,9.556226331297904e-6,-22.98795583950751
churn_total|全窓,log1p,符号つき,全日,前向き|1m,sub,140957.0,1.3979153018351727e-6,0.00250232222587566,6.261616522111319e-6,0.9394741526248077
churn_deep|全窓,log1p,符号つき,全日,後ろ向き(帰無対照)|5m,full,84377753.0,-9.736007242597758e-6,-0.007574362622892785,0.000057370969143075275,-69.5780934505822
churn_bid|全窓,生,絶対値,立会日,後ろ向き(帰無対照)|2m,full,57807521.0,9.658254166680812e-7,0.20059866153947983,0.04023982301143079,1556.8215452222912
churn_cnt|全窓,log1p,符号つき,立会日,前向き|1m,full,57847721.0,1.0099069566972298e-6,0.0008915340849604853,7.948330246463298e-7,6.78080482004446
churn_cnt|動いた窓,生,絶対値,立会日,後ろ向き(帰無対照)|1s,sub,4421957.0,1.7009022829965416e-6,0.3450924459714094,0.11908879626653013,773.1727609190923
churn_bid|全窓,生,符号つき,立会日,後ろ向き(帰無対照)|2m,full,57807521.0,5.076648300273607e-8,0.007924941742158896,0.00006280470161661248,60.2562197126307
churn_ask|動いた窓,生,絶対値,閉場日,前向き|200ms,full,11141717.0,1.0401641763474705e-7,0.013341826416233932,0.00017800433212091757,44.53792351906751
churn_ask|動いた窓,生,符号つき,閉場日,後ろ向き(帰無対照)|1s,full,11141566.0,-4.0018592760910904e-8,-0.0020940023738260298,4.3848459415890475e-6,-6.989581955077169
churn_deep|動いた窓,生,符号つき,立会日,後ろ向き(帰無対照)|200ms,sub,22047223.0,-4.1721989806563416e-10,-0.003508352645795763,0.00001230853828726213,-16.473384716076247
churn_cnt|全窓,生,絶対値,立会日,後ろ向き(帰無対照)|10s,full,57881221.0,3.8350737156235445e-6,0.2411600069524572,0.05815814895330921,1890.5367757423146
churn_total|全窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|10s,sub,578773.0,-6.431346110288526e-7,-0.0025361281340399947,6.431945912269185e-6,-1.9294164173290016
churn_ask|動いた窓,log1p,絶対値,立会日,前向き|200ms,full,44159608.0,6.88034959461432e-6,0.15389259253281984,0.023682930036472517,1034.9869399252434
churn_total|全窓,log1p,絶対値,全日,前向き|500ms,full,84671263.0,0.000011205307914229552,0.04993622343103875,0.0024936264105546234,460.07206972795905
churn_top|動いた窓,生,符号つき,閉場日,後ろ向き(帰無対照)|100ms,sub,11141748.0,2.3429600015776232e-7,0.006568839735178034,0.00004314965546645382,21.926770095620437
churn_ask|動いた窓,生,絶対値,全日,前向き|1s,sub,5530910.0,1.0965220299945948e-7,0.19003466306306024,0.036113173165490835,455.21652586534935
churn_top|全窓,生,絶対値,全日,後ろ向き(帰無対照)|500ms,sub,16934217.0,4.693891671542295e-7,0.044988433692756576,0.002023959166127555,185.32045180127287
churn_bid|全窓,生,絶対値,全日,後ろ向き(帰無対照)|10s,full,84661953.0,3.966813682683949e-7,0.13499811564929018,0.018224491228859125,1253.6195194197096
churn_top|動いた窓,生,絶対値,閉場日,前向き|200ms,sub,5609615.0,3.931817244077821e-7,0.007781343542224503,0.00006054930732211897,18.430375709900925
churn_ask|動いた窓,log1p,絶対値,全日,前向き|30s,sub,180735.0,0.00009690571438376769,0.24509812389482347,0.06007309033676223,107.47604438492006
churn_cnt|全窓,生,符号つき,全日,前向き|500ms,sub,16934217.0,1.234882380863405e-8,0.0006357574192973792,4.041874961916636e-7,2.616218784299842
churn_total|全窓,log1p,絶対値,立会日,前向き|1s,full,57887251.0,0.000014905259463118314,0.15676641449058262,0.024575708712233153,1207.6683856525012
churn_cnt|動いた窓,log1p,符号つき,閉場日,前向き|500ms,sub,2254876.0,3.5263969800668905e-6,0.002789628744466669,7.782028531954685e-6,4.188989181189528
churn_cnt|全窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|100ms,sub,57887854.0,-5.0583246217664064e-8,-0.0009659748664539267,9.331074426206815e-7,-7.349533042371904
churn_total|全窓,生,符号つき,立会日,後ろ向き(帰無対照)|1m,full,57847721.0,-8.810668749822526e-9,-0.003621973069803238,0.000013118688918379892,-27.54807045732674
churn_deep|全窓,log1p,絶対値,閉場日,前向き|1s,full,26783522.0,8.828518837524983e-6,0.01062886915010926,0.00011297285941014433,55.01047820728103
churn_ask|動いた窓,生,符号つき,立会日,後ろ向き(帰無対照)|500ms,sub,8925980.0,-1.4428910577007937e-8,-0.04134249455556041,0.0017092018560765422,-123.62208097121582
churn_bid|動いた窓,生,絶対値,全日,前向き|2m,full,55226176.0,9.188166054008685e-7,0.18252930688221836,0.033316947870903044,1379.6312747523846
churn_deep|動いた窓,生,絶対値,立会日,前向き|10s,full,44154886.0,1.4313908688553784e-7,0.19223715351953685,0.03695512319329398,1301.677621954428
churn_deep|動いた窓,生,絶対値,閉場日,前向き|100ms,sub,11141737.0,1.3993097780884776e-8,0.00519549589276332,0.000026993177571720532,17.34240322884319
churn_ask|全窓,生,絶対値,閉場日,後ろ向き(帰無対照)|5s,sub,535623.0,4.388435796463431e-7,0.18376833145263968,0.03377079964488724,136.82308898435096
churn_cnt|動いた窓,生,符号つき,閉場日,後ろ向き(帰無対照)|1m,full,11131042.0,-1.6117452491646207e-7,-0.00112838199857773,1.2732459347142723e-6,-3.764647324027633
churn_ask|全窓,生,絶対値,全日,後ろ向き(帰無対照)|2s,sub,4233435.0,2.2077350150223212e-7,0.22862227863820814,0.05226814628972648,483.1946928028003
churn_imb|全窓,生,絶対値,全日,前向き|1m,full,84612953.0,5.874716509450818e-6,0.0024804968127853573,6.152864438238316e-6,22.816994116166523
churn_top|動いた窓,log1p,絶対値,立会日,前向き|2s,full,44158715.0,0.00002823374569673563,0.1606186158195305,0.02579833974778193,1081.3832789788325
churn_total|全窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|5s,sub,1157653.0,-2.7368425334142344e-7,-0.0015693093080793395,2.462731704424455e-6,-1.68848773806155
churn_imb|全窓,生,符号つき,全日,後ろ向き(帰無対照)|1s,sub,8467029.0,0.000018156811261021103,0.013017910328502016,0.00016946598932091948,37.882929012515625
churn_total|動いた窓,生,絶対値,全日,前向き|100ms,full,55301393.0,1.0067323702789214e-8,0.031443604358365664,0.0009887002550454322,233.94574489755325
churn_ask|動いた窓,log1p,絶対値,全日,前向き|10s,sub,547277.0,0.000056708058861524575,0.25296473882581794,0.06399115908921428,193.42954836178444
churn_cnt|全窓,log1p,符号つき,全日,後ろ向き(帰無対照)|100ms,full,84671655.0,-2.7198958063437958e-9,-0.000015268924324516182,2.3314005002780195e-10,-0.1405003680456352
churn_imb|動いた窓,生,絶対値,閉場日,後ろ向き(帰無対照)|200ms,full,11141726.0,-3.5213375624789455e-7,-0.00043016837549065087,1.850448312722656e-7,-1.4358686636223255
churn_bid|動いた窓,log1p,絶対値,立会日,後ろ向き(帰無対照)|1s,full,44159196.0,0.000026051051739032243,0.24366719553157126,0.05937370217822098,1669.548637894754
churn_deep|動いた窓,生,符号つき,閉場日,前向き|5m,full,11093099.0,1.2110502081004664e-7,0.0105902451560921,0.00011215329246613217,35.2741676135073
churn_total|全窓,log1p,符号つき,全日,前向き|5m,sub,28061.0,-9.472893427694553e-6,-0.007382457733614514,0.00005450068218860475,-1.2366559709166574
churn_cnt|全窓,log1p,符号つき,全日,後ろ向き(帰無対照)|5s,full,84666853.0,-7.201086850786996e-7,-0.0011699940808068624,1.368886149123095e-6,-10.765660141250262
churn_total|全窓,生,符号つき,閉場日,後ろ向き(帰無対照)|1s,full,26783522.0,-1.46675426304884e-8,-0.001292226514472673,1.6698493647061936e-6,-6.687639235171443
churn_bid|全窓,生,符号つき,全日,後ろ向き(帰無対照)|30s,sub,282077.0,3.5553750104953055e-8,0.010403510036664568,0.0001082330210829804,5.525679516161802
churn_top|全窓,生,絶対値,閉場日,前向き|2s,sub,1339142.0,1.3006172312803766e-6,0.09278222239275975,0.008608540792139529,107.83386600128676
churn_top|全窓,log1p,符号つき,全日,前向き|100ms,full,84671655.0,9.594590838952737e-9,0.0000499470380819637,2.494706613161132e-9,0.4595986653737626
churn_cnt|動いた窓,生,符号つき,全日,後ろ向き(帰無対照)|100ms,sub,55301433.0,-4.788362415387062e-9,-0.000706904881080753,4.997145108957935e-7,-5.256894649275718
churn_total|全窓,生,符号つき,立会日,後ろ向き(帰無対照)|2s,sub,2894293.0,-4.1004959709902726e-10,-0.0007398867994623987,5.474324760187117e-7,-1.2587413379312595
churn_ask|全窓,log1p,絶対値,閉場日,前向き|1s,sub,2678336.0,9.569453823347369e-6,0.009586575249478663,0.0000919024250139169,15.68974228706714
churn_imb|全窓,生,絶対値,閉場日,後ろ向き(帰無対照)|500ms,sub,5356724.0,-1.7034202227525885e-6,-0.0009378855452469079,8.796292959830897e-7,-2.170698907354977
churn_imb|全窓,生,符号つき,全日,前向き|200ms,full,84671557.0,8.288872750903273e-7,0.001328209879193571,1.7641414831874003e-6,12.221819264592042
churn_deep|動いた窓,生,絶対値,立会日,前向き|100ms,full,44159656.0,9.434038833900508e-9,0.12845861174282072,0.016501614930892756,860.7741767556251
churn_ask|全窓,log1p,符号つき,閉場日,後ろ向き(帰無対照)|5m,full,26690832.0,-3.076032063039534e-6,-0.00225153464983469,5.069408279406219e-6,-11.632170928708035
churn_ask|動いた窓,生,符号つき,全日,前向き|100ms,full,55301393.0,1.2930709640500451e-9,0.0021564050534797724,4.6500827546731e-6,16.036122985341034
churn_ask|動いた窓,生,絶対値,閉場日,後ろ向き(帰無対照)|5s,full,11140747.0,4.2257573151470205e-7,0.022018589569410257,0.0004848182866261422,73.5109297399336
churn_cnt|全窓,log1p,符号つき,閉場日,前向き|500ms,sub,5356724.0,1.785179850051341e-6,0.0016761464977930684,2.8094670820639685e-6,3.8793783533006145
churn_ask|動いた窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|500ms,full,11141655.0,0.000010245431973097115,0.013290773928481802,0.0001766446716180116,44.36734557843468
churn_bid|動いた窓,生,絶対値,全日,前向き|10s,sub,547277.0,2.872441876130608e-7,0.20618366280483885,0.04251170280761949,155.87997161730908
churn_bid|動いた窓,log1p,絶対値,閉場日,前向き|1m,sub,17441.0,0.000034675569968069794,0.10171819781100443,0.010346591765918626,13.502614959171783
churn_total|全窓,生,符号つき,全日,後ろ向き(帰無対照)|5s,sub,1693276.0,-2.018974762635484e-9,-0.0029640801425387417,8.785771091392487e-6,-3.8570517838877514
churn_top|動いた窓,生,絶対値,全日,後ろ向き(帰無対照)|5s,full,55297916.0,8.079647113397751e-7,0.0545068488736627,0.002970996574136305,405.93037863477406
churn_deep|全窓,生,符号つき,閉場日,前向き|1s,full,26783522.0,1.8642386702837575e-8,0.0015984024590408109,2.554890421067711e-6,8.272190370114387
churn_top|全窓,log1p,絶対値,全日,前向き|5s,full,84666853.0,0.00006248874145954426,0.09680424914391764,0.009371062652317678,894.9435027362948
churn_total|動いた窓,log1p,絶対値,立会日,前向き|1s,sub,4421947.0,0.000020827932925346373,0.17987850605243713,0.03235627693965666,384.52820296436556
churn_ask|動いた窓,生,絶対値,全日,前向き|2m,full,55226176.0,9.219474328276587e-7,0.18083821464585906,0.03270245987630179,1366.4150837462116
