dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1438783,-4.111368935793003,14.299863148230136,-2.3838396,109473
1,1414454,-2.1978212563178445,9.082232437392804,-1.5100523,65040
2,1453146,-1.3565241503998848,7.573567969082254,-1.3384718,55081
3,1477499,-0.7530932845423166,6.758312526776668,-1.1815228,49595
4,1489196,-0.23315495668141395,6.248539480363901,-1.0915538,46065
5,1493701,0.26319863710710933,5.912629100469237,-1.0454283,43766
6,1476680,0.7933154471762016,5.685050247853293,-1.0003484,41785
7,1449922,1.400119417407364,5.632165040602184,-0.9090282,40155
8,1418749,2.25394101706744,5.718488612150564,-0.8537976,39212
9,1432335,4.321517084906468,6.388449629451211,-0.4594142,41608
