feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
delta1,fwd_micro_60s,794275,46,7.38040058742533,-8.768655211534508,-17.67386441501564,1.4266341155084943,-12.38850537982274,-0.9878787878787878,0.11259198640269429,10,4 マイクロプライス,17.67386441501564
delta1_bp,fwd_micro_60s,794275,46,7.389416548130497,-8.865606096568841,-17.475265172786944,1.3835211973285688,-12.631006454060703,-0.9878787878787878,0.11209719555569544,10,4 マイクロプライス,17.475265172786944
obi_x_spread,fwd_micro_60s,794275,46,7.389416548130497,-8.865606096568841,-17.475265172786944,1.3835211973285688,-12.631006454060703,-0.9878787878787878,0.11209719555569544,10,4 マイクロプライス,17.475265172786944
delta1,fwd_micro_30s,794275,46,7.021668404387881,-8.190240185822462,-16.592507095347628,1.2666211999034496,-13.099817922368914,-0.9999999999999999,0.11259198640269429,10,4 マイクロプライス,16.592507095347628
delta1_bp,fwd_micro_30s,794275,46,7.027347624210349,-8.280812803795973,-16.39584573519448,1.2149270401456016,-13.495333623679606,-0.9999999999999999,0.11209719555569544,10,4 マイクロプライス,16.39584573519448
obi_x_spread,fwd_micro_30s,794275,46,7.027347624210349,-8.280812803795973,-16.39584573519448,1.2149270401456016,-13.495333623679606,-0.9999999999999999,0.11209719555569544,10,4 マイクロプライス,16.39584573519448
delta1,fwd_micro_10s,794275,46,6.1379226791365245,-6.912720219022594,-14.239735500324812,1.022777138078397,-13.92261810532699,-0.9999999999999999,0.11259198640269429,10,4 マイクロプライス,14.239735500324812
delta1_bp,fwd_micro_10s,794275,46,6.160164671453317,-6.945100767865511,-14.128135575886814,0.9990251794933536,-14.141921410881524,-0.9999999999999999,0.11209719555569544,10,4 マイクロプライス,14.128135575886814
obi_x_spread,fwd_micro_10s,794275,46,6.160164671453317,-6.945100767865511,-14.128135575886814,0.9990251794933536,-14.141921410881524,-0.9999999999999999,0.11209719555569544,10,4 マイクロプライス,14.128135575886814
delta1,fwd_micro_5s,794275,46,5.47363242546765,-6.072267343209339,-12.58763196925844,0.8668049353588775,-14.52187390239866,-0.9999999999999999,0.11259198640269429,10,4 マイクロプライス,12.58763196925844
delta1_bp,fwd_micro_5s,794275,46,5.491818285492535,-6.113606702808877,-12.533706252351754,0.8619766906865303,-14.540655667114564,-0.9999999999999999,0.11209719555569544,10,4 マイクロプライス,12.533706252351754
obi_x_spread,fwd_micro_5s,794275,46,5.491818285492535,-6.113606702808877,-12.533706252351754,0.8619766906865303,-14.540655667114564,-0.9999999999999999,0.11209719555569544,10,4 マイクロプライス,12.533706252351754
delta1_bp,fwd_micro_3s,794275,46,4.916365683053314,-5.518222895080864,-11.361159946080091,0.795655901207321,-14.278986593124957,-0.9999999999999999,0.11209719555569544,10,4 マイクロプライス,11.361159946080091
obi_x_spread,fwd_micro_3s,794275,46,4.916365683053314,-5.518222895080864,-11.361159946080091,0.795655901207321,-14.278986593124957,-0.9999999999999999,0.11209719555569544,10,4 マイクロプライス,11.361159946080091
