dt,n_msg,n_block,n_sec_active,n_trade,msg_per_sec,msg_per_sec_active,msg_per_sec_p50,msg_per_sec_p90,msg_per_sec_p99,msg_per_sec_max,mpb_mean,mpb_p50,mpb_p99,mpb_max,opb_mean,opb_p50,gap_mean_ms,gap_p50_ms,gap_p99_ms,gap_var_ms2,gap_sd_ms,cv,burstiness,memory,block_base_ms,share_1blk,mpb_cv,entropy,entropy_norm,top1pct_share,fano_1s,fano_1s_busy,acf1,acf60,busy_hour,NEW_per_sec,NEW_share,UPDATE_per_sec,UPDATE_share,REMOVE_per_sec,REMOVE_share,REJECTED_per_sec,REJECTED_share,order_to_trade,msg_to_trade
2026-05-04,2548804,565749,77640,26112,29.500046296296297,32.8284904688305,21.0,64.0,173.0,452.0,4.505185161617608,3.0,27.0,138,4.284037620923766,3.0,152.7176784257143,81.6671405,803.8547943800002,33707388.49411367,5805.80644649076,38.01659707205967,0.9487397633292773,0.0003282021944836022,67.2560755,0.5366983179790296,1.1977849514091996,10.856321282435317,0.9550951689162955,0.07602232262661232,39.767899767818484,64.89005196441688,0.7185550468565783,0.44565097254389896,13,14.129351851851851,0.4789603280597488,0.03521990740740741,0.0011938932926972808,14.08787037037037,0.47755417835188585,1.2476041666666666,0.042291600295668086,46.7515318627451,97.61044730392157
2026-05-05,2945767,588547,81387,28066,34.09452546296296,36.19456424244658,21.0,78.0,205.0,650.0,5.005151670129998,3.0,32.0,207,4.801470400834598,3.0,146.8021152453249,77.7918185,885.1786256000075,56103.150285641306,236.8610358113831,1.6134715457986306,0.23473435047909222,0.2287145822795721,67.240298,0.5509034128173499,1.2741860309309436,10.816273527212065,0.9515719296398792,0.07779060597800165,50.86897334736386,41.317608719147785,0.6950684690330226,0.4761341587156403,14,16.470081018518517,0.48307113223822523,0.035925925925925924,0.0010537153821059168,16.43962962962963,0.48217798624263225,1.1488888888888888,0.03369716613703663,50.70245136464048,104.95856196109172
2026-05-06,4127030,687805,85283,54430,47.76655092592593,48.39217663543731,32.0,104.0,267.0,701.0,6.000290780090287,4.0,39.0,202,5.781212698366543,3.0,125.6171258948174,75.3672245,548.7198868199998,15928.610460247864,126.20859899486986,1.0047085387110966,0.002348739789437882,0.23474551347779357,67.229748,0.571363353513501,1.3066001671140348,10.9345403187973,0.9619765628805187,0.07017734302876402,57.185448453773276,47.18815598733587,0.6960810780934757,0.4549496950483605,14,23.098449074074075,0.4835695403231864,0.051111111111111114,0.0010700188755594217,23.047453703703702,0.4825019444976169,1.569537037037037,0.03285849630363724,36.66555208524711,75.82270806540511
2026-05-07,4417745,681542,85273,41136,51.13130787037037,51.80707844217982,36.0,111.0,267.0,758.0,6.481984969378263,4.0,42.0,255,6.2452702841497665,4.0,126.77135562674145,74.90196,536.8495879999999,24359.662457675287,156.0758227839126,1.2311600046579418,0.10360530135685217,0.28067332733570993,67.218251,0.5698791415336715,1.3084272766831904,10.955952237593355,0.9638602967593628,0.06612649666289024,55.91488719068453,52.79261617237292,0.6368312087092386,0.34181974228898276,16,25.022800925925925,0.48938315814968947,0.04679398148148148,0.0009151727861159936,24.984525462962964,0.48863458619725675,1.0771875,0.02106708286693777,52.556641384675224,107.39364546868923
2026-05-08,4724540,718310,85279,42988,54.682175925925925,55.40097796643957,44.0,108.0,240.0,640.0,6.577299494647158,4.0,38.0,189,6.028313680722808,4.0,120.28174822742858,72.149373,493.3358525600024,14452.254560991274,120.21753017339557,0.9994661030872981,-0.0002670197368575187,0.2498373697402716,67.196215,0.5938015533704855,1.2046088007536357,11.030225830013665,0.9703945865480658,0.056274049960419424,43.94474436684332,86.60286944326751,0.6305631422272399,0.3800541619266916,13,26.79570601851852,0.4900263306057309,0.05603009259259259,0.0010246500188378128,26.73878472222222,0.4889853827039246,1.0916550925925925,0.019963636671506645,53.85570391737229,109.90369405415464
2026-05-09,644109,199241,58387,27768,7.454965277777778,11.03171938959015,2.0,17.0,87.0,253.0,3.232813527336241,2.0,27.0,115,2.8257186020949505,2.0,433.6459752839891,200.095634,4668.206340809999,921778.9548647478,960.0932011345294,2.2140023333683123,0.37772291599303953,0.22901115652358567,67.240165,0.289284280265007,1.4568809688468831,10.22099775273744,0.8992019783845232,0.1378539967614177,33.076548798255935,32.519780850136804,0.8126586535898798,0.6456296324283656,16,3.671597222222222,0.4925035979935073,0.004861111111111111,0.0006520635482503737,3.6630208333333334,0.4913531715905227,0.11548611111111111,0.015491166867719595,11.424157303370787,23.196089023336214
2026-05-10,661506,225339,60391,32053,7.656319444444445,10.953718269278536,3.0,20.0,74.0,311.0,2.9356036904397373,2.0,19.0,146,2.7602634253280613,2.0,383.422855226695,153.9865425,4377.463292210002,730423.3218244709,854.6480689877388,2.228996152257112,0.38061245486403783,0.20088411403808412,67.230743,0.31885878103116205,1.283502511624883,10.396795101757093,0.9146679170196129,0.13011219852881153,25.906082105957214,51.4608213640926,0.7328801043719523,0.37512626742279437,2,3.7470833333333333,0.489410526888645,0.01173611111111111,0.0015328659150483895,3.736111111111111,0.4879774333112625,0.1613888888888889,0.021079173885044128,10.100396218762674,20.637881009577885
2026-05-11,4946155,727157,85782,104556,57.24716435185185,57.659590590100485,35.0,134.0,329.0,942.0,6.802045500490266,4.0,48.0,220,6.569509748238689,4.0,118.81843940947334,72.00904,541.3764850499999,12064.781822606006,109.83980072180579,0.9244339621670565,-0.03926663076962665,0.2721433459950064,67.1960665,0.6018460962984559,1.4177101810981727,10.868915005633715,0.9562031136677943,0.07166839696693694,77.75221051610113,109.98403886776511,0.6822853406013003,0.43815014057993457,13,27.613703703703703,0.4823593275989127,0.11533564814814815,0.0020146962640677454,27.499305555555555,0.4803610076918334,2.0188194444444445,0.03526496844518621,22.818623512758712,47.306276062588466
2026-05-12,6680019,769074,85763,90098,77.31503472222222,77.8892879213647,43.0,196.0,401.0,947.0,8.685794864993486,4.0,60.0,284,8.204263828968344,4.0,112.34283594450852,70.654257,474.6111137200005,10544.348773954374,102.68567949794351,0.9140385199877351,-0.04491105017720107,0.2584830271967814,67.2290505,0.6332090711804991,1.3973859505160706,10.853729401506225,0.9548671457315187,0.06195072199644941,99.32364654500172,53.30887079174343,0.7099182311237683,0.4933258527621362,14,37.50112268518519,0.48504308146428926,0.13833333333333334,0.001789216467797472,37.376805555555556,0.48343515190600506,2.298773148148148,0.029732550161908223,35.96191924349042,74.1417012586295
2026-05-13,5958127,741504,85458,82805,68.95980324074074,69.71994430012404,40.0,170.0,385.0,871.0,8.035191988175384,4.0,58.0,279,7.641055206715001,4.0,116.52006290234159,71.32349,525.8488872799993,12870.212152281942,113.44695743950977,0.9736259543096243,-0.013363244252430488,0.2367010779608653,67.2501875,0.6156441713654563,1.4543056857894077,10.852692501790756,0.9547759234948944,0.06681361441271728,93.34263660319007,104.4333245488141,0.6772051765934711,0.4283593201188242,13,33.839930555555554,0.490719650655315,0.11868055555555555,0.0017210106464665826,33.72587962962963,0.4890657752008307,1.2753125,0.018493563497387684,35.30909969204758,71.95371052472677
