dt,n_msg,n_block,n_sec_active,n_trade,msg_per_sec,msg_per_sec_active,msg_per_sec_p50,msg_per_sec_p90,msg_per_sec_p99,msg_per_sec_max,mpb_mean,mpb_p50,mpb_p99,mpb_max,opb_mean,opb_p50,gap_mean_ms,gap_p50_ms,gap_p99_ms,gap_var_ms2,gap_sd_ms,cv,burstiness,memory,block_base_ms,share_1blk,mpb_cv,entropy,entropy_norm,top1pct_share,fano_1s,fano_1s_busy,acf1,acf60,busy_hour,NEW_per_sec,NEW_share,UPDATE_per_sec,UPDATE_share,REMOVE_per_sec,REMOVE_share,REJECTED_per_sec,REJECTED_share,order_to_trade,msg_to_trade
2026-05-14,6956624,747786,85547,80383,80.51648148148148,81.31932154254386,47.0,198.0,446.0,981.0,9.302961007560986,5.0,69.0,328,8.870556549601089,4.0,115.54114758981926,72.857796,477.51364048000073,11938.07296284345,109.26148892836602,0.9456500234553099,-0.027934097031576663,0.2500709595580002,67.294629,0.6088608356680062,1.4778214425590797,10.853736015677912,0.9548677276195505,0.06766601155963008,109.19060718681509,143.8048561896324,0.6683834732589119,0.4248408328183254,13,38.16475694444444,0.47399931346009216,0.10886574074074074,0.0013520926242384236,38.063344907407405,0.47273979447502124,4.179513888888889,0.051908799440648225,41.02154684448204,86.54347312242638
2026-05-15,8909345,814702,85820,92026,103.11741898148148,103.81432067117223,74.0,236.0,422.0,782.0,10.935710235153467,6.0,70.0,294,10.36890912259943,6.0,106.0509663838893,71.289294,404.407148,8308.718521117411,91.15217233350728,0.8595128874502612,-0.07555049147434131,0.24362027895828683,67.290943,0.6447481959639181,1.3002098062686351,10.98020959138978,0.9659943604830612,0.04763257007108828,88.46467296803895,51.281751654505804,0.6467533275073698,0.4049123415730099,14,50.048611111111114,0.48535554521684815,0.11416666666666667,0.0011071520970396813,49.94803240740741,0.4843801648718284,3.0066087962962964,0.029157137814283765,46.98889444287484,96.81334622823985
2026-05-16,962860,284734,67181,25758,11.144212962962962,14.332326104106816,4.0,28.0,98.0,547.0,3.3816123118419297,2.0,22.0,219,3.2746984905209775,2.0,303.44135088919444,135.551163,3056.2726181199973,423802.35644977505,651.0010418192701,2.1453933022364895,0.3641494694549241,0.15671024532764122,67.300266,0.3583743366592562,1.346855997345754,10.458771108490346,0.9201203150354513,0.1247512618656918,35.600337646679144,34.50112616986117,0.6267208014027541,0.17275879090070517,0,5.302627314814814,0.47581891448393326,0.01638888888888889,0.0014706187815466422,5.288900462962963,0.47458716739712936,0.5362962962962963,0.04812329933739069,17.78659057380231,37.381007842223774
2026-05-17,1419526,373226,73601,32469,16.429699074074072,19.286775994891375,7.0,44.0,129.0,496.0,3.803395261852068,2.0,26.0,155,3.653660248750087,2.0,231.49559664631252,132.657553,2136.232343840003,205697.1015051394,453.53842340549204,1.9591665240113605,0.32413401416529347,0.17313655173254477,67.303282,0.42088284546855115,1.3873178556575108,10.54604553878489,0.9277983658756658,0.10261805701339743,42.18694338263331,40.748216795571714,0.6387338799268102,0.23158414131819008,23,7.977592592592592,0.48555926414873696,0.023101851851851853,0.0014061031640139033,7.955162037037037,0.4841940196938978,0.4738425925925926,0.028840612993351302,21.228371677600173,43.71942468200437
2026-05-18,9682210,781705,82383,88748,112.06261574074074,117.52679557675734,69.0,281.0,540.0099999999948,1115.0,12.386015184756397,6.0,86.0,368,11.681223735296562,6.0,110.52754504459745,71.5971745,406.42493471999995,16586565.621080594,4072.6607544798762,36.84747320531341,0.9471563137345924,0.00010734080120136744,67.250893,0.645693254735808,1.410321439110565,10.864359192564908,0.955802311688993,0.05622311435095913,131.65422845082298,75.7062102502062,0.6990524365850088,0.4896182402451185,14,54.12532407407407,0.48299179629444106,0.10605324074074074,0.000946374846238617,54.03188657407407,0.48215799905186935,3.799351851851852,0.033903829807450984,52.693333934285846,109.09778248523911
2026-05-19,11791386,830333,86082,90500,136.474375,136.97853209730258,77.0,342.0,786.0,1458.0,14.20079173054666,6.0,108.0,461,13.386976068637523,6.0,104.05443510632132,70.685695,400.9441668,6618.769849763147,81.35582246995692,0.7818582877974275,-0.12242371556506865,0.22597028721961018,67.251019,0.6524185506520284,1.5143332644573166,10.825970535367702,0.9524250331361229,0.06613022421622021,195.91375494502935,100.34959973526503,0.7326322578448748,0.56533985541056,14,59.407106481481485,0.43529861544690335,0.10436342592592593,0.0007647107812431889,59.30738425925926,0.4345679125422575,17.655520833333334,0.1293687612295959,56.71573480662983,130.29155801104972
2026-05-20,11210461,777625,82391,61870,129.7507060185185,136.06414535568206,68.0,329.0,808.0099999999948,1967.0,14.41628162674811,6.0,111.0,450,13.786247870117345,6.0,111.1075966326065,70.7083665,405.95934743,16673013.177060522,4083.2601162625583,36.750503476053524,0.9470205741423112,0.00008749973075111835,67.2658125,0.6464641009022355,1.5546494829414221,10.752118796881327,0.9459278563476534,0.07943188063363317,219.7315003778108,294.3459992651477,0.6245151650581124,0.37521424107633566,13,48.17822916666667,0.37131381126967034,0.0796412037037037,0.000613801698253087,48.10207175925926,0.37072685949311096,33.39076388888889,0.2573455275389656,67.27976402133505,181.1938096007758
2026-05-21,11328159,755063,85517,77262,131.1129513888889,132.4667493013085,59.0,369.0,896.0,1869.0,15.002932205657011,6.0,128.0,582,14.280229596735637,5.0,114.42738468880435,73.691741,533.7551702600003,12267.437655137175,110.75846538814618,0.9679367022969533,-0.01629285010316784,0.2687739051768399,67.255081,0.6149283105228445,1.6893299018031613,10.649985707817233,0.9369426008993427,0.08331680372777253,273.77375676907394,327.8870609204237,0.6460541142663448,0.4470310044103833,13,49.23708333333333,0.3755318053004023,0.08969907407407407,0.000684135877683214,49.15326388888889,0.37489251342605623,32.632905092592594,0.24889154539585823,55.06049545701639,146.62005901995806
2026-05-22,7845285,649778,85199,49405,90.80190972222222,92.08189063251916,29.0,278.0,754.0099999999948,1746.0,12.073792895419666,4.0,111.0,461,11.662863316394215,4.0,132.96712930304244,80.050771,721.3759857199991,19439.1589692612,139.42438441413753,1.0485627925107606,0.023705786656039465,0.29051002422372324,67.270839,0.5581007022409227,1.8287571914294438,10.452303482241865,0.9195513194776029,0.10316489458317958,271.14518678223874,188.84607283005207,0.6242151915358842,0.40199836336725087,14,31.93574074074074,0.3517078092127947,0.05434027777777778,0.000598448622325384,31.88828703703704,0.3511852023221591,26.923541666666665,0.2965085398427208,55.84956988159093,158.79536484161522
2026-05-23,1407313,381368,78335,33715,16.288344907407406,17.965315631582307,6.0,44.0,122.0,606.0,3.690170648822135,2.0,28.0,171,3.5716289777852364,2.0,226.55248078022746,132.698243,1768.5087023800088,120074.2374285596,346.517297444961,1.5295232974345943,0.20933718933193024,0.3406625568267493,67.263254,0.4180172904315266,1.460286451083066,10.568360070054826,0.929761507943599,0.10002110404721622,40.413447089113625,48.41568709772073,0.5816293845756407,0.16635689355637612,21,7.682210648148148,0.47163850543553565,0.031747685185185184,0.0019491044280838734,7.652916666666667,0.46984004269128476,0.9214699074074074,0.056572347445095726,19.686875278066143,41.74145039300015
2026-05-24,1596093,368023,76456,29923,18.47329861111111,20.875967876948835,7.0,45.0,162.0,1214.0,4.336938180494154,2.0,36.0,222,4.170005678992889,2.0,234.76837626575312,132.8062775,2091.1079751599996,130241.09672319579,360.88931367276007,1.5372143361601673,0.21173391956045393,0.3444642239132822,67.265042,0.4157985120454755,1.6675476760182586,10.419928826190777,0.9167031283836502,0.15259762432389593,77.69637508584765,209.35740946892352,0.6546834040276703,0.17253167078769316,22,8.277094907407408,0.44805722473565135,0.02326388888888889,0.001259325114514004,8.252025462962964,0.4467001609555333,1.9209143518518519,0.10398328919430133,23.89937506266083,53.34000601543963
2026-05-25,1924691,446752,82079,37013,22.276516203703704,23.449250112696305,12.0,55.0,145.0,637.0,4.308186644939474,2.0,30.0,225,4.131721850154,2.0,193.39588248592617,131.556041,1296.152159,63000.47179391786,250.99894779444367,1.2978505259164936,0.12962136681962658,0.27065217250883733,67.267424,0.43745397324236546,1.3942871030264075,10.734486898859622,0.9443766733841756,0.08803802792240417,42.05970140213536,45.53667611878018,0.5736756333934174,0.09992232739729388,23,10.866261574074073,0.4877899881071819,0.02175925925925926,0.0009767801688686652,10.8428125,0.48673735160605003,0.5456828703703703,0.024495880117899445,25.36527706481506,52.0004052630157
2026-05-26,11484395,755235,85405,102103,132.92123842592594,134.46982026813419,56.0,378.0,890.0,1862.0,15.206386091746278,6.0,122.0,471,14.455210629803968,6.0,114.40155242811765,71.9081625,536.2555089500001,13421.646978849061,115.85183200471653,1.0126770969957786,0.006298624361901334,0.26346905191247216,67.3026605,0.6297227084585705,1.6151448680805454,10.651270292148812,0.9370556134251549,0.08150999682612797,269.6952484678112,163.3752656141861,0.6836845614175034,0.4689471700326012,14,50.226875,0.37786944806409045,0.11274305555555555,0.0008481944412396126,50.11789351851852,0.3770495528932956,32.46372685185185,0.2442328046013743,42.50219876007561,112.47852658589855
2026-05-27,14336084,874594,82751,169843,165.92689814814815,173.24363451801187,103.0,395.0,929.0,2072.0,16.39170174961182,8.0,123.0,408,15.547447158338612,8.0,98.78867342087348,69.443782,295.7130315199996,14821014.980496854,3849.807135493524,38.970126859503736,0.9499626306658954,0.00001545853034627908,67.283771,0.6989594016874134,1.4813136412039614,10.875963609199582,0.9568232212565646,0.06681740983102498,215.84724240515771,204.00734851403286,0.6183414715917318,0.35118185085364667,14,65.67784722222223,0.39582399210272484,0.19067129629629628,0.0011491283114691572,65.49699074074074,0.3947340152303795,34.56138888888889,0.2082928643554265,33.410655723226746,84.40785902274453
2026-05-28,12961044,840922,86142,122977,150.01208333333332,150.4613777251515,85.0,367.0,901.0,1987.0,15.412896796611339,7.0,124.0,616,14.731486392317004,7.0,102.74419935052401,71.047865,401.32123400000006,6034.209745714417,77.68017601495518,0.7560541276879297,-0.1389170575472274,0.22777294651972016,67.311191,0.6618481403128237,1.5994737954002929,10.820650730135833,0.951957018221646,0.07455834576288763,225.349604351702,297.37102013763223,0.5782101867944449,0.30857641607400305,13,59.51859953703703,0.3967587024625485,0.15886574074074075,0.0010590196283570984,59.37115740740741,0.39577583410719075,30.96346064814815,0.20640644380190362,41.81600624507022,105.39404929377038
2026-05-29,8457351,705266,85630,66518,97.88600694444445,98.76621511152634,38.0,265.0,785.0,1918.0,11.991718018449776,4.0,110.0,439,11.565137125566807,4.0,122.50699920757162,75.163219,608.3165465599999,14365.879391872491,119.8577464825386,0.9783746827351127,-0.01093085018404611,0.26602749651793295,67.3211725,0.5924127810113928,1.8069189103488923,10.570239253649707,0.929926830903954,0.10020714523968557,252.0991062428881,178.55443273658182,0.6291899809402083,0.42731295357967264,14,37.325821759259256,0.3813192807062164,0.0850462962962963,0.0008688299681543311,37.2550462962963,0.38059624106886425,23.220092592592593,0.23721564825676503,48.48238070898102,127.14379566433146
2026-05-30,1403127,352550,79478,23489,16.239895833333332,17.654281688014294,6.0,36.0,166.0,1261.0,3.9799375975039,2.0,37.0,343,3.859594383775351,2.0,245.0715928643763,134.566106,1680.9823915200016,125756.50966183611,354.62164296872254,1.4470124375654247,0.18267681467535374,0.24932780739330657,67.272909,0.37944796326184443,1.9193648661721654,10.416397564646871,0.9163924622976879,0.17070443373978264,77.7097088710163,209.02024069306367,0.5493499123534928,0.10569897989742681,0,7.041921296296296,0.4336186246861474,0.025011574074074075,0.0015401314350019634,7.014722222222222,0.4319437941112957,2.158240740740741,0.1328974497675549,25.902422410490015,59.73549320958747
2026-05-31,1419378,342249,75619,31208,16.42798611111111,18.770123910657375,6.0,42.0,155.0,763.0,4.147208611274248,2.0,35.0,208,4.017656735300907,2.0,252.44815745799247,133.880815,2056.6056972199735,152853.27757106675,390.96454771637127,1.5486924192798992,0.21528389033107628,0.29119168545844154,67.2338665,0.39674154414342816,1.69769079888478,10.414711067552691,0.9162440911151172,0.13357470666728666,60.38502212207272,63.91847818327194,0.6338766609280616,0.26569654599470544,23,7.532546296296296,0.45851915416471156,0.030949074074074073,0.0018839238032433926,7.504398148148148,0.4568057275792636,1.3600925925925926,0.08279119445278144,20.854011791848244,45.481222763394
2026-06-01,8149715,769124,86103,85398,94.32540509259259,94.65076710451436,53.0,229.0,588.0,1360.0,10.596100238713133,5.0,82.0,404,10.182471227006308,5.0,112.33532683515381,73.523883,472.3913768,8569.106672425401,92.56946944012049,0.8240459350419778,-0.09646361507555617,0.21531583371505228,67.2709125,0.6157766703115106,1.5573060206595153,10.803789279908415,0.9504736161341281,0.08103473557050768,152.5313498982261,187.96954796508888,0.6320716522946286,0.4282364238424929,13,38.41476851851852,0.4072579225163089,0.11106481481481481,0.0011774644880219738,38.31033564814815,0.40615076723541865,17.48923611111111,0.18541384576025052,38.86550036300616,95.43215297782149
2026-06-02,7961566,765419,86148,85257,92.14775462962963,92.41730510284627,52.0,223.0,564.0,1421.0,10.401578743145912,5.0,82.0,402,9.992547872472462,5.0,112.8791629955815,74.9525405,469.7433882199999,8185.380186907179,90.47309095475393,0.8015039140420929,-0.1101835440992937,0.21153907612550168,67.284494,0.6098889756969395,1.5829807439305466,10.813730604870429,0.951348213633302,0.0808878554796883,147.06687952651504,135.98591324168387,0.5990508898170092,0.366773465904256,14,38.187592592592594,0.4144169626930179,0.12259259259259259,0.0013303915335249371,38.070532407407406,0.41314660959916677,15.767037037037037,0.17110603617429032,38.699555461721616,93.3831356956027
2026-06-03,7664278,721517,86047,74690,88.7069212962963,89.07083338175649,43.0,226.0,605.0,1502.0,10.622449644291125,4.0,89.0,617,10.256365407883667,4.0,119.74748070138847,77.852487,527.8945358499996,10556.445433996378,102.74456401190467,0.858010234621273,-0.07642033543893233,0.22502717827725696,67.331763,0.5878067846035292,1.655744288665627,10.725381663531817,0.9435756316641316,0.08747895105057515,170.35411302422287,143.52169002981015,0.6159890890706439,0.3994205108930827,14,35.91733796296296,0.40489893503341085,0.11310185185185186,0.0012750059431560286,35.82054398148148,0.4038077689770648,16.8559375,0.19001829004636836,41.548507162940155,102.61451332172982
2026-06-04,12581760,793019,86142,97267,145.62222222222223,146.05836873998746,82.0,368.0,856.0,1886.0,15.865647607434374,7.0,119.0,492,15.081180904871132,7.0,108.9507987311259,74.921547,450.6861862199991,7462.726489796088,86.38707362676483,0.7928998651947019,-0.11551126687312668,0.2228417703040317,67.4219955,0.6289920279237041,1.5206472784326084,10.799466817605637,0.950093343410449,0.07203888804110077,221.1296784657578,154.87016353038368,0.6551977474420153,0.4671798514454534,14,58.66133101851852,0.4028322746579175,0.14900462962962963,0.001023227275039422,58.523125,0.4018832023500687,28.288761574074073,0.19426129571697442,52.10748763712256,129.35281236184935
2026-06-05,18584231,888174,86335,156963,215.09526620370372,215.25720738981872,152.0,497.0,921.0099999999948,1848.0,20.924088072832575,11.0,132.0,511,19.838913321038444,10.0,97.2781971687329,72.190393,336.13769520000005,3610.4806135778026,60.087274972142005,0.6176849152325288,-0.23633470348118849,0.16843098149070784,67.404172,0.6760180730555871,1.3163939808737277,10.95908588343237,0.9641359822262973,0.05081232578307921,198.4624013156034,256.361889199537,0.6749973633862374,0.4729722003626682,13,88.7071412037037,0.4124086167461005,0.2196875,0.0010213497669072237,88.50548611111111,0.4114711014945951,37.66295138888889,0.1750989319923972,48.82868574122564,118.39880099131642
2026-06-06,3374329,544322,84047,78665,39.0547337962963,40.14811950456292,17.0,104.0,290.0,965.0,6.199141317088047,3.0,53.0,239,5.99898405723083,3.0,158.7296804294727,105.266462,882.1596192000013,45990.096547151494,214.4530171089964,1.3510580789223152,0.1493191861441527,0.29756498159083095,67.234133,0.49227937191473414,1.6796323197850587,10.643460209531586,0.9363685139940964,0.09408596494295607,87.82732394021961,121.96667521956698,0.5538326048676241,0.17143540260666915,0,18.511064814814816,0.4739774930067578,0.0867824074074074,0.002222071410345583,18.423182870370372,0.47172726785088237,2.033703703703704,0.05207316773201428,20.33122735651179,42.894921502574206
2026-06-07,3835695,592125,85350,85769,44.394618055555554,44.94077328646749,20.0,119.0,298.0,834.0,6.477846738442052,3.0,56.0,245,6.284681443951868,3.0,145.91518623982813,93.013238,662.7676445900071,21368.320686751904,146.17907061803308,1.001808477821981,0.0009034220016635009,0.2618351561804253,67.179812,0.5101803000722822,1.6986724635895158,10.703904997266108,0.9416862015651907,0.08380019787808989,86.02719467981574,84.52864868842623,0.5382410608626715,0.17528996054748602,23,21.35991898148148,0.4811375774142626,0.09145833333333334,0.002060122089999335,21.269583333333333,0.4791027440920094,1.6736574074074073,0.03769955640372866,21.517063274609708,44.72122794949224
2026-06-08,15267795,882422,86310,148029,176.71059027777778,176.89485575252,126.0,405.0,753.0099999999948,1494.0,17.302146818642328,9.0,113.0,422,16.554930634095705,9.0,97.9123371564072,70.673965,343.4513654000004,4095.848352910727,63.9988152461491,0.6536338229156563,-0.2094576031794254,0.20758471029110745,67.269398,0.67993962065726,1.3430185477880876,10.962903710350657,0.9644718591730596,0.050796464060461906,160.48881651279018,199.18661646714773,0.5912248671629876,0.36291740623479085,13,75.08912037037037,0.4249271096448439,0.21878472222222223,0.0012380962673391935,74.87706018518519,0.42372706733356064,26.525625,0.15010772675425627,43.82722304413324,103.14056705105081
2026-06-09,15946689,833392,84268,159670,184.56815972222222,189.23777709213462,89.0,514.0,947.0,1469.0,19.134679718547815,8.0,132.0,560,18.12972286751013,8.0,103.67281414544314,72.048473,383.3236045999998,5049190.165461598,2247.040312380176,21.67434472481659,0.9117945843960359,0.00015470968202946077,67.3054165,0.6602087135570218,1.4348264068506607,10.774990772834428,0.9479400401406773,0.057606127516502015,263.4234584124263,88.72402362976837,0.7850342368416726,0.6552531951428819,16,76.37567129629629,0.4138074054118695,0.25439814814814815,0.0013783425512343033,76.13619212962963,0.41250989468722943,31.801898148148148,0.17230435734966676,41.328101709776405,99.87279388739275
2026-06-10,19906266,918822,86347,143503,230.39659722222223,230.53801521766823,167.0,525.0,907.0,1616.0,21.66498625413845,11.0,133.0,427,20.342797625655457,11.0,94.03321308944723,70.957279,294.38389980000056,2960.000414411306,54.40588584345729,0.5785815889509675,-0.26696017107933107,0.14119575438387577,67.3196325,0.695859149932359,1.285210616000954,11.001041355954609,0.9678270547427695,0.04513900296519699,186.09263827779571,95.9549028581542,0.671113443132459,0.4928586193290201,14,99.31561342592593,0.43106371631927354,0.26506944444444447,0.0011504920109075203,99.05762731481481,0.42994396839668475,31.758287037037036,0.1378418232731342,59.79574643038821,138.71672369218763
2026-06-11,16483190,879113,86278,103362,190.77766203703703,191.04742808131851,119.0,473.0,865.0,1630.0,18.749796670052657,9.0,129.0,437,17.80688148167528,8.0,98.28076534480476,70.82617,348.8682655400002,4278.705066140078,65.41181136568592,0.6655606632304647,-0.20079685126620858,0.1947723182507835,67.275655,0.6799145046364968,1.412536619983573,10.903759792304545,0.9592686168475015,0.05236977793740168,204.4400395122383,127.84079979199021,0.6345514680884221,0.4509387782045678,14,82.34310185185186,0.43161815158352235,0.1519675925925926,0.0007965691107121862,82.20359953703704,0.4308869217669638,26.078993055555557,0.13669835753880166,68.83036318956677,159.47050173177763
2026-06-12,12838630,825350,85531,85989,148.59525462962964,150.10499117279116,86.0,385.0,675.0,1248.0,15.555376506936451,7.0,102.0,389,14.850726358514569,7.0,104.68274184381396,71.202552,418.5125218000009,9802.229232652224,99.00620805107236,0.9457739289900244,-0.0278686389009859,0.30318869973124085,67.279122,0.6661618297229415,1.3591162669199477,10.852692700518865,0.9547759409781884,0.05152333231816791,172.33795008146495,74.07768409277145,0.6341677925459954,0.4327621683260784,14,63.20116898148148,0.425324275253668,0.11237268518518519,0.0007562333364229672,63.101782407407406,0.42465543441940456,22.179930555555554,0.14926405699050443,63.50325041575085,149.30549256300225
2026-06-13,1605829,379028,80227,34262,18.585983796296297,20.01606691014247,8.0,41.0,179.0,765.0,4.236702829342423,2.0,38.0,347,4.095330687970282,2.0,227.95187830082025,135.174093,1405.5549310999993,108597.01514915013,329.5406122910348,1.445658683523333,0.18222439890152445,0.2878721438830728,67.284291,0.36335933851678115,1.7856285162139112,10.544875585443325,0.9276954381200001,0.1319754469498309,62.13413957923123,99.89926537924596,0.45324038515069626,0.11143221131531435,2,8.902094907407408,0.47896818403453917,0.022002314814814815,0.001183812224091108,8.871053240740741,0.47729801865578464,0.7908333333333334,0.04254998508558508,22.44880625766155,46.86909695872979
