model,n,r2,b_A,b_X0,b_Nn,b_Nm,b_KO,b_JP,b_Pm,b_Pn,t_A,t_X0,t_Nn,t_Nm,t_KO,t_JP,t_Pm,t_Pn
D1 MU 自身(アフター+夜の飛び)+先物,51,0.8679708732149103,0.9867131252436564,0.9389133362492414,1.037187921792392,3.779961670754089,,,,,4.6044698058373275,3.03475463004538,0.869240785825893,3.6808446208243044,,,,
D2 +アジア現物,51,0.8840458493373315,0.9453591941418232,0.7617331812670768,0.7499630727471344,4.352734269788653,0.2811739083173992,-0.1335107418181995,,,6.448821188866624,2.5342987386123093,0.625706845187182,4.22283471796787,2.109282627331787,-0.85887010986305,,
D3 +夜の perp,51,0.8847601450214917,0.9858535240972831,0.43378460666289137,0.4982744296429349,3.9009564506816456,,,,0.6294428352598843,4.700574449891616,1.2097931276184224,0.40095142188857147,3.7818705266493233,,,,2.1713576809463926
D4 D1+米プレ,51,0.9959641785135569,0.9722836315597078,1.0239377194887203,0.003946795072964392,-0.20685041718630942,,,1.0305542674503803,,47.33411374495637,25.03912254022973,0.03113511018316211,-1.2375631596452539,,,32.56358661209043,
D5 D4+アジア+夜の perp,51,0.9960285625848314,0.9742800772353493,1.0384626730458706,-0.021022313234341748,-0.2456931090739308,0.006353518093909938,0.009742246534641896,1.034951681438278,-0.02954676580398069,35.355718991228414,19.841153280956647,-0.15235125529973464,-1.3777046634531465,0.3158044345931385,0.5236767061242996,34.08211771793895,-0.7068372181466238
