model,term,coef,t,r2,n,oos_r2_vs_mean,oos_r2_vs_rw,oos_r2_vs_best_const,oos_r2_vs_har,placebo_p,placebo_t_hi
HAR,定数,8.033144251730285,2.0224296520910046,0.3756961026252228,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(t),0.4607317568983684,6.539024736728668,0.3756961026252228,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(5日平均),-1.2311853776698274,-4.065308299714656,0.3756961026252228,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(22日平均),0.37879961399467565,0.5154843344625367,0.3756961026252228,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,(標本外),NaN,NaN,0.3756961026252228,76,0.37723342046762154,0.5300724962263819,0.37706476558871693,0.0,NaN,NaN
跳び成分 √(RV−BV),追加項,-0.17671123587025028,-1.140430706666712,0.38585965947597667,76,0.3476893533558848,0.5077791199190604,0.34751269748395186,-0.04744003304403521,0.75,6.2338337519744105
下向き半分散 √RS−,追加項,-1.4363135325245073,-1.9918345327850417,0.3936506069475292,76,0.4016290943377714,0.5484809954963379,0.4014670461869052,0.03917306206198157,0.5357142857142857,4.836535789967248
上向き半分散 √RS+,追加項,1.030642515292162,1.5295351337189562,0.38557456878857754,76,0.39031927950575684,0.5399468300050857,0.3901541684810731,0.021012461921063985,0.6607142857142857,5.4840664489215225
microprice のボラ,追加項,-1.9043805934195177,-0.7723505261909074,0.3816485141424011,76,0.3749508247906076,0.5283500940874793,0.3747815517492804,-0.003665250756917482,0.9107142857142857,5.206609258045742
スプレッドのボラ,追加項,0.28295110311926114,0.8035370945571098,0.37918885868970387,76,0.3803379182758757,0.532415089669015,0.3801701041432781,0.0049850102916332295,0.7857142857142857,4.817525018083523
板圧力のボラ,追加項,-0.7697681667384787,-1.1273939967485387,0.38675376870234834,76,0.38527561905238594,0.5361409822851999,0.3851091421259807,0.012913664363304544,0.6964285714285714,5.737856619412565
OFI のボラ,追加項,-0.23258307312738902,-1.8491886896420338,0.4030621472107462,76,0.3687581050755513,0.5236771886797241,0.3685871549493773,-0.013609136505742025,0.48214285714285715,5.999282373787163
