dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1444484,-4.3249790170318825,14.510371869816488,-2.615091,110617
1,1415838,-2.2878126601755255,9.321052267279166,-1.5874622,66409
2,1450026,-1.4027192607013461,7.7540678580935785,-1.303387,56138
3,1472912,-0.7745138206560753,6.881402283367913,-1.1391082,50613
4,1493684,-0.23785632578654514,6.284060082319955,-1.0986205,46597
5,1490583,0.2775695726686678,5.929290754020407,-0.99874544,44122
6,1470580,0.8276517674032924,5.648723632852344,-0.8915777,41232
7,1449200,1.4653420817856144,5.510212531051615,-0.7687747,39268
8,1418203,2.3622429688341384,5.497026871329422,-0.67136914,37728
9,1439016,4.557110048650781,5.921198930380204,-0.13556588,39043
