dt_open,user,n,vol,n_bid,n_touch,n_inside,sum_dist,n_dist,sum_life,n_fast,n_fill,fill_vol,sz_med,life_med,vol_c,fill_c,bid_share,touch_share,fast_share,fill_rate,life_s,mean_dist
2026-05-04,0xfc667adba8d4837586078f4fdcdc29804337ca06,809465,161753416470,389454,40357,7967,35240153,801498,3458283721631812,605565,765,73833080,162980.0,11737104312.0,161753416.47,73833.08,0.4811251876239244,0.04985638662573428,0.748105229997591,0.000945068656458278,11.737104312000001,43.96786142947331
2026-05-04,0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,54730,13545465490,32350,5163,1657,959978,53073,811850695720143,22032,758,21304980,206250.0,1567094370.0,13545465.49,21304.98,0.5910835008222182,0.09433583044034351,0.4025580120591997,0.01384980814909556,1.5670943700000002,18.087878959169444
2026-05-04,0x99c641913b895b0180d6c8ece787a36dd8f99344,76311,9120372880,36562,19379,4143,252536,72168,332567577058229,42782,1380,46980450,83607.5,4126237962.0,9120372.88,46980.450000000004,0.4791183446685275,0.25394766154289683,0.5606269083094181,0.01808389354090498,4.126237962,3.4992794590400176
2026-05-04,0xd8ad0fd8b59b759d9ba4f1293b1f8d8d113b7598,12905,4587125390,6466,12,11,268062,12894,160144485855893,3683,10,984270,360812.5,6649881912.0,4587125.39,984.27,0.5010461061604029,0.0009298721425803952,0.2853932584269663,0.0007748934521503294,6.649881912000001,20.78966961377385
2026-05-04,0xbeccae9ffcb69e9d42a1d4e744abf8056149562d,51734,4346528710,21439,6891,3035,181907,48699,89710689689685,24926,346,6493420,100600.0,1056515095.5,4346528.71,6493.42,0.41440831948041906,0.1332006030850118,0.48181080140719834,0.006688058143580624,1.0565150955,3.7353333744019386
2026-05-04,0xc8656b0c5e79bf06386148b065a8af417b508371,16096,4049975790,4307,2,1,486002,16095,87787884934050,6988,6,1278280,249650.0,1723529513.5,4049975.79,1278.28,0.26758200795228626,0.00012425447316103378,0.4341451292246521,0.0003727634194831014,1.7235295135000002,30.195837216526872
2026-05-04,0x354bcb431a332079950d2ce3a4698745e0f66425,32995,3686572350,16528,1846,213,9510033,32782,170131430830656,17312,53,2269680,62080.0,808754515.0,3686572.35,2269.68,0.5009243824821943,0.05594787088952872,0.5246855584179421,0.0016063039854523414,0.8087545150000001,290.09923128546154
2026-05-04,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,169368,2738033480,83550,13610,5607,1497291,163761,1023330908403313,80698,1115,3809550,15885.0,28723082789.5,2738033.48,3809.55,0.49330452033441974,0.08035756459307543,0.47646544801851587,0.006583297907514997,28.7230827895,9.143147635884002
2026-05-04,0xb7789ab9f0d568e0aa5469e3cc8eff8682fc8673,12823,2737350940,6417,0,0,2540129,12823,327601281959773,82,0,0,179780.0,13277780449.0,2737350.94,0.0,0.5004289167901427,0.0,0.0063947594166731654,0.0,13.277780449000002,198.09163222334868
2026-05-04,0x7ab80d2c05e5ed068454f4a7553047c8d0ff8136,12317,2500010530,5930,5,4,702792,12313,803091060134189,1671,25,1999080,205695.0,163417169240.75,2500010.5300000003,1999.0800000000002,0.48144840464398797,0.00040594300560201345,0.1356661524721929,0.0020297150280100674,163.41716924075,57.077235442215546
2026-05-04,0x44a3e107c375c1abfa28c1ac5e92bc85f0b435dd,46862,2393548240,23237,5708,2816,202784,44046,139368738415205,29702,611,10830450,51730.0,16591756708.0,2393548.24,10830.45,0.4958601852247023,0.12180444709999573,0.6338184456489266,0.013038282617045795,16.591756708000002,4.603914089815193
2026-05-04,0x76987ceada087975a0cedef7753f25bf86234480,4516,2294589840,2417,6,5,278982,4511,438560535159731,326,11,333660,514625.0,274825226913.0,2294589.84,333.66,0.5352081488042516,0.001328609388839681,0.07218777679362268,0.002435783879539415,274.825226913,61.84482376413212
