dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,27423,19699,1171,1172,2343,1171,2110.0328008037873,1,-3.7006104698909463,3.0938710067867627,0,0.0,0.0,2106.3321903338965,0.5002134016218523,1,0.0,18.947,1.8019067470570336,0.005977796754910333,0.04355251921434671,0.19897523484201537,0.34244235695986336,0.6549957301451751,0.8104184457728437
2026-05-05,34945,31540,1211,1210,2421,1210,2755.295293119365,1,1.7278162459527624,0.9938786803305222,0,0.0,0.0,2757.023109365318,0.5002065262288311,1,0.0,17.085,2.2771035480325303,0.008264462809917356,0.05537190082644628,0.23801652892561984,0.387603305785124,0.6504132231404959,0.8016528925619835
2026-05-06,38900,40021,2126,2125,4251,2125,6386.987348316828,1,6.197855875815077,3.577349058822741,0,0.0,0.0,6393.185204192642,0.5001176193836744,1,0.0,14.307,3.0056411050902727,0.019294117647058823,0.07670588235294118,0.2752941176470588,0.4098823529411765,0.6931764705882353,0.8432941176470589
2026-05-07,41019,28854,1503,1504,3007,1503,2227.6320988739117,1,-5.434380204533957,3.1737828644140547,0,0.0,0.0,2222.1977186693775,0.5001662786830728,1,0.0,14.228,1.482123818279383,0.011310711909514305,0.06320691949434465,0.27345309381237526,0.4204923486360612,0.6786427145708582,0.8290086493679308
2026-05-08,40060,33316,1784,1784,3568,1784,2608.998313800097,0,0.0,0.0,0,0.0,0.0,2608.998313800097,0.5,1,0.0,11.433499999999999,1.462443001009019,0.016255605381165918,0.07062780269058296,0.31446188340807174,0.4674887892376682,0.7225336322869955,0.8660313901345291
2026-05-09,11422,9758,1444,1443,2887,1443,7307.533169430398,1,-3.1368572354136393,4.085495934432602,0,0.0,0.0,7304.396312194984,0.5001731901627987,1,0.0,20.627,5.064125550540821,0.010395010395010396,0.038115038115038115,0.1864171864171864,0.31185031185031187,0.6860706860706861,0.8218988218988219
2026-05-10,10331,12096,1132,1132,2264,1132,1160.7332565906383,0,0.0,0.0,0,0.0,0.0,1160.7332565906383,0.5,1,0.0,16.591,1.025382735504099,0.01678445229681979,0.05830388692579505,0.2747349823321555,0.4010600706713781,0.6466431095406361,0.7765017667844523
2026-05-11,51983,49182,4391,4391,8782,4391,8599.918288505141,0,0.0,0.0,0,0.0,0.0,8599.918288505141,0.5,1,0.0,5.933,1.9585329739251038,0.0391710316556593,0.1473468458209975,0.45752675928034614,0.6340241402869505,0.8927351400592121,0.9653837394670918
2026-05-12,54222,45460,3168,3169,6337,3168,2462.9162481289554,1,-2.9380749524029164,2.5828649587493966,0,0.0,0.0,2459.9781731765524,0.5000789016884961,1,0.0,6.465,0.7774356843841388,0.020202020202020204,0.11205808080808081,0.43308080808080807,0.6142676767676768,0.8753156565656566,0.9652777777777778
2026-05-13,42237,29713,2615,2614,5229,2614,1333.2154271554386,1,-1.1828552657771976,1.468138164443701,0,0.0,0.0,1332.0325718896615,0.5000956205775483,1,0.0,6.382,0.5100288550709405,0.016449885233358837,0.10749808722264728,0.42846212700841624,0.6400153022188217,0.8905891354246366,0.9628921193573068
2026-05-14,36552,35149,2140,2140,4280,2140,1529.1047008336163,0,0.0,0.0,0,0.0,0.0,1529.1047008336163,0.5,1,0.0,6.356,0.7145349069315953,0.01588785046728972,0.10700934579439253,0.4350467289719626,0.6299065420560748,0.8789719626168224,0.9504672897196261
2026-05-15,47088,45898,2483,2484,4967,2483,2220.4326625527124,1,2.697310274512963,1.2649973393673077,0,0.0,0.0,2223.129972827225,0.5001006643849406,1,0.0,6.257,0.8942539921678258,0.024567055980668547,0.12484897301651228,0.4389850986709625,0.6250503423278292,0.8836085380587998,0.963753523962948
2026-05-16,15918,10086,1091,1091,2182,1091,738.6687551802714,0,0.0,0.0,0,0.0,0.0,738.6687551802714,0.5,1,0.0,19.041,0.677056604198233,0.06416131989000917,0.10632447296058661,0.2841429880843263,0.3629697525206233,0.6663611365719523,0.8120989917506874
2026-05-17,15705,19518,1258,1259,2517,1258,642.2937510099056,1,-0.9339999999999999,2.3002734865170593,0,0.0,0.0,641.3597510099056,0.5001986491855384,1,0.0,18.826500000000003,0.5105673696422152,0.018282988871224166,0.06677265500794913,0.22655007949125597,0.3354531001589825,0.6756756756756757,0.8251192368839427
2026-05-18,45217,40498,2232,2232,4464,2232,2089.341726609079,0,0.0,0.0,0,0.0,0.0,2089.341726609079,0.5,1,0.0,5.769500000000001,0.9360850029610586,0.022401433691756272,0.13620071684587814,0.4632616487455197,0.6415770609318996,0.8767921146953405,0.9556451612903226
