hd,qd,n,n_fill,sum_pnl,mean_p,mean_q,mean_spread,mean_obi,mean_ofi,p_fill,pnl_per_fill,ev_pooled,ev_daily,se_daily,n_days,ev_h1,ev_h2
0,0,635103,4770.0,-20770.380489300936,0.001890708530129712,-2.7036834948967647,0.4648899571588724,0.6182659856994389,108.53358179837538,0.007510592769991639,-4.354377461069379,-0.03270395587692223,-0.028195519665475836,0.002581928406877034,39,-0.028065572904064712,-0.03448146609170255
0,1,269456,944.0,-1964.7775215245783,0.002016655548383814,-1.868931026446778,1.3362233706550726,0.5386337742345199,93.46007590352735,0.0035033549076658155,-2.0813321202590873,-0.007291645097992171,-0.0064375003503833045,0.0015393101717897245,39,-0.004254431398231406,-0.009764510068659926
0,2,247991,796.0,-1427.4807773875073,0.0019901039217860702,-1.5343859350880944,1.9171684721231128,0.47819921571776786,73.55868698124434,0.0032097939038110254,-1.7933175595320443,-0.005756179770183221,-0.0047910249260737945,0.0013446647973699277,38,-0.0035698148732920213,-0.008108828687469528
0,3,236829,751.0,-1117.5841882210225,0.002114109487931706,-1.2997821849521156,2.315130550085837,0.4050376498727042,56.16885279558684,0.0031710643544498353,-1.4881280801877796,-0.004718949909939334,-0.005129328249408946,0.0022610886233806887,37,-0.002068898856904438,-0.008506507875574894
0,4,214598,700.0,-938.3276966121048,0.0020038486656829904,-1.0835363096897588,2.820274931079083,0.35467034317053725,46.65379119280457,0.0032619129721619027,-1.3404681380172925,-0.004372490408168318,-0.005775194909152922,0.0028237549659606543,37,-0.001816497528028306,-0.009009706541224813
0,5,164044,657.0,-683.7169359605759,0.0019613599230378937,-0.8883999067760062,3.2900607954876135,0.31253768549006616,38.3493917802141,0.0040050230425983276,-1.0406650471241643,-0.004167887493358952,-0.009400490174455727,0.004810983429538448,36,-0.00043059609486316235,-0.01279133381487452
0,6,118168,590.0,-642.2203243207186,0.0018334249213365352,-0.6897792986669123,3.912832088764132,0.285695685971538,34.993556175934266,0.004992891476541873,-1.0885090242724045,-0.005434807429428598,-0.012939469749100149,0.0034151789240676215,35,-0.002799293013069656,-0.012187454094440154
0,7,89809,518.0,-592.6301248706877,0.0018198727156951606,-0.481324862072442,4.581398017630735,0.2616136581435768,33.405294116801265,0.005767796100613524,-1.1440736001364629,-0.0065987832496819665,-0.008414454482581013,0.006103017454769415,34,-0.00013969674745786136,-0.023153427592425117
0,8,67077,627.0,-1085.8756822012365,0.001797110312037451,-0.2119953663525321,5.600641453218892,0.22274698679059435,30.96919097924513,0.009347466344648687,-1.7318591422667249,-0.016188495046010352,-0.027438164352927463,0.013389226562958077,32,-0.008177732739477379,-0.035013766462461564
0,9,43544,987.0,-3004.415446797386,0.001653841417862876,0.4601510314856822,8.462814540336371,0.18126118755298673,22.312439979471385,0.022666727907404004,-3.043987281456318,-0.06899723146236877,-0.06873159572992778,0.0350657236149043,34,-0.04445962795229544,-0.11629406436769367
1,0,771324,7705.0,-19210.3226426607,0.004265720300480569,-2.601958174490265,0.3607379819583633,0.48728769920661447,60.99210140850185,0.00998931707038806,-2.493228117152589,-0.02490564619104384,-0.023799392172228515,0.0029866674614818915,39,-0.023152600242427462,-0.025731480843260497
1,1,479576,2754.0,-3023.717140344903,0.004149830652014827,-1.8671419449732787,1.0670541821409554,0.3863303657987467,31.99312139349391,0.005742572605801791,-1.097936507024293,-0.006304980108147411,-0.008673781455098407,0.003323505991588613,39,-0.006987759378745719,-0.0054757184868070505
1,2,325076,1506.0,-1304.0418598214164,0.004016603930090989,-1.5440152078701042,1.5477570594988725,0.34073802217260996,27.355844116021863,0.004632762800083672,-0.8658976492838091,-0.0040114984182819296,-0.00853810579264718,0.005023406693935828,39,-0.003442275627351588,-0.004592432374705078
