coin,cfg,size_unit,size_usd,pairs_day,pair_bp,aon_usd_day,aon_se_day,aon_t,p_sign,p_day_pos,worst_day_usd,forced_usd_day,forced_day,partial_usd_day,partial_usd_year,n_days
xyz:MU,門なし,0.0,0.0,6246.871794871795,-1.8470198257342327,-0.0,0.0,NaN,3.637978807091713e-12,0.0,-0.0,-0.0,0.7435897435897436,0.0,0.0,39
xyz:MU,門なし,0.108228,99.9999663,3629.0,-1.316653951689553,-46.05827348063034,5.020015950699408,-9.17492572393387,3.637978807091713e-12,0.0,-139.48193984138157,-0.026276391362893833,0.7948717948717948,-78.5054391141938,-19783.37065677684,39
xyz:MU,門なし,1.08228,999.9996629999998,2415.923076923077,-1.3790571969074439,-321.5511904168058,34.67945159068452,-9.272095597474205,3.637978807091713e-12,0.0,-919.1818502155224,-0.283693898865191,0.717948717948718,-430.4657054645929,-108477.3577770774,39
xyz:MU,門なし,10.8228,9999.99663,679.8717948717949,-1.8461518483352664,-1214.2793563490802,145.63244368345494,-8.33797281454965,1.4551915228366852e-10,0.02564102564102564,-4183.522944756376,-3.5635633009790135,0.7435897435897436,-2423.871772697305,-610815.6867197208,39
xyz:MU,門なし,108.228,99999.96629999999,48.94871794871795,-3.077117590557415,-1438.3195610663165,658.7737127235787,-2.1833287110377384,0.5223973804968411,0.4358974358974359,-11624.84462929038,-96.28393009168289,0.5641025641025641,-8535.372678748008,-2150913.915044498,39
xyz:MU,門なし+130ms,0.0,0.0,5010.871794871795,-2.1302985578183824,-0.0,0.0,NaN,3.637978807091713e-12,0.0,-0.0,-0.0,0.717948717948718,0.0,0.0,39
xyz:MU,門なし+130ms,0.108228,99.9999663,2768.2820512820513,-1.6159855289313438,-43.25876295799515,4.418528007032382,-9.790310911042308,3.637978807091713e-12,0.0,-119.08281541039271,-0.02429721795460664,0.6923076923076923,-75.00262829832558,-18900.662331178046,39
xyz:MU,門なし+130ms,1.08228,999.9996629999998,1798.128205128205,-1.7382354245192526,-302.1783139640313,31.597742382241446,-9.563288108009308,3.637978807091713e-12,0.0,-821.7370977372149,-0.28266440752950056,0.6666666666666666,-405.64730289311785,-102223.1203290657,39
xyz:MU,門なし+130ms,10.8228,9999.99663,477.2307692307692,-2.238380097117201,-1038.079206768427,121.88568361055978,-8.516826390252868,1.4551915228366852e-10,0.02564102564102564,-3191.1954942857337,-4.051031876931469,0.717948717948718,-2232.585358777051,-562611.5104118169,39
xyz:MU,門あり,0.0,0.0,23.743589743589745,-0.7611337921116932,-0.0,0.0,NaN,3.637978807091713e-12,0.0,-0.0,0.0,0.0,0.0,0.0,39
xyz:MU,門あり,1.08228,999.9996629999998,13.820512820512821,0.5980284639085129,0.8699549442011106,0.7498617979460769,1.1601537064349419,0.7492586247608418,0.5384615384615384,-9.092433924199723,0.0,0.0,-0.44949768948980884,-113.27341775143182,39
xyz:MU,門あり,10.8228,9999.99663,6.3076923076923075,0.6012492738325965,3.583236851830685,8.196412679982313,0.4371713567548697,0.3367836351899315,0.41025641025641024,-126.66545012410428,0.0,0.0,5.077756142738997,1279.594547970227,39
xyz:MU,門あり+130ms,0.0,0.0,13.179487179487179,-1.554931770923781,-0.0,0.0,NaN,3.637978807091713e-12,0.0,-0.0,0.0,0.0,0.0,0.0,39
xyz:MU,門あり+130ms,1.08228,999.9996629999998,7.410256410256411,-0.05851562841941994,-0.04430983397969316,0.6237666964161532,-0.07103590851238928,0.10812902140605732,0.358974358974359,-12.629773323789758,0.0,0.0,-1.0360893191575142,-261.0945084276936,39
xyz:MU,門あり+130ms,10.8228,9999.99663,3.4358974358974357,1.5421624490603756,4.275848998945684,6.970081067841589,0.6134575706261876,0.10812902140605732,0.358974358974359,-77.797316386512,0.0,0.0,0.6886484774594241,173.5394163197749,39
xyz:INTC,門なし,0.0,0.0,826.3,-1.3462163942618943,-0.0,0.0,NaN,1.8189894035458565e-12,0.0,-0.0,-0.0,0.8,0.0,0.0,40
xyz:INTC,門なし,0.924129,99.99999909,481.45,-0.6654451586984974,-3.071723075558601,0.8234815450126948,-3.730166260752386,0.0006795482549932785,0.225,-20.911888998676936,-0.03754658352706211,0.875,-6.977804330380809,-1758.4066912559638,40
xyz:INTC,門なし,9.24129,999.9999909000001,305.625,-1.0332474783088321,-29.594949429862577,6.947151108022147,-4.260012337386491,0.0022214337732293643,0.25,-190.84869467112452,-0.47302684744439255,0.8,-34.118285413832666,-8597.807924285831,40
xyz:INTC,門なし,92.4129,9999.999909,80.25,-1.6330571389155766,-116.97224499663507,70.51764847984434,-1.6587655362624376,0.0806904677519924,0.35,-1777.712721557206,-17.625397320402033,0.7,-219.9330680967,-55423.1331603684,40
xyz:INTC,門なし,924.129,99999.99909000001,9.15,-3.936390425825635,-291.9334384142884,448.39845046734246,-0.6510580893177068,0.1538599441628321,0.375,-10253.436509021869,-10.758976855452097,0.675,-877.6782178679877,-221174.9109027329,40
xyz:INTC,門なし+130ms,0.0,0.0,701.125,-1.5489148254046614,-0.0,0.0,NaN,1.8189894035458565e-12,0.0,-0.0,-0.0,0.75,0.0,0.0,40
