feat,n,mean,sd,min,max
bid_first_gap,55484071,3.3011274533189896,3.8807142290805907,1.0,39.0
ask_first_gap,55489901,3.4805883867048166,4.0871839522163445,1.0,39.0
max_gap,55552724,9.208952759904268,5.042306567186418,1.0,39.0
mean_gap,55552724,2.587580281772941,1.463800353947597,1.0,39.0
median_gap,55552724,1.7574881296549922,1.225925700752114,1.0,39.0
gap_var,55547996,6.36948299105688,12.037254650141671,0.0,361.0
gap_asym,55421248,-0.004767387521782841,0.23069354121662725,-0.95,0.95
dist_next_bid_bp,55484071,1.4331919178640806,1.1739387893365927,0.1500007500036136,53.16190087241816
dist_next_ask_bp,55489901,1.4537564240810623,1.1698506870415708,0.15000225003361406,54.247950240315525
empty_count,55554291,42.37816310174852,14.857138423186075,0.0,78.0
void_size,55552724,8.208952759904268,5.042306567186418,0.0,38.0
void_asym,55405955,-0.00811971647705795,0.34671724072940857,-1.0,1.0
depth_disc,55554291,6.031481324315037,1.6228587155341903,0.0,16.431926494798653
