coin,regime,h,n_trades,spread_bp,cost_bp,size_usd,gross_bp,gross_lag1_bp,se_bp,t_gross,rand_gross_bp,rand_net_bp,net_bp,t_net,total_usd,rand_total_usd,n_days
MU,2,60,228569,1.2445480310685988,2.824548031068599,999.62359,0.43575654196796926,0.3126972623839446,0.05277837020885476,5.924723729560762,0.05302066542400707,-2.771527365644592,-2.5118507686846545,-47.59242770750119,-57391.51096155846,-63324.678825941824,98
MU,2,300,228560,1.2445480310685988,2.824548031068599,999.62359,0.539519176504479,0.42060417631243463,0.20920382681638655,2.010499438337662,0.22249531402694012,-2.6020527170416585,-2.4039438547561645,-11.490917213794809,-54923.859069725324,-59450.130850617556,98
MU,3,60,223260,1.2445480310685988,2.824548031068599,999.62359,0.46921505320573464,0.35169379522515165,0.049801307973709394,7.061938923588398,-0.054211232651471784,-2.8787592637200707,-2.4728542358434473,-49.65440339737446,-55188.16247095419,-64246.98700720578,98
MU,3,300,223251,1.2445480310685988,2.824548031068599,999.62359,0.3906697124794959,0.27247616442920247,0.212891998177471,1.2798797829971087,-0.017529803858326313,-2.842077834926925,-2.5520718666393964,-11.987636400086481,-56953.81357243389,-63425.788781537565,98
MU,4,60,134659,1.2445480310685988,2.824548031068599,999.62359,0.7954854830310992,0.5836840429731517,0.10161339299104373,5.744164482575618,-0.045676455156146385,-2.8702244862247452,-2.2408639880954473,-22.05284089168205,-30163.892111299967,-38635.60760386807,98
MU,4,300,134656,1.2445480310685988,2.824548031068599,999.62359,1.0022144910690738,0.804616148035277,0.30129788116215345,2.670500519060226,0.17152335545642974,-2.653024675612169,-2.0199318830333217,-6.704102515564085,-27189.356564708316,-35711.12198687887,98
MU,5,60,135074,1.2445480310685988,2.824548031068599,999.62359,0.523830205114265,0.3163145729243965,0.08559666649156222,3.695407612112763,-0.017673644810934114,-2.842221675879533,-2.5082334581442023,-29.302933875251483,-33866.95994991252,-38376.57429903057,98
MU,5,300,135070,1.2445480310685988,2.824548031068599,999.62359,0.26824981820694427,0.06157208010261105,0.3261597737047474,0.18877889018389038,-0.247920420345149,-3.072468451413748,-2.7629759509659877,-8.47123457188544,-37305.468730616165,-41484.21042171829,98
SNDK,2,60,205879,1.4353723595116248,3.015372359511625,1454.7373000000002,0.4710966419073363,0.35201586537468343,0.0630734860127605,5.581043440400084,-0.0025343313942538907,-3.017906690905879,-2.6633564941369414,-42.22624532910886,-79767.48986866961,-90386.26331899801,99
SNDK,2,300,205874,1.4353723595116248,3.015372359511625,1454.7373000000002,0.5217972722585091,0.4013796144081777,0.24557462643284364,1.6344506769226073,-0.19108501266415182,-3.2064573721757768,-2.6139927451034475,-10.644392635646689,-78287.14493693867,-96031.02131781408,99
SNDK,3,60,204100,1.4353723595116248,3.015372359511625,1454.7373000000002,0.5203541503907108,0.39674197430366775,0.05375942287824383,7.379952258829535,0.013883963783593483,-3.0014883957280314,-2.6186303852079575,-48.71016549300986,-77750.2478369806,-89117.75711681548,99
SNDK,3,300,204094,1.4353723595116248,3.015372359511625,1454.7373000000002,0.6789476474136353,0.5470193283849745,0.24340498875465053,2.247362846520635,-0.0765438647075746,-3.0919162242191995,-2.4683530311266506,-10.1409303225692,-73286.18013764432,-91799.96804395797,99
SNDK,4,60,131058,1.4353723595116248,3.015372359511625,1454.7373000000002,0.8596077486184288,0.6250998288460187,0.1090276815155598,5.733404766172232,0.003403982265449275,-3.0119683772461756,-2.3902725306656065,-21.923538109213858,-45571.731626496585,-57424.67136880619,99
