source,n,abs_med_bp,rmse_bp
perp(1 秒 mid・13:29:59),66,11.594780369879516,47.63557566377992
プレマーケット(13:29:59),66,5.180407062505282,41.703551399873355
プレマーケット(13:00),66,87.18502614504428,135.6302556376236
perp(公開足・13:00),66,63.34777547136152,100.4811152986274
指数先物だけ(β 調整なし),66,326.82619319843576,424.1306000048237
何もしない(前日の引け),66,389.50237954610736,506.84702769634987
