feat,bin_i,bin,n_full,n_sub,fill_rate,spread_bp_mean_full,spread_bp_med,spread_bp_q1,spread_bp_q3,qsize_mean_full,qsize_med,qsize_q1,qsize_q3,fillsz_mean_full,fillsz_med,fillsz_q1,fillsz_q3
OBI,0,−1.00〜−0.75,7840554,234598,0.13586680226932943,1.8355147403182719,1.2811479085263309,0.7381435689234844,2.330436471989269,36.111953631979084,15.796000000000001,6.166,38.630250000000004,0.3725985281140221,0.0,0.0,0.0
OBI,1,−0.75〜−0.50,3460382,103680,0.12842686154303196,1.9339667024963734,1.4835144477625595,0.7811584579942695,2.472870549474115,19.171212501972388,7.0809999999999995,2.6310000000000002,21.454,0.3554389697438055,0.0,0.0,0.0
OBI,2,−0.50〜−0.25,2741385,81952,0.12763584830295635,1.9791632505278425,1.5496668216337013,0.7972733261776288,2.516831309382061,17.23920985268484,6.6290000000000004,1.891,20.223,0.3611578399239804,0.0,0.0,0.0
OBI,3,−0.25〜0,2817211,84942,0.12327120687800808,2.0052555023287653,1.6088810232486968,0.8142990920557718,2.570016898178722,16.122044698106798,6.0775,1.619,18.11,0.34049064234095305,0.0,0.0,0.0
OBI,4,ちょうど 0,208540,6281,0.035393689460055625,2.882573538868541,2.3840743831212956,1.258257313619491,3.7632183042938316,5.320090227295981,1.06,0.512,12.604,0.14573102042773553,0.0,0.0,0.0
OBI,5,0〜+0.25,2801985,83855,0.12366233223946595,2.012938442224921,1.6168148746953765,0.8169600914987873,2.555747236597429,16.163095604722766,6.1690000000000005,1.626,18.2325,0.3355896619717753,0.0,0.0,0.0
OBI,6,+0.25〜+0.50,2729651,81797,0.12771376267515516,1.9756891401717207,1.5562991206907608,0.7961466502122452,2.531485349027679,17.66272085076023,6.683999999999999,1.895,20.171,0.37145879967805345,0.0,0.0,0.0
OBI,7,+0.50〜+0.75,3452912,103274,0.12808811808699438,1.9219821764706209,1.470155836519005,0.7780587434344217,2.445884798825488,19.94623552149732,7.3420000000000005,2.7560000000000002,22.4475,0.3695518168432953,0.0,0.0,0.0
OBI,8,+0.75〜+1.00,7583931,227714,0.13672619120611726,1.8260587455242137,1.27832284173849,0.7379801483333386,2.341070572534046,36.71050366306941,16.059,6.31,39.033,0.38785742921426775,0.0,0.0,0.0
OFI_z,0,< −2σ,944120,28336,0.04139304325721307,1.9464865448877284,1.416029453412953,0.7391802491047524,2.4814280636404114,51.00368332309315,31.647,12.246,67.23975,0.9740346100072019,0.0,0.0,0.0
OFI_z,1,−2〜−1σ,1764184,52845,0.04104447155172023,1.823919566511756,1.3916916011415037,0.7417572228619694,2.3993281881069666,38.14050661155639,22.763,10.4,47.011,0.39176396679711384,0.0,0.0,0.0
OFI_z,2,−1〜−0.5σ,2404087,71797,0.048846817939616996,1.8972316398448674,1.4696156954954052,0.7636210912138448,2.4778541782821715,28.165148953847368,14.491,6.157,30.860000000000003,0.39209681388402606,0.0,0.0,0.0
OFI_z,3,−0.5〜0σ,11464731,343118,0.16214397005913178,1.905264675805412,1.42683883855351,0.7743833972210201,2.4214540831761218,22.55263345672924,7.803,2.211,21.80975,0.3155521418687182,0.0,0.0,0.0
OFI_z,4,ちょうど 0,61693,1830,0.01841375844909471,2.034922592054892,1.5935620120100702,0.8164598342597342,2.4697206913983645,9.540683092084937,3.312,0.985,13.112,0.052374434700857425,0.0,0.0,0.0
OFI_z,5,0〜+0.5σ,11694461,350713,0.1735883338274419,1.9165631635716818,1.4352350197331762,0.7748634303197014,2.4326461108075836,22.24538374261137,7.747,2.201,21.359,0.30390470890425036,0.0,0.0,0.0
OFI_z,6,+0.5〜+1σ,2389981,71884,0.0488284216485403,1.9110728716187122,1.4813351776762191,0.7725736367898669,2.4978144123883075,27.74221059916763,14.270499999999998,6.1000000000000005,30.58425,0.3888890643900521,0.0,0.0,0.0
OFI_z,7,+1〜+2σ,1736512,52308,0.04144457395053993,1.8375959618924393,1.4129282938878,0.74739812107583,2.411890621490638,37.43032173230061,22.376,10.239749999999999,46.7495,0.3986251416632849,0.0,0.0,0.0
OFI_z,8,> +2σ,929282,27837,0.04121353905488323,1.9525858809948944,1.4147273113110668,0.7384706273318054,2.511931675457571,50.116140763515226,30.691,11.886,66.49900000000001,0.9111183139240815,0.0,0.0,0.0
