h,nday,ba,ba_pos,ab,ab_pos,sync,plc,plc_abs_max
100ms,99,0.025364937623909005,92,0.011514496369744984,88,0.07054985566209244,-0.00008007542219017168,0.010292935935355343
500ms,99,0.023836576170268166,95,0.05524644690294503,91,0.15477367562697159,-0.0004989762516620555,0.007097384349642166
1s,99,0.03268416665853808,95,0.049373908949146124,91,0.22958097176136674,-0.00015232358895466894,0.011876301664658234
5s,99,0.037170458620632604,92,0.03245968648774076,88,0.37955612513316067,0.0016610340201812003,0.03419923398024171
10s,99,0.03622728172938666,82,0.027562671965287517,80,0.4230570520963486,0.002749969228361748,0.0658110672448556
30s,99,0.025261757366495826,76,0.017651389042955847,62,0.4744280231739583,0.005065769481615846,0.05657166236089622
60s,99,0.03330129506697597,66,0.02301880067918288,64,0.4977995851668342,0.00869211657496661,0.07593976518668635
