event,n_all,quintile,n,ofi_z_med,fwd5_mean,fwd15_mean,p_hold
上バンド突破,5208,1,1042,-0.12232011556625366,1.992116376364226,3.9390186388042348,0.4865642994241843
上バンド突破,5208,2,1041,0.43726733326911926,-1.0460349507122295,-1.4943760212434831,0.4956772334293948
上バンド突破,5208,3,1042,0.8843350410461426,0.8830488998750616,1.6180545064656384,0.4865642994241843
上バンド突破,5208,4,1041,1.4272022247314453,1.6506961431631524,2.307320141596249,0.515850144092219
上バンド突破,5208,5,1042,2.4505202770233154,1.9440306402040637,2.3194831496143724,0.510556621880998
下バンド突破,5229,1,1046,-0.10699694603681564,1.313060468391258,1.8254201482302863,0.4808795411089866
下バンド突破,5229,2,1046,0.4600359797477722,-0.25318010743908126,-0.6645528312587458,0.4847036328871893
下バンド突破,5229,3,1045,0.8984439373016357,-0.1414329051233243,-0.4045768018938362,0.48229665071770333
下バンド突破,5229,4,1046,1.435554027557373,0.11645371644978887,1.1436015909458457,0.48852772466539196
下バンド突破,5229,5,1046,2.441770076751709,0.9521895526117115,0.1465025128748567,0.4655831739961759
中間線 上抜け,8055,1,1611,-0.21386155486106873,-0.8357714127247322,-0.5557946092617638,0.489137181874612
中間線 上抜け,8055,2,1611,0.2491588592529297,0.19057323647890184,0.074659955076632,0.49472377405338297
中間線 上抜け,8055,3,1611,0.6166706681251526,0.17009844484358147,1.7767035328843406,0.5133457479826194
中間線 上抜け,8055,4,1611,1.0686267614364624,1.0397091490922603,1.6940887928346187,0.5040347610180013
中間線 上抜け,8055,5,1611,1.8992884159088135,1.6812216209913602,0.4137696261032532,0.5065176908752328
中間線 下抜け,8050,1,1610,-0.2253110408782959,-0.021991835959615947,0.471084830908961,0.4906832298136646
中間線 下抜け,8050,2,1610,0.25618526339530945,0.89819964798637,0.3745858069515257,0.5018633540372671
中間線 下抜け,8050,3,1610,0.6045005321502686,0.7756378707088524,-0.9296272610339527,0.5161490683229814
中間線 下抜け,8050,4,1610,1.0570862293243408,0.5111832042600741,0.26490572214272434,0.5217391304347826
中間線 下抜け,8050,5,1610,1.9131749868392944,1.493076845703266,2.62103116393227,0.4962732919254658
