dt,day_type,kappa_売り,kappa_買い,t_half_売り,t_half_買い,n_売り,n_買い,asym
2026-06-25,立会日,0.8646017528171883,0.7825921078439904,801.6953219229762,885.7068370770282,1439,1271,-0.04978748824396391
2026-06-26,立会日,0.6283471050850101,0.8003774225680758,1103.1278332477848,866.0254037850373,1635,1296,0.12040831815609242
2026-06-27,閉場日,0.872451443030213,0.8733233594322183,794.4822524814807,793.6900916501417,214,278,0.0004994438004119368
2026-06-28,閉場日,0.5659523030071105,0.602661825179964,1224.7448713911087,1152.7631012961697,125,120,0.031412868702693754
2026-06-29,立会日,0.7647586619150273,0.9080054250336567,906.3727452939047,763.3766458642764,1100,1588,0.08563476717145938
2026-06-30,立会日,0.6756332932061933,0.9180210673233578,1025.9221792795918,755.0529221027127,609,1764,0.1520955736202561
2026-07-01,立会日,0.7903121077975938,0.7940205094328807,877.0558186666467,872.9587867384145,728,645,0.0023406711412465335
2026-07-02,立会日,0.800373410761487,0.6282441019482514,866.0297446668985,1103.3087640967842,1999,1240,-0.12048662940351919
2026-07-03,閉場日,0.5659523030068888,0.5954071541695508,1224.7448713915883,1164.1566207358026,2436,2448,0.025362389724086148
2026-07-04,閉場日,0.5674194088635025,0.5538034902367892,1221.5782007673404,1251.6134098718464,613,912,-0.01214381068888192
2026-07-05,閉場日,0.5774240765596752,0.5550457950298259,1200.4126753594253,1248.8108834496657,421,490,-0.019760597691168457
2026-07-06,立会日,0.5799540041254815,0.6005953646732346,1195.1761271226137,1154.1001168683101,2599,2135,0.017484538210169907
2026-07-07,立会日,0.7575178880150344,0.6375124994455292,915.0241750412479,1087.2683769538696,4773,3753,-0.08602349428958056
2026-07-08,立会日,0.6831333811787956,0.7882955372393432,1014.6595491889661,879.298626514576,5366,5490,0.07146940959513169
2026-07-09,立会日,0.5987088347666027,0.6634725919703112,1157.7366841687497,1044.7261709809438,2070,3441,0.051310973075511454
2026-07-10,立会日,0.5659523030068888,0.5688829953580242,1224.7448713915883,1218.4354477983534,1153,1508,0.0025824825464611425
2026-07-11,閉場日,0.5774271772536557,0.7485613848275596,1200.4062293303791,926.4561202947366,83,198,0.12906160163651711
2026-07-12,閉場日,0.5964963048852501,0.5662007315052231,1162.0309713289646,1224.2074974315908,2323,229,-0.026056291907372412
2026-07-13,立会日,0.652619112089457,0.7127409657244115,1062.1006460272542,972.5095141986803,5937,4612,0.04403369822502642
2026-07-14,立会日,0.7976067443120025,0.6873619475599662,869.0337506584631,1008.4165933705832,5057,3894,-0.07424048557755146
2026-07-15,立会日,0.7542713486735287,0.7961934812978296,918.9628250161315,870.5763069424853,3920,3393,0.027038428614388703
2026-07-16,立会日,0.690754068879947,0.7781600685140446,1003.4644916154873,890.7514159024018,5677,4804,0.05950381809869781
2026-07-17,立会日,0.799578056171568,0.7995044004260011,866.8911999422437,866.9710638123,5676,6263,-0.0000460612554799435
2026-07-18,閉場日,0.804999416261611,0.8022546550872496,861.0530225958379,863.998951161663,1955,1521,-0.0017077332223261407
2026-07-19,閉場日,0.8002379220680398,0.8005657147345899,866.1763746328563,865.8217155723976,832,2061,0.0002047675673731349
2026-07-20,立会日,0.8003774225695581,0.8017629143658395,866.0254037834336,864.5288627601283,3404,4783,0.0008647755532649083
2026-07-21,立会日,0.7986607399010491,0.7243602017921281,867.8868835943352,956.9095304311872,5400,5863,-0.048784974700557565
2026-07-22,立会日,0.6460742258976018,0.7846371374023074,1072.8599792027678,883.3983885545061,4551,4138,0.09684896273215646
2026-07-23,立会日,0.6491982165561305,0.7928202609083597,1067.6972965865177,874.2803567681082,7958,5703,0.0995979223544768
2026-07-24,立会日,0.7986617960271754,0.7795044872847045,867.8857358745631,889.2151255914218,4681,5423,-0.012138967195692525
2026-07-25,閉場日,0.8183409113784874,0.8099801038054647,847.0151875852638,855.7582801150144,4099,4073,-0.005134618723862744
2026-07-26,閉場日,0.8387076281426186,0.8392289586085336,826.4467345968608,825.9333444703859,3729,3221,0.00031069735890584474
2026-07-27,立会日,0.8004371612585078,0.8004216298635207,865.9607703183017,865.9775758339731,4372,3376,-9.701914418214128e-6
2026-07-28,立会日,0.8516386147216205,0.848947812086877,813.8982531650877,816.4779667592279,4724,4242,-0.0015822792610390146
2026-07-29,立会日,0.8441841542094001,0.8283969718727097,821.085277593832,836.7331172070644,10132,8513,-0.009438814112216276
2026-07-30,立会日,0.8412960866545138,0.8642976587985658,823.9039687048087,801.9773906128921,10952,11658,0.013485961827294194
2026-07-31,立会日,0.8555631717966807,0.8629796394857279,810.1648171359531,803.2022412174288,7672,8413,0.004315555970067937
2026-08-01,閉場日,0.8003774225685176,0.6531767687478547,866.0254037845593,1061.1938814470764,1928,2764,-0.10126946398011802
2026-08-02,閉場日,0.8185938460111327,0.7738084161291288,846.7534711353286,895.7607155881293,2497,3185,-0.0281244450267298
2026-08-03,立会日,0.8562064540642212,0.8666661309517799,809.5561266459038,799.7857027119836,7418,8319,0.006071068155897043
2026-08-04,立会日,1.2733154286435606,1.2400397541875785,544.3640789763634,558.9717492025977,5211,6132,-0.013239543174514286
2026-08-05,立会日,0.8737420323343601,0.8471742394748882,793.3087283303482,818.1872761060879,7061,3124,-0.015438167036180315
2026-08-06,立会日,0.8003774225691282,0.8057961020220233,866.0254037838986,860.2017046503419,3322,2621,0.0033736575593688776
2026-08-07,立会日,0.8230192652892823,0.8227298824137019,842.2004348723851,842.496663229145,5152,2600,-0.00017583656414723624
2026-08-08,閉場日,0.6390655298027919,0.6498153072907729,1084.6261427585407,1066.6833680016448,1105,435,0.008340396705890847
2026-08-09,閉場日,0.6389282144753212,0.8719628072134604,1084.8592482250274,794.9274611551863,1212,585,0.1542365328755924
