metric,fill_rate,fill_prob,fill_to_order,fill_to_cancel,maker_share,vol_exec_quoted,avg_ttf_s,partial_freq,fill_size,queue_at_fill,adverse_10s
fill_rate,0.9999999999999999,0.9617642655511268,0.9885439471622948,0.9999995660503859,0.3537194906299429,0.9568946999563879,-0.27474565128242956,0.056636940938329876,-0.5482259054901135,-0.10559655609819948,-0.3951361614848463
fill_prob,0.9617642655511268,0.9999999999999999,0.9471946242321803,0.9617536337855811,0.3468186068915538,0.9926491105117784,-0.2922398960256724,0.07570850963672653,-0.49313404920554665,-0.10911104162431176,-0.39951145941844296
fill_to_order,0.9885439471622948,0.9471946242321803,0.9999999999999999,0.9885491545576642,0.27122827268525845,0.9582243215740219,-0.23098443639708993,-0.035234122937088955,-0.6081621582918006,-0.09912499271315675,-0.34647564489809396
fill_to_cancel,0.9999995660503859,0.9617536337855811,0.9885491545576642,0.9999999999999999,0.3536915008798328,0.9568840681908422,-0.27461807009588113,0.05654891397191743,-0.5482627912073129,-0.10559655609819948,-0.39506672953152366
maker_share,0.3537194906299429,0.3468186068915538,0.27122827268525845,0.3536915008798328,0.9999999999999999,0.2789319632097517,-0.30764922984792237,0.7067545115023387,0.2884714775767385,-0.16219657579070468,-0.4616192095649568
vol_exec_quoted,0.9568946999563879,0.9926491105117784,0.9582243215740219,0.9568840681908422,0.2789319632097517,0.9999999999999999,-0.2623513993790181,0.0021236098617258767,-0.5393169199124289,-0.10529672309310888,-0.36253460477705707
avg_ttf_s,-0.27474565128242956,-0.2922398960256724,-0.23098443639708993,-0.27461807009588113,-0.30764922984792237,-0.2623513993790181,0.9999999999999999,-0.33398668427313494,0.09667269133380924,0.026856183127108274,0.5417721074051692
partial_freq,0.05663694093832988,0.07570850963672653,-0.035234122937088955,0.056548913971917435,0.7067545115023387,0.0021236098617258767,-0.33398668427313494,1.0,0.2889783118262951,-0.1625735621248699,-0.4400336585376872
fill_size,-0.5482259054901135,-0.49313404920554665,-0.6081621582918006,-0.5482627912073129,0.2884714775767385,-0.5393169199124289,0.09667269133380924,0.288978311826295,0.9999999999999999,0.012257937922881766,0.16046830984617078
queue_at_fill,-0.10559655609819947,-0.10911104162431176,-0.09912499271315675,-0.10559655609819947,-0.16219657579070465,-0.10529672309310888,0.026856183127108274,-0.1625735621248699,0.012257937922881766,1.0,0.05058224139426681
adverse_10s,-0.39513616148484626,-0.39951145941844296,-0.346475644898094,-0.39506672953152366,-0.4616192095649567,-0.3625346047770571,0.5417721074051692,-0.4400336585376872,0.16046830984617078,0.05058224139426681,1.0
