label,cfg,pairs_day,daily,se,t,lo,hi,pos_days,days
★ always(従来・毎回出し直す),q1_imp1_gatedby_q1_imp1,1063.6153846153845,157.72135302982247,43.51189364848666,3.6247871513932144,66.2627353839468,255.88987984448784,27,39
cond km=1s kd=1,q1_te_rqcondkm1kd1_imp1_gatedby_q1_imp1,954.8974358974359,164.9593010047508,52.45639091628555,3.144694061549281,66.88950833401492,270.11404396017974,26,39
cond km=1s kd=2,q1_te_rqcondkm1kd2_imp1_gatedby_q1_imp1,935.1282051282051,137.73253233773656,56.45284927038511,2.4397799954800576,32.71338108116592,252.18158148331025,25,39
cond km=1s kd=5,q1_te_rqcondkm1kd5_imp1_gatedby_q1_imp1,893.3846153846154,65.53033803254341,52.33084508061158,1.2522316032083762,-25.96060204971071,172.99117357424026,20,39
cond km=1s kd=∞,q1_te_rqcondkm1_imp1_gatedby_q1_imp1,697.4102564102565,-155.87426849673915,44.22121902362277,-3.5248749794407934,-248.86914066527268,-79.88410079716395,11,39
cond km=5s kd=1,q1_te_rqcondkm5kd1_imp1_gatedby_q1_imp1,1021.8205128205128,83.27673576752909,35.37738162915526,2.353954191423227,8.04946335422276,163.6407575965199,22,39
cond km=5s kd=2,q1_te_rqcondkm5kd2_imp1_gatedby_q1_imp1,998.4871794871794,62.41495144380362,39.53400820098517,1.5787660873265128,-22.1198957070242,150.81413247144877,16,39
cond km=5s kd=5,q1_te_rqcondkm5kd5_imp1_gatedby_q1_imp1,952.3589743589744,-6.037481094157482,38.74193159059756,-0.15583841192943368,-80.17675826727154,68.74945714403451,14,39
cond km=5s kd=∞,q1_te_rqcondkm5_imp1_gatedby_q1_imp1,652.4102564102565,50.66322513758899,25.538395791140836,1.9838060914994453,3.3979455273635435,94.13969915240327,24,39
cond km=60s kd=1,q1_te_rqcondkm60kd1_imp1_gatedby_q1_imp1,1033.5641025641025,78.18167224390227,35.84828129627928,2.180904339534314,2.5502356448835886,158.74693073605343,21,39
cond km=60s kd=2,q1_te_rqcondkm60kd2_imp1_gatedby_q1_imp1,1007.9230769230769,55.06618655337392,39.96899082159121,1.377722715071085,-30.848326724014733,144.67661984767867,16,39
cond km=60s kd=5,q1_te_rqcondkm60kd5_imp1_gatedby_q1_imp1,958.5128205128206,-14.80695439167232,37.606477298599216,-0.3937341504790149,-87.8236371094646,60.11442695466555,14,39
cond km=60s kd=∞,q1_te_rqcondkm60_imp1_gatedby_q1_imp1,339.5897435897436,-74.76821672494846,67.77031066749544,-1.1032591704026142,-193.38359939012005,55.553130759910374,16,39
keep km=60s(上界・幽霊注文),q1_te_rqkeepkm60_imp1_gatedby_q1_imp1,1031.8461538461538,-4753.211890426365,328.0212283938861,-14.490561826439887,-5596.702790437458,-3957.292840851701,0,39
