side,n_events,notional_usd,sz,n_accounts,n_counterparties,median_usd,p99_usd,max_usd,full_close_pct,oi_cut_sz,oi_cut_pct,closed_pnl_usd,fee_usd,slip_bp_median,slip_bp_mean,pct_of_volume
all,14889,56998604.79410999,65317.354999999996,3765,1158,499.9822,49999.242600000005,795949.0782600001,35.670629323661764,23410.724000000002,35.84150644189435,-4876031.9527549995,4495.747525999999,3.628936099620006,6.605110497952226,0.26199646745179533
long,10736,42821787.91910999,49419.075999999994,2907,943,546.39525,49940.47487,795949.0782600001,37.49068554396423,17292.909,34.99237622330293,-3926740.1582420003,3393.7685539999993,3.0651131973313817,4.549000142423472,0.19683213659882648
short,4153,14176816.875000002,15898.279,1049,473,380.28276000000005,50628.2895,250019.27380000002,30.965567059956655,6117.8150000000005,38.48098904290207,-949291.794513,1101.978972,6.16809959592679,11.920400836733036,0.06516433085296887
