dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1559604,-4.088948684548566,9.380650472812329,-2.7107368,77649
1,1534913,-2.2334257028111537,6.222111611537592,-1.8798131,47566
2,1568351,-1.4046632853537133,5.412181329307024,-1.6804898,41927
3,1588662,-0.8033326938727825,4.97808847948777,-1.6130141,38735
4,1612758,-0.28159917963677117,4.7609746781600215,-1.5464385,37820
5,1605810,0.21105841100155232,4.574513796775459,-1.5554001,36416
6,1596194,0.7337702946474955,4.50634446690064,-1.5360742,35491
7,1572378,1.332526603095019,4.5466802511864195,-1.5036885,35394
8,1545040,2.1455698879968566,4.753857505307306,-1.5893583,36361
9,1548407,4.039304259957355,5.612736186286939,-1.4212458,42540
