dt,lev,qty,n_quote,n_fill,n_full,volume,pnl_usd,px_ref,notional_usd,pnl_bp_per_unit,fill_ratio,end_inv
2026-07-10,1,0.37243947858473,268296,3857,3439,1364.019366852916,13.215211712145056,62.965,85885.47943389385,1.5387015126715127,0.013650565047559708,0.8417132216014915
2026-07-10,3,1.1173184357541899,270428,3929,3076,3813.0715083796276,38.349983626476245,62.965,240090.04752512326,1.597316674380818,0.012619621488898218,3.503910614525166
2026-07-10,5,1.86219739292365,271813,3980,2990,6087.770204841805,57.84510435875666,62.965,383316.4509478643,1.5090691833266583,0.01202713851066744,6.426815642458114
2026-07-10,10,3.7243947858473,273499,4140,2704,11484.063500931197,111.88502655581453,62.965,723094.0583361329,1.5473094442687894,0.01127415840642937,14.958472998137802
2026-07-11,1,0.37243947858473,67372,1461,1300,514.071322160155,2.2011685100136305,63.2205,32499.84602262608,0.677285827287058,0.02048746511904079,1.6590316573556807
2026-07-11,3,1.1173184357541899,66891,1498,1155,1424.6027932961138,6.365159714120182,63.2205,90064.10089357696,0.7067366077013846,0.019061151724447563,5.225139664804473
2026-07-11,5,1.86219739292365,67298,1524,1109,2274.0769087523395,9.70087456953894,63.2205,143768.27920977728,0.6747576463222501,0.018145848316443378,7.681750465549373
2026-07-11,10,3.7243947858473,67111,1621,964,4217.916573556822,14.377862635068709,63.2205,266658.7947385491,0.5391857654335298,0.016875185886069448,16.39031657355681
2026-07-12,1,0.37243947858473,74726,1901,1708,679.7266294227289,-0.9088540499555506,63.0175,42834.67286964682,-0.212177189428141,0.024423440301903316,0.47560521415270235
2026-07-12,3,1.1173184357541899,75535,1980,1476,1930.062011173211,-2.3424359987892984,63.0175,121627.68278910781,-0.1925906952326705,0.022868941550275024,1.7659217877094857
2026-07-12,5,1.86219739292365,75956,2007,1372,2995.334823091196,-8.988294972367555,63.0175,188758.51221414944,-0.47617958347595984,0.02117666543788473,4.834264432029801
