dt,always_n,always_mean,gated_n,gated_mean,always_total,gated_total
2026-07-16,2055,-0.12096592570531618,1228,-0.07547728217400085,-248.58497732442476,-92.68610250967305
2026-07-19,414,0.16076266709255288,230,0.35158274269187834,66.55574417631689,80.86403081913201
2026-07-22,1772,0.056889640554671043,1081,0.142527244103437,100.80844306287709,154.0719508758154
2026-07-25,409,0.09085865374117555,224,0.09244072353042661,37.1611893801408,20.70672207081556
2026-07-28,2227,0.1623283752440469,1368,0.20299268352444652,361.5052916684924,277.69399106144283
2026-07-31,2208,0.3618550740010909,1421,0.38498163169536825,798.9760033944087,547.0588986391183
2026-08-02,631,-0.03531851874484225,412,0.053036583036975705,-22.28598532799546,21.85107221123399
2026-08-04,2218,0.05582651428538562,1463,0.07781556331661349,123.8232086849853,113.84416913220554
2026-08-06,1855,0.036048143424663254,1176,0.04004438784818521,66.86930605275033,47.09220010946581
2026-08-09,409,-0.10164178891621804,220,-0.15202765930496479,-41.57149166673318,-33.446085047092254
