dt,n,n_bad,sd_all,sd_clean
2026-05-05,86397,1585,5.4896755175534215,4.500169271156198
2026-05-06,86387,190,5.719489447464389,5.595029042803401
2026-05-07,86383,127,2.2024022582555354,2.0783345554379538
2026-05-08,86396,201,2.794352007258554,2.6624141737256477
2026-05-09,86396,61,3.509997172964228,3.4790745561646435
2026-05-10,86395,602,1.8340851358610373,1.7578099519507844
2026-05-11,86392,266,4.671984778416189,4.60734901781541
2026-05-12,86397,117,3.317807073397832,3.2862524004257843
2026-05-13,86388,160,1.913190072632498,1.8973357101453552
2026-05-14,86392,81,1.972050010551339,1.950419674608308
2026-05-15,86388,318,3.3230654138488687,2.7407800226973635
2026-05-16,86374,15,1.198652987691127,1.13542622412906
2026-05-17,86368,88,1.7659896178835732,1.7571580984030297
2026-05-18,86392,216,2.167570769547786,1.8693348332823005
2026-05-19,86395,80,1.4877288131633561,1.4775778497794867
2026-05-20,86392,476,1.393297643075967,1.1871817407506133
2026-05-21,86397,467,1.8104159379456615,1.0754240866365758
2026-05-22,86385,144,0.8744087515585135,0.8701073841141055
2026-05-23,86376,1178,1.2130968087532032,1.1272266325258544
2026-05-24,86387,603,0.9781528635262452,0.907177487413766
2026-05-25,86395,5,0.32995182006354556,0.3067370716507614
2026-05-26,86397,290,1.3743695066244472,1.3362027433429056
2026-05-27,86397,183,1.5814931586159393,1.4284094813824442
2026-05-28,86389,320,6.545411167646253,1.2619131740229557
2026-05-29,86394,58,2.4769436175440305,0.8752222449802795
2026-05-30,86396,108,0.6498740712952694,0.6420789527452276
2026-05-31,86397,186,0.9028594144474547,0.8873647614810114
2026-06-01,86397,61,1.1163070497410932,1.1038865666636226
2026-06-02,86397,70,1.001556410383851,0.9862185674581887
2026-06-03,86391,96,1.0603616947826087,1.02923936213166
2026-06-04,86397,72,1.2199341189396313,1.206642779212547
2026-06-05,86397,100,1.7549783039656248,1.7353864139867239
2026-06-06,86394,474,1.5208381359889613,1.4887829508501236
2026-06-07,86397,406,1.405515078619367,1.3869987593346358
2026-06-08,86397,162,1.8105575594590846,1.7918914375650512
2026-06-09,86397,282,1.8766956148891392,1.8491913721966995
2026-06-10,86397,176,2.1004356483700257,2.03050901861482
2026-06-11,86397,176,1.772753729544257,1.7621473001927423
2026-06-12,86396,138,1.4406697019936594,1.4318659721677955
2026-06-13,86397,162,0.6668257549517081,0.6627646172862574
2026-06-14,86397,42,1.1180286524211724,1.1097855061157553
2026-06-15,86396,39,1.0191956207929351,1.0173204907434905
2026-06-16,86397,46,1.293378366713,1.289237106134878
2026-06-17,86397,16,1.4252480254381843,1.4252778327051123
2026-06-18,86397,30,1.1189337926050142,1.1130604067097671
2026-06-19,86391,38,1.3466854052204362,1.342283724112194
2026-06-20,86397,55,1.1169540044626423,1.11539543357995
2026-06-21,86397,99,0.9252139976893241,0.9212604911439329
2026-06-22,86397,49,1.2188464072633542,1.2091650361786068
2026-06-23,86397,202,2.0514435159172955,2.0481706322931954
2026-06-24,86397,140,2.1816425733158615,2.1786958747788705
2026-06-25,86397,82,1.9355675592245816,1.9319953282558526
2026-06-26,86397,95,1.8887513089637862,1.8854126165203975
2026-06-27,86396,164,3.8183473325050152,0.5585959293678621
2026-06-28,86397,62,0.9760937176610661,0.9738282734740581
2026-06-29,86397,122,2.0806449566601812,1.7292239779207916
2026-06-30,86397,49,1.4419673285589552,1.3599073945962175
2026-07-01,86397,66,2.1443079414009403,1.5455240907504695
2026-07-02,86397,40,2.1402644366286485,2.137726700974414
2026-07-03,86397,83,1.5269540764803302,1.524637067559044
2026-07-04,86395,56,0.4070425585533142,0.4061756064765343
2026-07-05,86395,61,0.5974197355067086,0.5959618966707593
2026-07-06,86397,34,1.4682591566748913,1.467092739382081
2026-07-07,86397,102,1.7638968055656201,1.7537375766952334
2026-07-08,86397,31,2.0574384300729345,2.0429911192059618
2026-07-09,86397,24,1.519465066126103,1.5188471085538977
2026-07-10,86397,115,1.4170998158448216,1.3948792842636124
2026-07-11,86397,2,0.39637824028286023,0.39638264531629663
2026-07-12,86397,26,0.6004526421858429,0.595237723938088
2026-07-13,86397,118,3.5687663884240703,1.817907230922552
2026-07-14,86397,47,1.998018349226197,1.9028545116640287
2026-07-15,86397,81,1.5990665617382676,1.5939501003846395
2026-07-16,86397,249,1.7865814066397527,1.7735338656879172
2026-07-17,86397,280,2.251054167083673,2.0974451640983305
2026-07-18,86396,109,0.38306582782102194,0.3721777032024895
2026-07-19,86397,102,0.8311867339986521,0.8294396538231398
2026-07-20,86397,44,1.8461054842990976,1.7605970777996356
2026-07-21,86397,40,1.4741168127421507,1.3762923935221827
2026-07-22,86397,105,1.4505927002157455,1.4287169265658344
2026-07-23,86397,29,1.567497391288416,1.5668629519426454
2026-07-24,86397,63,1.5516586778397816,1.550357978994169
2026-07-25,86389,18,0.43832957420095015,0.43790782725266053
2026-07-26,86397,11,0.4936343806101681,0.49167755520454987
2026-07-27,86397,123,1.7128258334589175,1.7095921322672591
2026-07-28,86397,128,2.175991612649452,2.1740781880921674
2026-07-29,86397,155,5.061364350530792,3.0382254089282474
2026-07-30,86397,235,2.3125507188071843,2.264076159932576
2026-07-31,86393,74,2.296462272759242,2.2940725116517426
2026-08-01,86367,79,0.5848705895019483,0.5724018881438275
2026-08-02,86397,33,1.511808919061768,0.9089714508471263
2026-08-03,86397,111,1.833938938363032,1.8280494902109192
2026-08-04,86397,33,1.7332450156190764,1.7331631274165087
2026-08-05,86397,63,1.727529088668233,1.7187250075285978
2026-08-06,86397,53,1.583356212790717,1.5739874323123046
2026-08-07,86396,8,1.4417593859722662,1.441675826462952
2026-08-08,86397,17,0.30835797745204735,0.3083681880501844
