block,relmse_raw,corr_raw,pred_sd_raw,target_sd_raw,train_target_sd_raw,relmse_volnorm,corr_volnorm,pred_sd_volnorm,target_sd_volnorm,train_target_sd_volnorm,var_ratio_test_over_train,var_event,var_1ms,var_10ms,var_100ms,var_1s,var_10s,var_60s,dt_from,dt_to
5,1.001639669495036,0.08332396188945364,0.24833798370302437,1.4122940092369873,3.1406658125145723,0.9944863372467508,0.07550132219538647,0.08602957010208187,0.9658959896106393,1.1801924592429935,0.20221193249295014,2.108091198719072,0.0022246259433460276,0.02268383056358668,0.2275550564007647,1.994401836685948,15.257485506614827,121.54562324091798,2026-05-20,2026-05-22
6,1.0490469590871356,-0.014451763962629469,0.18632427706529894,0.9196222243646711,2.9506450870929175,1.007900200584519,-0.021129614642221264,0.06564266822724021,0.9466522511833854,1.182100966129323,0.09713706292633065,1.3145354944947842,0.0007979131484570611,0.008408709859962999,0.08281105038540607,0.8459979484008883,10.825458562602527,67.70612953170384,2026-05-23,2026-05-25
7,1.0011379945441603,0.02542175620420394,0.268527222057043,3.9677906311852977,2.7543681531396995,0.9991715567031492,0.028787452407788454,0.09642997675044288,3.4546754329992515,1.1545693412761968,2.075169227601815,9.848038458928217,0.01581637268235776,0.15897154793140697,1.5895279169252448,15.742511624993595,42.03050865698949,175.60040217358213,2026-05-26,2026-05-28
8,1.0151602388946117,-0.021282406595032624,0.16238819105632485,1.5676571220920845,2.622687947016448,1.009831552846215,-0.020779972625296517,0.06799740957913504,0.8450207959896578,1.3838602095660102,0.3572801754158173,2.5084469007095165,0.002380247224004399,0.02403381096680732,0.24043608613452042,2.4574599002849573,9.467215465832558,67.91374172073074,2026-05-29,2026-05-31
9,1.0439893912318223,-0.0157136392014071,0.20645673208003415,1.0604501614701154,2.587032635637575,1.0060174145310936,0.0023205895073721626,0.08578618338510731,1.073097267258506,1.3369772599489047,0.16802608571353714,0.6129465468916542,0.001101493772298833,0.011379085549481837,0.11431816874209509,1.124612351566566,17.433770167292668,139.81514910047704,2026-06-01,2026-06-03
10,1.0617906741433143,-0.09123701349952835,0.26279262004755655,1.5145147283602087,2.4775229935252367,1.0163547810873361,-0.042425859638997955,0.10843852087012577,1.1753332579284919,1.3137142472384418,0.3736901191029087,0.9126915002720498,0.0020726991115716372,0.02122810899340934,0.21211692148122654,2.293643468660623,36.16811692022059,254.68139100196086,2026-06-04,2026-06-06
11,1.0407465881512559,-0.05782511615603454,0.26025404305427224,1.7103261374680883,2.4077114553965697,1.010035444924527,-0.0016897980276045141,0.10774319064464394,1.0936068381372952,1.3024550167834874,0.5046020230551482,1.1459061027182622,0.0027678479186945583,0.028307068949434883,0.2828300798454089,2.925128066941168,42.418888832807106,305.568226518877,2026-06-07,2026-06-09
12,1.0240682216769772,-0.02007219884242786,0.24422438172044048,1.791680852922068,2.3590602210098437,1.000673632861832,0.05603602011454232,0.11020339772426971,0.9355031615088124,1.2873029542636973,0.5768239047441118,0.7954532980252256,0.0026693512551662865,0.02712770082377909,0.27343871608627185,3.2100191200904153,45.92269473506442,348.05107584151114,2026-06-10,2026-06-12
13,1.013030169480757,0.04277963403332703,0.1572575032354729,0.9545357297010787,2.3216810004671764,0.9959749741449879,0.0636222004603263,0.07750393816022542,1.1337858774750214,1.2645624201113788,0.16903602988750513,0.4870851313440971,0.0008571965046821141,0.008795426800817735,0.08794569114899782,0.9112460761705691,11.533468541544808,71.61075304339239,2026-06-13,2026-06-15
14,0.999295812655791,0.09076292935107672,0.22821690707472542,1.2853339480323418,2.25127738430105,0.9865177880675206,0.11613675687364731,0.1242339247597191,1.0709993288663355,1.2535919703032432,0.3259672279884655,0.4895748871901194,0.0015666224921049273,0.015804660606657014,0.15914078726852388,1.6520379251242134,20.754618236378878,152.32739109668898,2026-06-16,2026-06-18
15,1.0055433794345257,0.03143849228921282,0.1279941027725605,1.1426821674405814,2.2004585724461077,0.9910455085686262,0.10120574650626159,0.06357231999027571,0.9699771290445246,1.2431882469371796,0.26966495269513907,0.6991648129414938,0.0011813816182939519,0.012330215937135422,0.11143001828213576,1.3056675317001594,17.665051130150548,106.81702273435944,2026-06-19,2026-06-21
16,0.9882640807628768,0.11287602775554813,0.26952805035599026,1.8667301558542788,2.148645974498599,0.9783515377721697,0.15173401986671667,0.15798905018589,1.3783435243259254,1.2269194720524703,0.7548025495087984,0.745356995073689,0.0028128412841360527,0.02900987497576568,0.29201285079304423,3.484485385725481,46.387148269497715,354.22884730803383,2026-06-22,2026-06-24
17,0.9957196874361113,0.07251607737223605,0.27924990300359487,2.701451384670006,2.1323049635068,0.9966760036055237,0.07408903184531489,0.16779253968548655,1.3935919370256487,1.2357888907057712,1.6050762812038837,6.433855453428266,0.006934619897792892,0.06968794901807841,0.6998649634010184,7.298352546468897,32.450573972400555,214.65909654567926,2026-06-25,2026-06-27
18,0.9945487233899518,0.09095093174252872,0.22572351171942964,1.5664314501247465,2.191349285493117,0.9921664390457285,0.08892515618603296,0.1270641512688258,1.302483458117609,1.2566498556800216,0.5109749092287199,0.8196643729137486,0.002321191136076124,0.023481048046016095,0.2392841571369214,2.4557281526662798,22.908659464373503,133.53670589989724,2026-06-28,2026-06-30
