dt,t0,twap_id,state_side,sz,state_minutes,state_randomize,state_reduceOnly,state_user,spread_bp_day,bp_end,bp_post30,reversal,mae,mfe,bp_5m,bp_15m,bp_30m
2026-05-04,1777911176114064766,1788531,A,580.0,35,true,false,0x6e28520e5e4c821f55086805bfe8354d1b6df5f5,62.89085962618875,228.01377726750727,60.27554535017132,-167.73823191733595,-33.409873708381,240.6429391504028,111.2514351320315,228.58783008036787,229.0470723306548
2026-05-04,1777911272166312320,1788535,A,114.9,60,true,false,0x6e28520e5e4c821f55086805bfe8354d1b6df5f5,62.89085962618875,47.134563430476504,234.75311835373878,187.61855492326228,-0.0,227.74041501408382,226.01597976662612,215.66936828188776,215.09455653273446
2026-05-04,1777913518191301685,1788645,A,36.6,5,true,false,0x6e28520e5e4c821f55086805bfe8354d1b6df5f5,62.89085962618875,-0.0,-83.89242030807597,-83.89242030807597,-0.11749638698654863,-0.0,-0.0,-14.45205559928997,-95.05457707175592
2026-05-05,1777992644338518119,1791092,A,1000.0,90,false,false,0xc8116a8778191e351067c64bc9b80196ad3cf6e0,64.50847347925038,11.57124810242105,32.802895996772996,21.231647894351944,-92.0391936220133,156.3710867418977,-2.229323028906105,119.85265236361342,150.95701652883764
2026-05-05,1777992675051162183,1791093,A,1000.0,90,false,false,0xc8116a8778191e351067c64bc9b80196ad3cf6e0,64.50847347925038,25.371819233749314,95.33009904563738,69.95827981188808,-92.0391936220133,155.62797906559456,6.794127326192889,121.97581715304828,152.76170659985877
2026-05-05,1777992849333998892,1791099,B,101.9,30,false,false,0xd25891cfaf13c9ca8a102709261da2ffd0fb0a1f,64.50847347925038,-140.7254897798904,-34.49154161271895,106.23394816717146,-158.44883577781022,0.0,-58.476429011099505,-119.07541442913838,-140.7254897798904
2026-05-05,1777993193457743270,1791129,B,76.3,30,false,false,0x5c29e2143a07f0b20a5881e1a353f95140c73d83,64.50847347925038,-77.72380291464098,139.21955906688765,216.94336198152865,-110.82047723268929,1.6014519831331064,-61.38899268670173,-60.85517535899143,-77.72380291464098
2026-05-05,1778003175974929551,1791526,B,107.6,30,false,false,0x06ff504c4bd35f6e14c44ebbee83d7a02bea6f3e,64.50847347925038,21.660957990545793,28.916845396245172,7.255887405699379,-1.3871549452060261,47.59008504326978,18.88664810013152,7.576000085365298,21.660957990545793
2026-05-05,1778003785324477823,1791566,B,426.1,690,false,false,0xd0268aed26b19532748d063c7d6c9a2787fabfef,64.50847347925038,-97.2405851494862,-97.2405851494862,0.0,-100.54591205698071,39.87716978717914,0.0,18.33923316415742,3.5185738047505133
2026-05-05,1778007967492598084,1791726,A,1000.0,40,false,false,0xc8116a8778191e351067c64bc9b80196ad3cf6e0,64.50847347925038,91.94349150881132,36.11685240033191,-55.82663910847941,-0.0,108.24401781338477,25.036756088724353,86.72306151584208,99.50778802923388
2026-05-05,1778008069544551688,1791731,A,200.0,15,true,false,0x707c275a866f87a86435d8e9ab3f7c6f98fe0880,64.50847347925038,87.06865315344147,101.66890466142387,14.600251507982392,-0.0,87.06865315344147,20.674808704733707,87.06865315344147,87.92122258456492
2026-05-05,1778021733934061990,1792420,B,401.6,690,false,false,0xd0268aed26b19532748d063c7d6c9a2787fabfef,64.50847347925038,NaN,NaN,NaN,-286.4830800932272,23.506816976923695,-7.502175630933472,-45.41316981924837,-218.86347040641851
2026-05-05,1778024287807943434,1792540,B,2054.2,60,false,false,0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,64.50847347925038,NaN,NaN,NaN,0.0,73.42416097706695,23.273296466783666,61.16963761623629,NaN
2026-05-06,1778027694060716440,1792652,B,2035.5,180,false,false,0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,50.16375772148694,175.3528938824944,175.3528938824944,0.0,0.0,518.8328804486098,98.00628950019873,145.6355143040322,147.26386386997748
2026-05-06,1778037042779748234,1792995,A,2372.8,60,false,true,0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,50.16375772148694,117.3371647509569,97.98052362707477,-19.356641123882127,-10.37675606641253,123.0244252873558,121.92688378033,96.18454661558084,0.29932950191380314
