dt,t0,twap_id,state_side,sz,state_minutes,state_randomize,state_reduceOnly,state_user,spread_bp_day,bp_end,bp_post30,reversal,mae,mfe,bp_5m,bp_15m,bp_30m
2026-05-06,1778037425694017218,1793012,A,2137.5,240,false,true,0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,50.16375772148694,-2.118986115595689,-2.118986115595689,0.0,-112.91168873102997,49.74572166612901,11.402163383920083,-51.05747497578194,-62.25783015821884
2026-05-06,1778038167066248834,1793074,B,19.2,5,true,true,0x6e28520e5e4c821f55086805bfe8354d1b6df5f5,50.16375772148694,27.364185110663186,-32.494969818914754,-59.85915492957794,-12.977867203219917,35.21126760563264,27.364185110663186,60.26156941649763,-28.87323943661979
2026-05-06,1778048331632254186,1793543,B,602.4,30,false,false,0xc3baee00470d78c489b623f405e57d5d99bc0f33,50.16375772148694,-102.6239415971053,-146.50589913133726,-43.88195753423196,-130.34936022100706,0.09973172166999333,-17.253587848686802,-45.9763236892774,-102.6239415971053
2026-05-06,1778065546636787190,1794396,B,100.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,50.16375772148694,76.41625801016794,264.9498079565182,188.53354994635026,0.0,76.41625801016794,76.41625801016794,73.20717630895368,196.15511898673165
2026-05-06,1778066735489437576,1794474,B,1104.8,30,false,false,0xe684aedcb17d70923dd50ac757ecedc43d86cc49,50.16375772148694,-9.385452548549278,-142.27946682642045,-132.89401427787118,-65.79801307972532,222.15565872896858,39.838250711397016,222.15565872896858,-9.385452548549278
2026-05-06,1778066853433208444,1794484,B,134.3,30,false,false,0x01071fa8b0fb66fc78ffb04e0b091aa8de8a3474,50.16375772148694,-122.9479636432429,-239.82319385957297,-116.87523021633007,-122.9479636432429,192.2368565142496,20.607472448703756,153.411183784804,-122.9479636432429
2026-05-06,1778067895803663161,1794554,A,198.4,30,false,false,0x01071fa8b0fb66fc78ffb04e0b091aa8de8a3474,50.16375772148694,92.5432823223249,204.07753137528852,111.53424905296362,-97.36638498407446,92.5432823223249,-39.58963434852913,3.1149204690461563,92.5432823223249
2026-05-06,1778067912230777717,1794555,A,198.4,30,false,false,0x01071fa8b0fb66fc78ffb04e0b091aa8de8a3474,50.16375772148694,86.21729169178916,209.4135616383297,123.19626994654054,-98.87857228988439,91.4425820973508,-27.43277462920579,-2.4116724948752832,86.21729169178916
2026-05-06,1778068085459550140,1794577,B,112.8,30,false,false,0x01071fa8b0fb66fc78ffb04e0b091aa8de8a3474,50.16375772148694,-162.2705846956163,-241.60064186139917,-79.33005716578288,-193.96249122455188,77.22394945341549,72.20940728111414,-57.96810751178438,-162.2705846956163
2026-05-06,1778068216165695700,1794580,B,189.1,30,false,false,0x01071fa8b0fb66fc78ffb04e0b091aa8de8a3474,50.16375772148694,-324.12977221687566,-286.63378248315774,37.49598973371792,-327.43824189926164,75.79403272377272,33.786493423162426,-80.10506897658031,-324.12977221687566
2026-05-06,1778069565460891636,1794655,B,39.0,60,true,false,0x948286ad8526c135f81e30f7d018b3f75933355e,50.16375772148694,-172.04843592330766,-371.74571140262344,-199.69727547931578,-268.718466195762,16.145307769930284,-99.89909182643753,-92.53279515640811,-155.6004036326941
2026-05-06,1778074027661530953,1794914,B,408.9,690,false,false,0xd0268aed26b19532748d063c7d6c9a2787fabfef,50.16375772148694,-166.96566908586897,-166.96566908586897,0.0,-718.2174019407983,0.0,-101.42297969501834,-274.7084726412796,-247.798254913153
2026-05-06,1778074674325537191,1794980,B,25.3,30,true,false,0x948286ad8526c135f81e30f7d018b3f75933355e,50.16375772148694,-108.05147525716374,-82.12335435804019,25.928120899123556,-134.08542522118205,164.88168310544893,93.97620962621201,152.81716970749093,-108.05147525716374
2026-05-06,1778074956233284415,1795021,B,10.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,50.16375772148694,47.68592269640326,-117.38073279114691,-165.06665548755018,-41.08325647690037,62.35851429529538,47.68592269640326,26.934686006541142,-104.07059612643543
2026-05-06,1778075138750533447,1795033,B,10.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,50.16375772148694,-6.665833437485835,-244.240303295421,-237.57446985793516,-24.684414448193913,0.0,-6.665833437485835,-65.61679790026199,-155.813856601259
2026-05-06,1778075786026020201,1795106,B,46.5,30,false,false,0x01071fa8b0fb66fc78ffb04e0b091aa8de8a3474,50.16375772148694,-341.6830317970987,-80.11950027159153,261.5635315255072,-478.2100029248326,5.536288806251566,-56.094096018051154,-105.18948731876532,-341.6830317970987
2026-05-06,1778076564268070809,1795168,B,42.3,10,true,false,0x948286ad8526c135f81e30f7d018b3f75933355e,50.16375772148694,-50.00318491623745,144.17054164808764,194.17372656432508,-50.00318491623745,35.246406352844595,10.934879079347315,-266.8959806357085,-41.191583328025196
2026-05-06,1778088130676072155,1795825,B,2500.0,45,false,false,0x197d0b8d520667f6a14ce98215c2f945e6cd3ccc,50.16375772148694,24.13172593848323,68.65059965258658,44.51887371410335,-21.531324436493414,126.69156117704361,38.5899582895588,47.43132339633193,40.25421525083228
2026-05-06,1778089001325432430,1795852,B,2000.0,60,false,false,0x197d0b8d520667f6a14ce98215c2f945e6cd3ccc,50.16375772148694,47.42526379008627,-9.112277758793752,-56.53754154888002,-34.378138817268145,81.1821109419819,40.59105547099095,-30.96103465772049,-20.91681940086909
2026-05-06,1778091968846199306,1795926,B,250.0,20,false,false,0x197d0b8d520667f6a14ce98215c2f945e6cd3ccc,50.16375772148694,42.08126036484128,26.94859038142594,-15.132669983415337,-24.77197346600346,57.213930348258835,-1.5547263681592316,37.2097844112762,2.280265339966725
2026-05-06,1778103366298328664,1796356,A,83.8,30,false,false,0xc47a350a67a33bf2d95a655dfe928a237cbc8bcc,50.16375772148694,-22.724654679497913,64.40397524373975,87.12862992323767,-22.724654679497913,125.45684933658596,26.913531118114562,71.94395283325106,-22.724654679497913
2026-05-06,1778105082868893161,1796402,A,1255.0,60,false,false,0x197d0b8d520667f6a14ce98215c2f945e6cd3ccc,50.16375772148694,-64.3716178733289,-122.88175509477695,-58.51013722144805,-71.27979149875952,104.56462805765287,36.11090758747881,40.821025968452716,66.1509959283646
2026-05-07,1778112291123567827,1796529,A,413.5,90,false,false,0xc47a350a67a33bf2d95a655dfe928a237cbc8bcc,42.71767782535727,166.48502776480333,-28.024287716021945,-194.50931548082528,-7.057968758110711,187.1399657480921,141.05558150397158,8.822460947635058,139.91385126368772
2026-05-07,1778117729786947348,1796673,B,5.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,42.71767782535727,54.60325507218977,186.30588384398683,131.70262877179707,0.0,59.88403409270981,54.60325507218977,152.72012927346924,196.86744188502692
2026-05-07,1778118308980076595,1796696,B,5.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,42.71767782535727,80.78900430175118,117.30143741475186,36.51243311300068,0.0,80.78900430175118,80.78900430175118,95.47791417479745,150.66624698352626
2026-05-07,1778138925911944683,1797293,B,202.6,270,false,false,0xc47a350a67a33bf2d95a655dfe928a237cbc8bcc,42.71767782535727,-208.16450567261003,-208.16450567261003,0.0,-254.55834683954626,49.027552674230094,15.599675850890282,32.00972447325867,24.81766612641767
2026-05-07,1778139145910388144,1797297,B,182.1,30,false,false,0xc47a350a67a33bf2d95a655dfe928a237cbc8bcc,42.71767782535727,-6.074288548952866,-145.1754963199914,-139.10120777103853,-7.795336971155864,43.73487755246819,7.592860686194136,33.30734887676323,-6.074288548952866
2026-05-07,1778150176382539100,1797687,B,5.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,42.71767782535727,41.764116271298946,25.16288005345757,-16.601236217841375,0.0,46.98463080521131,41.764116271298946,49.69929836284636,45.0008352823228
2026-05-07,1778162149282160749,1798216,B,5.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,42.71767782535727,-35.193669304456336,114.84798000833018,150.04164931278652,-41.23281965847436,0.10412328196540699,-35.193669304456336,4.99791753436174,110.47480216576533
2026-05-07,1778162660007351216,1798239,B,5.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,42.71767782535727,63.50071254925149,169.6495934277831,106.1488808785316,0.0,63.50071254925149,63.50071254925149,137.16573057255488,169.54480677341178
2026-05-08,1778201249372061637,1799857,B,5.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,34.27690806556126,26.282323018227416,124.41712590080422,98.1348028825768,0.0,27.024162780837635,26.282323018227416,38.15175922000647,89.76261127596308
2026-05-08,1778203360513996154,1799923,B,10.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,34.27690806556126,-19.783532564323636,-113.8861557141968,-94.10262314987317,-29.204262356857804,0.0,-19.783532564323636,-32.55385517198172,-66.9918563024685
2026-05-08,1778205386501543004,1799963,B,5.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,34.27690806556126,-12.712537740346974,-12.394724296839188,0.3178134435077862,-13.242226812861801,5.826579797656439,-12.712537740346974,-42.904814873671036,-39.0910535515665
2026-05-08,1778208527681965535,1800073,B,5.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,34.27690806556126,37.768585423654244,12.906911545340627,-24.861673878313617,0.0,37.768585423654244,37.768585423654244,-1.3753266400773345,12.906911545340627
2026-05-08,1778208868986010959,1800085,B,5.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,34.27690806556126,-27.50843170320372,-24.978920741989263,2.5295109612144557,-27.50843170320372,0.21079258010203716,-27.50843170320372,-32.56745362563262,-24.768128161887226
2026-05-08,1778221137462315560,1800391,B,777.9,30,false,false,0xc47a350a67a33bf2d95a655dfe928a237cbc8bcc,34.27690806556126,-30.2579726118557,-5.614881515602077,24.64309109625362,-61.65971738429698,36.080812702110606,5.926819377579662,4.367130067690628,-30.2579726118557
2026-05-08,1778245549213240451,1801317,A,41.3,10,true,false,0x948286ad8526c135f81e30f7d018b3f75933355e,34.27690806556126,52.40236879057281,-153.23877164777454,-205.64114043834735,-0.0,57.795233928242816,20.757443171410817,39.17458637741844,-104.19422454669424
2026-05-08,1778248698813558376,1801493,B,21.0,30,false,false,0xe67b340eeb62af5e652bd4fbb025f1d430ce5161,34.27690806556126,115.35145527158397,98.20729568224884,-17.144159589335132,0.0,125.55867167447943,101.4775688987113,20.11713524066261,115.35145527158397
2026-05-08,1778250269439520037,1801601,B,982.8,60,false,false,0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,34.27690806556126,179.11240508321268,160.915922414131,-18.19648266908169,-37.67163709328503,191.9974820002368,23.704607152692514,5.606483849391886,13.967029940591402
2026-05-08,1778254356481888774,1801841,B,12.8,30,false,false,0xe67b340eeb62af5e652bd4fbb025f1d430ce5161,34.27690806556126,53.25495445682948,154.72067824889191,101.46572379206243,-78.57288362482895,53.25495445682948,20.66175828653094,-25.80294696815311,53.25495445682948
2026-05-08,1778266277780675847,1802412,B,955.9,60,false,false,0x197d0b8d520667f6a14ce98215c2f945e6cd3ccc,34.27690806556126,54.60985459648793,91.6529028192814,37.043048222793466,-12.888689458960823,54.60985459648793,-6.014721747513718,16.70756040976551,47.64041511127193
2026-05-08,1778269334875178152,1802586,B,95.1,30,false,false,0xa993ad31ef46873c0193448dbb2f04c0d3854731,34.27690806556126,57.465796434077454,79.15818316746925,21.692386733391793,0.0,101.99227446577864,12.463608166992657,35.39284151237831,57.465796434077454
2026-05-08,1778278016529930692,1802939,B,61.0,30,false,false,0x265bea7dcf7820fe2f9a31a7ebf19e7af9581cae,34.27690806556126,79.08759465270698,81.70515097690955,2.6175563242025675,-5.889501729455793,179.02215574460146,-4.393755258483845,73.57202954099363,79.08759465270698
2026-05-08,1778279308431449050,1803008,B,303.0,30,true,false,0x265bea7dcf7820fe2f9a31a7ebf19e7af9581cae,34.27690806556126,84.17994394211759,3.3522986525613696,-80.82764528955622,0.0,84.17994394211759,20.85874717149938,45.53539003063767,84.17994394211759
2026-05-08,1778281182778114815,1803090,B,3728.6,30,false,false,0xc4a4b980406ccfe75517ef0ad0193a204176fdcc,34.27690806556126,-80.8856797259494,-55.40115049722627,25.484529228723133,-88.36483504307546,31.11697952927539,31.11697952927539,-43.76690889280832,-80.8856797259494
2026-05-09,1778310253660209178,1804093,A,323.4,750,true,false,0x2f5fb957b5efb53d61072b2958042d02f99455e3,29.60389282327087,117.85577377396939,117.85577377396939,0.0,-97.44051492810213,474.1867327562377,-7.75601536939341,-64.27686300380708,-31.46980948730116
2026-05-09,1778333315606341592,1804661,B,191.6,390,false,false,0xbfca6a375a344b6d3dd514e74f343868849b9e99,29.60389282327087,-45.667758208692845,-45.667758208692845,0.0,-165.2358615806726,19.29374280909668,-16.284626958137373,-42.74714576511185,-19.11673599433672
2026-05-09,1778334250242683191,1804683,A,145.0,30,true,false,0x2f5fb957b5efb53d61072b2958042d02f99455e3,29.60389282327087,-17.687473890977135,-7.55495115946303,10.132522731514104,-62.12836306428882,0.266645335039728,-12.354567190180354,-23.55367126185559,-17.687473890977135
2026-05-09,1778335829391419748,1804742,A,726.8,30,false,false,0x197d0b8d520667f6a14ce98215c2f945e6cd3ccc,29.60389282327087,54.80275428035974,54.360796584550506,-0.4419576958092364,-5.480275428035863,61.43211971750051,60.106246630071695,51.885833488019,54.80275428035974
2026-05-10,1778372865881842685,1805676,B,12.3,30,false,false,0xcac013d36b73330a0fddccf9282f9aae5504088c,33.79525864370496,69.34725661176478,52.66085333907711,-16.68640327268767,-9.330031937415662,103.07891053934704,22.87652061578216,74.81967919044097,69.34725661176478
2026-05-10,1778380076062242245,1805906,B,1786.8,1440,false,false,0x197d0b8d520667f6a14ce98215c2f945e6cd3ccc,33.79525864370496,81.99213161659502,81.99213161659502,0.0,-37.28540772532152,88.16165951359034,2.4141630901297617,6.2589413447766695,9.209585121603414
2026-05-10,1778423458322005988,1806700,B,2000.0,360,false,false,0x197d0b8d520667f6a14ce98215c2f945e6cd3ccc,33.79525864370496,-11.56937207453912,-11.56937207453912,0.0,-48.75033118431404,0.17663163472736443,0.08831581736368221,0.17663163472736443,0.0
2026-05-10,1778423969150808316,1806712,B,2000.0,360,false,false,0x197d0b8d520667f6a14ce98215c2f945e6cd3ccc,33.79525864370496,-7.1537075635019765,-7.1537075635019765,0.0,-48.57455752994011,0.35326950930780754,0.08831737732695188,0.26495213198085565,0.35326950930780754
2026-05-10,1778435776195291602,1807166,B,1902.8,510,false,false,0xe27e1fd0e3fbb47b8502da284e129e26b9de96c1,33.79525864370496,-61.48898764036015,-61.48898764036015,0.0,-70.32361230133178,0.0,0.0,0.0,-8.304547181312572
2026-05-10,1778446171611482393,1807669,B,1200.0,180,false,false,0x197d0b8d520667f6a14ce98215c2f945e6cd3ccc,33.79525864370496,-12.525722465779321,-12.525722465779321,0.0,-104.2319048045115,3.84718618591684,3.84718618591684,-58.602487250605236,-65.9389818377032
2026-05-10,1778446453812996526,1807696,A,172.6,10,true,false,0x2f5fb957b5efb53d61072b2958042d02f99455e3,33.79525864370496,33.09096437802195,35.95288562152743,2.8619212435054777,-0.26830511657971456,68.59667480525466,32.64378918372501,79.50774954611606,100.79328879468275
2026-05-10,1778448424073756236,1807803,A,570.5,30,false,false,0xb28bdcb4c7db9370b73f6dbd57671416a0a57dd6,33.79525864370496,-17.358285869268908,-47.19283970707977,-29.834553837810862,-93.4816020251339,-0.0,-87.60509899647495,-30.557815749028272,-17.358285869268908
2026-05-10,1778456160323512267,1808170,B,88.5,150,false,false,0x136d6af87df7fd75bc9072ebb8b09598c9b010ae,33.79525864370496,NaN,NaN,NaN,-159.2325715043541,9.46023606383406,-71.70328455859631,-105.47721144069655,NaN
2026-05-10,1778456850264539375,1808204,B,89.4,30,false,false,0x136d6af87df7fd75bc9072ebb8b09598c9b010ae,33.79525864370496,NaN,NaN,NaN,-60.367922843364006,0.4465083050564367,-4.375781389532873,NaN,NaN
2026-05-11,1778459275367262434,1808318,A,151.6,15,true,false,0x2f5fb957b5efb53d61072b2958042d02f99455e3,22.72060979184902,-96.98677453074511,1.4543471344818926,98.441121665227,-118.98377493978262,36.35867836204065,5.81738853792757,-96.98677453074511,-22.269690496750094
2026-05-11,1778465975746615808,1808621,B,18.2,30,false,false,0x136d6af87df7fd75bc9072ebb8b09598c9b010ae,22.72060979184902,36.87953595527205,4.553029130278663,-32.32650682499339,-7.375907191056186,47.80680586794483,-7.375907191056186,31.051658668510562,36.87953595527205
2026-05-11,1778466072542177146,1808623,B,18.1,40,false,false,0x136d6af87df7fd75bc9072ebb8b09598c9b010ae,22.72060979184902,-50.33694005822875,-41.81140426458341,8.52553579364534,-85.70884388292788,7.618563900704256,-43.262559293287815,-8.888324550823112,-25.9393961381138
2026-05-11,1778466531377689325,1808634,B,309.7,30,true,true,0x2f5fb957b5efb53d61072b2958042d02f99455e3,22.72060979184902,-54.74021132267581,-2.3641951734032496,52.37601614927256,-62.378380344443315,33.371524178444915,15.185407459945566,21.73240947860533,-54.74021132267581
2026-05-11,1778466878083300167,1808640,B,201.9,360,true,false,0x519243205ee356c17483f0f472c55ef86b92a99a,22.72060979184902,-34.67746328001509,-34.67746328001509,0.0,-144.42891120027724,16.612502042521182,5.1743858820962885,5.809836779897548,-39.851849162113595
2026-05-11,1778468626599873154,1808706,B,18.2,48,false,false,0x136d6af87df7fd75bc9072ebb8b09598c9b010ae,22.72060979184902,19.97336884154599,-103.42374550827205,-123.39711434981804,-66.03068055378247,29.367236378889938,-52.25908833883519,-29.002425989091975,2.553672728600187
2026-05-11,1778470499179215864,1808779,B,50.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,22.72060979184902,31.565023035167172,-10.126351320532967,-41.69137435570014,-32.386078547645965,31.565023035167172,31.565023035167172,27.82465903389042,-17.05970898143616
2026-05-11,1778472604487191756,1808857,B,5.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,22.72060979184902,-11.141145528930085,-34.793249561660964,-23.65210403273088,-19.633985973115387,0.0,-11.141145528930085,-44.290619520748194,-47.85213325540716
2026-05-11,1778472855934538176,1808861,B,915.4,5,false,false,0x72774e2fe1992d5da8c6e9cef73fd2ab980c0b98,22.72060979184902,-28.915221668115443,-30.928306720958698,-2.0130850528432553,-28.915221668115443,20.03934666239715,-28.915221668115443,43.28132863613554,-17.477238413323715
2026-05-11,1778472979090908374,1808863,B,5.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,22.72060979184902,-60.954434960612815,-51.084751338805745,9.86968362180707,-60.954434960612815,12.794034324565828,-60.954434960612815,-1.2794034324559167,-61.41136475791842
2026-05-11,1778473077240363815,1808867,B,10.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,22.72060979184902,-79.10843153375313,-31.88088060655847,47.22755092719466,-96.83018178496371,0.0,-79.10843153375313,-9.226272038000971,-56.453822965195634
2026-05-11,1778473217531020529,1808874,B,10.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,22.72060979184902,20.863395310790622,39.52096909092706,18.65757378013644,-29.135226050752692,77.01993511208372,20.863395310790622,84.74031046938002,19.66857531501942
2026-05-11,1778474043905602798,1808899,B,20.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,22.72060979184902,-9.511354179050358,23.138198147116817,32.649552326167175,-55.056107844122515,38.502693359430125,-9.511354179050358,-34.47865889905866,15.91322718418331
2026-05-11,1778475991850557626,1808955,B,10.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,22.72060979184902,16.800277569803956,12.234984751924305,-4.5652928178796515,-3.743540110662247,16.800277569803956,16.800277569803956,78.88825989299076,84.45791713080686
2026-05-11,1778476268027168701,1808960,B,85.0,210,false,false,0xdb66768419c40e56e04ea62105a7b39307acd3fc,22.72060979184902,-144.21148587055677,-144.21148587055677,0.0,-154.8769371011849,128.5323609845035,60.71103008204126,103.00820419325562,-0.6381039197800309
2026-05-11,1778479327954309335,1809050,B,2000.0,20,true,true,0xb83cdb59e0985662b1b1f55d29ffd594cd33d895,22.72060979184902,-105.94827822621112,-83.18630991014042,22.761968316070693,-107.04524055469622,39.67347088022155,-0.639894691616405,-54.57387584214768,-41.318914372948655
2026-05-11,1778479355795333840,1809051,B,2000.0,10,true,true,0xb83cdb59e0985662b1b1f55d29ffd594cd33d895,22.72060979184902,-43.401191476920566,-30.88337414568265,12.517817331237914,-44.40627170059663,23.756441650524263,-9.045722013084623,-66.42666569204425,-47.23877051277414
2026-05-11,1778480535375062183,1809085,B,500.0,10,true,true,0xb83cdb59e0985662b1b1f55d29ffd594cd33d895,22.72060979184902,65.69100282720619,58.76157214923072,-6.929430677975468,-0.0923924090401318,94.70221926566325,41.66897647689183,36.679786388749136,34.83193820795538
2026-05-11,1778480599848166259,1809087,B,189.3,10,true,true,0xb83cdb59e0985662b1b1f55d29ffd594cd33d895,22.72060979184902,65.75970001754916,76.10392249221887,10.344222474669706,-3.509646911048492,93.37507965974767,93.37507965974767,37.77488385839467,32.97220913801135
2026-05-11,1778480703101365279,1809090,B,500.0,10,true,true,0xb83cdb59e0985662b1b1f55d29ffd594cd33d895,22.72060979184902,-1.379513307705471,20.140894292495215,21.520407600200684,-5.518053230818554,72.47043243143736,3.402799492340236,26.854525723325473,-14.990711277060864
2026-05-11,1778480958898600122,1809098,B,219.0,5,true,true,0xb83cdb59e0985662b1b1f55d29ffd594cd33d895,22.72060979184902,-7.7050789311960965,7.154716150397089,14.859795081593186,-35.03976371091344,0.0,-7.7050789311960965,-32.28794980691507,-25.867050697585547
2026-05-11,1778481164575903559,1809101,B,1900.0,500,true,true,0xb83cdb59e0985662b1b1f55d29ffd594cd33d895,22.72060979184902,-341.8724743871793,-341.8724743871793,0.0,-368.1986800077319,49.982970811051075,2.577390760052367,47.58967939099801,41.51440117087013
2026-05-11,1778481222823794951,1809102,B,1900.0,67,true,true,0xb83cdb59e0985662b1b1f55d29ffd594cd33d895,22.72060979184902,-114.37278551890029,-279.96548622202687,-165.59270070312658,-151.45673844798148,22.39723889776224,-25.793541517504792,15.14567384479637,14.227754217841504
2026-05-11,1778481682611041183,1809113,B,367.4,150,false,false,0x72774e2fe1992d5da8c6e9cef73fd2ab980c0b98,22.72060979184902,-333.93799472295484,-333.93799472295484,0.0,-423.81266490765233,1.4658457930227797,0.09161536206336862,-57.25960128994401,-97.29551451187368
2026-05-11,1778482199320712307,1809122,B,919.3,930,false,false,0x72774e2fe1992d5da8c6e9cef73fd2ab980c0b98,22.72060979184902,-317.9037221570935,-317.9037221570935,0.0,-432.57253810081943,0.0,-56.876465416177965,-19.599941383352526,-148.55656506447713
2026-05-11,1778484951678559937,1809185,B,1853.6,30,false,false,0x72774e2fe1992d5da8c6e9cef73fd2ab980c0b98,22.72060979184902,-19.387035731512903,-227.44981633334604,-208.06278060183314,-19.387035731512903,67.6227227190096,-9.647137397499339,38.12474490742402,-19.387035731512903
2026-05-11,1778485504873420497,1809195,B,1852.7,630,false,false,0x72774e2fe1992d5da8c6e9cef73fd2ab980c0b98,22.72060979184902,0.5561683707044907,0.5561683707044907,0.0,-324.6169390346765,61.45660496287731,28.82806054819831,16.6850511211436,-192.89772990609967
2026-05-11,1778485640604288554,1809227,B,1855.8,30,false,false,0x72774e2fe1992d5da8c6e9cef73fd2ab980c0b98,22.72060979184902,-171.32744018828362,-199.310613220659,-27.98317303237539,-228.5910194399643,56.707622171567884,35.58125312725924,38.731676581236215,-171.32744018828362
