dt,n_ticks,obi1_tw,obi10_tw,lv_short_bid,lv_short_ask
2026-05-04,10572,-0.17443512583267182,-0.28843565059880166,0.0022701475595913734,0.02506621263715475
2026-05-05,33846,-0.07080826361370851,-0.006290767298353967,0.001270460320274183,0.0040477456715712345
2026-05-06,49407,0.07988202818939452,0.0605825473035811,0.0,0.0017204039913372598
2026-05-07,50883,-0.053294440648478034,0.04415812100412494,0.0,0.0
2026-05-08,62689,-0.21336211944046543,-0.23529756815829223,0.0,0.0
2026-05-09,42388,0.14439626747277182,-0.17904528725278995,0.0,0.0
2026-05-10,53958,0.08779409795436456,-0.0823206497083006,0.0,0.0
2026-05-11,168531,-0.015917512373188943,0.044350787776550125,0.0,0.0
2026-05-12,200853,0.03574472494418064,0.08545370536322676,0.0,0.0
2026-05-13,157627,-0.030919496488276573,-0.03127764810371095,0.0,0.0
2026-05-14,188648,-0.02589044203352414,-0.004084706368892597,0.0,0.0
2026-05-15,241703,0.1279948979824062,0.06959601141355234,0.0,0.0
2026-05-16,167770,0.1256854787128164,0.35629514151174374,0.0,0.0
2026-05-17,96376,-0.16733076319891674,-0.08912339707997141,0.0,0.0
2026-05-18,204615,-0.08963252847030329,0.0018010362841346863,0.0,0.0
2026-05-19,250201,-0.014647545772784983,0.023995853132131463,0.0,0.0
2026-05-20,227599,-0.012040515367390895,0.05609023466311432,0.0,0.0
2026-05-21,197959,-0.03455775581172076,0.16124249388955195,0.0,0.0
2026-05-22,142840,0.0859793247133223,0.03012785650349633,0.0,0.0
2026-05-23,100581,-0.007093739672699589,-0.20018969319961288,0.0,0.0
2026-05-24,107889,-0.02109715689021686,-0.021966928940482855,0.0,0.0
2026-05-25,72719,0.9018165636691665,0.5683826977709968,0.0,0.0
2026-05-26,222225,-0.05529149335605935,-0.08004016035316408,0.0,0.0
2026-05-27,299951,-0.021319026759447628,-0.017919499566764682,0.0,0.0
2026-05-28,312943,-0.07770592865946144,-0.0818305337380209,0.0,0.0
2026-05-29,225204,-0.11660370924464525,-0.004983403661853382,0.0,0.0
2026-05-30,99715,-0.028836769232192503,-0.06299928515762143,0.0,0.0
2026-05-31,127552,0.1512280708793238,-0.044671768069337384,0.0,0.0
2026-06-01,334499,-0.008410116847626862,0.11852573932298605,0.0,0.0
2026-06-02,357499,-0.05076503048352912,0.005536289735402711,0.0,0.0
2026-06-03,366032,-0.1235804209877786,-0.01892343039356593,0.0,0.0
2026-06-04,455654,0.03772355358951525,0.07922969246440713,0.0,0.0
2026-06-05,548376,-0.048781642826754686,0.02057923943801552,0.0,0.0
2026-06-06,280697,-0.03501676844348556,-0.09395341647491456,0.0,0.0
2026-06-07,219738,0.22208002919212882,0.17368333792659488,0.0,0.0
2026-06-08,555539,-0.010633735781607945,0.08003557478295903,0.0,0.0
2026-06-09,572993,-0.016012752936239473,0.05419712500359771,0.0,0.0
2026-06-10,575435,0.007691395965661463,0.020945682268310967,0.0,0.0
2026-06-11,614362,-0.028120392077663273,-0.011499038039849118,0.0,0.0
2026-06-12,537140,-0.07930339064213907,0.004441316295552457,0.0,0.0
2026-06-13,176396,0.048600317333784365,0.1640952026778937,0.0,0.0
2026-06-14,252955,-0.07563049806489802,-0.08793033573806941,0.0,0.0
2026-06-15,503598,-0.06038081644920549,0.042337744492192485,0.0,0.0
2026-06-16,537041,0.012957659894208117,0.03540800764128641,0.0,0.0
2026-06-17,583569,-0.08156188112394916,-0.054437149470265477,0.0,0.0
2026-06-18,530052,-0.031287014190989774,-0.02542255477262459,0.0,0.0
2026-06-19,432617,-0.07125345004506893,-0.10776858755653271,0.0,0.0
2026-06-20,276739,-0.033578896343426305,-0.03984108611878989,0.0,0.0
2026-06-21,194593,-0.09457686033751224,0.021927366394708707,0.0,0.0
2026-06-22,529746,0.039680476660166,0.11781687487163824,0.0,0.0
2026-06-23,699460,0.04343080028692276,0.031289531801751445,0.0,0.0
2026-06-24,686483,-0.03581068643664415,-0.010390967513090982,0.0,0.0
2026-06-25,652056,-0.008866847851217411,-0.012540846142381011,0.0,0.0
2026-06-26,596899,0.00819230163483299,0.010116960673439613,0.0,0.0
2026-06-27,129860,-0.04282104975992059,-0.005978909753370528,0.0,0.0
2026-06-28,201925,-0.09718436177713827,-0.061032899428254954,0.0,0.0
2026-06-29,586091,-0.08646638851724418,-0.013521440310645906,0.0,0.0
2026-06-30,508473,-0.028632326881025023,-0.038904324104946646,0.0,0.0
2026-07-01,571702,0.04765429236515406,0.020492229073167723,0.0,0.0
2026-07-02,726706,-0.0004773176678505805,0.009530526907061205,0.0,0.0
2026-07-03,369889,-0.0575133314445769,-0.1083139956697155,0.0,0.0
2026-07-04,126384,-0.048042157095793035,-0.057156519533313785,0.0,0.0
2026-07-05,167287,0.026242145223145993,-0.06484097627438644,0.0,0.0
2026-07-06,602721,-0.006066295929827967,-0.03112568788957031,0.0,0.0
2026-07-07,714607,-0.007544340469314016,0.006311417901170409,0.0,0.0
2026-07-08,779591,-0.007928182211862785,0.004119197841333334,0.0,0.0
2026-07-09,690160,-0.022516730704411094,-0.0021167174515763234,0.0,0.0
2026-07-10,651386,0.01937188912594382,0.018229623166501743,0.0,0.0
2026-07-11,257116,0.032768224897938625,0.00938142891336653,0.0,0.0
2026-07-12,262863,-0.11745639582820244,-0.10551189799571839,0.0,0.0
2026-07-13,748302,0.06066587066628584,0.004439226619778163,0.0,0.0
2026-07-14,773200,-0.020696046468456263,-0.02125614422428733,0.0,0.0
2026-07-15,703491,0.006704257219127054,0.01764234294756657,0.0,0.0
2026-07-16,774602,-0.018371847762550603,-0.022209165238147074,0.0,0.0
2026-07-17,826878,-0.0006981518220422476,0.02563345754522319,0.0,0.0
2026-07-18,218048,0.016565122060203413,0.004089170293323138,0.0,0.0
2026-07-19,281439,-0.059406208713564446,-0.06586140677855454,0.0,0.0
2026-07-20,728760,-0.00761961331162663,0.03056323467148074,0.0,0.0
2026-07-21,671431,0.03918379990933588,0.017463164164998806,0.0,0.0
2026-07-22,755913,-0.015128189626197998,-0.014927480907803664,0.0,0.0
2026-07-23,775474,-0.02269446059786405,-0.017275341069723144,0.0,0.0
2026-07-24,723873,-0.022943631426777782,-0.02568501342314187,0.0,0.0
2026-07-25,207698,-0.00598606240673492,0.037389595775357075,0.0,0.0
2026-07-26,251317,0.01110317069847677,-0.02524643010947997,0.0,0.0
2026-07-27,772175,0.021851101533540297,0.0214777446764591,0.0,0.0
2026-07-28,896591,-0.021259332311448057,-0.0034707085116331567,0.0,0.0
2026-07-29,1008289,-0.002450576925164117,-0.012008054340974829,0.0,0.0
2026-07-30,887322,-0.020873865910981067,-0.012996224216604891,0.0,0.0
2026-07-31,874878,-0.01402510343896134,-0.018308106860964395,0.0,0.0
2026-08-01,217403,-0.0038781812816820168,0.0846449548471056,0.0,0.0
2026-08-02,371852,0.06745194391851979,0.06647182940558888,0.0,0.0
2026-08-03,801363,0.015478362559218597,0.009069229533556513,0.0,0.0
2026-08-04,812638,0.003727732906968075,0.00671568068765408,0.0,0.0
2026-08-05,783034,-0.010442060135427977,-0.0074101617219521,0.0,0.0
2026-08-06,746538,-0.008116198966531471,0.045678839127846045,0.0,0.0
2026-08-07,678130,-0.02644454989958737,-0.024798146159921285,0.0,0.0
2026-08-08,180083,0.04594070489339429,0.17341958952525943,0.0,0.0
2026-08-09,162150,-0.02463180504048529,-0.14096430023742282,0.0,0.0
2026-08-10,612784,-0.04155267696570706,-0.09696408958612468,0.0,0.0
