dt,qty,n_quote,n_fill,n_full,volume,pnl_usd,pnl_bp_per_unit,fill_ratio,end_inv,px_ref,notional_usd
2026-07-10,1.0,270096,3909,3194,3439.7000000000157,33.082890909688416,1.5275086517775676,0.012735101593507553,2.900000000000006,62.965,216580.710500001
2026-07-10,5.0,273154,4164,2666,14945.299999999985,151.66521538210895,1.6116923382864325,0.010942764887206474,18.499999999999986,62.965,941030.814499999
2026-07-10,10.0,273238,4359,2285,27350.70000000009,297.99463526590034,1.7303772316661337,0.010009844897122689,35.70000000000008,62.965,1722136.8255000059
2026-07-10,25.0,274440,4729,1768,58221.59999999988,663.0580456028847,1.8087069413203043,0.008485876694359405,52.79999999999956,62.965,3665923.043999993
2026-07-10,50.0,278072,5114,1212,94951.69999999981,1374.6030080314804,2.2991925182233373,0.006829288817284718,-107.70000000000084,62.965,5978633.790499988
2026-07-10,100.0,285047,5630,579,138258.69999999998,2146.7455456758944,2.4659762735723674,0.004850382568488704,-322.69999999999925,62.965,8705459.0455
2026-07-11,1.0,66926,1490,1183,1286.400000000003,5.751165594402721,0.7071668839433326,0.019221229417565714,4.800000000000001,63.2205,81326.8512000002
2026-07-11,5.0,66125,1621,902,5364.899999999987,12.926178011052798,0.3811102022469351,0.016226540642722078,15.500000000000018,63.2205,339171.66044999915
2026-07-11,10.0,67557,1770,476,8541.299999999992,15.906310620339923,0.29456935026375847,0.012643101381055986,14.300000000000026,63.2205,539985.2566499995
2026-07-11,25.0,69213,1954,267,14074.00000000004,36.82463015955818,0.41386902204413606,0.008133732102350738,-43.80000000000004,63.2205,889765.3170000026
2026-07-11,50.0,69362,2020,108,18895.400000000052,82.13432805068715,0.6875601413596852,0.005448343473371602,-129.59999999999988,63.2205,1194576.6357000032
2026-07-11,100.0,69773,2122,30,21976.80000000006,100.88722700004382,0.726129035233843,0.0031497570693534835,-77.99999999999956,63.2205,1389384.284400004
2026-07-12,1.0,75421,1964,1614,1744.700000000002,-1.963846117756873,-0.17861812386316822,0.023132814468118986,1.699999999999986,63.0175,109946.63225000013
2026-07-12,5.0,77405,2176,1113,6929.400000000003,-22.650729677662525,-0.5187109251897882,0.017904269750016157,13.000000000000025,63.0175,436673.4645000002
2026-07-12,10.0,78135,2350,720,11409.400000000014,-31.659324529813006,-0.4403293846979679,0.014602162923145855,0.5999999999999055,63.0175,718991.8645000008
2026-07-12,25.0,78390,2597,473,20545.300000000032,-48.54937017504676,-0.37498158721459435,0.010483633116468953,-33.70000000000011,63.0175,1294713.442750002
2026-07-12,50.0,79687,2821,250,30981.500000000022,-36.99357992351179,-0.18947972680439237,0.007775797808927434,-76.69999999999962,63.0175,1952376.6762500014
2026-07-12,100.0,82931,3082,90,40065.69999999999,-140.97850922533416,-0.5583660559882684,0.004831209077425811,-112.89999999999924,63.0175,2524840.2497499995
2026-07-13,1.0,355150,4948,4265,4551.100000000006,25.016423001529063,0.9577033133363642,0.012814585386456443,-5.100000000000013,57.3955,261212.66005000033
2026-07-13,5.0,356022,5175,3163,18259.69999999999,-1.0502509088316856,-0.010021242797712722,0.010257624528821247,-25.099999999999937,57.3955,1048024.6113499994
2026-07-13,10.0,355857,5357,2582,32890.99999999997,-32.936533622724255,-0.17447088698527197,0.009242757624551427,-56.200000000000124,57.3955,1887795.3904999983
2026-07-13,25.0,357630,5626,1985,67683.09999999977,-385.4208434075408,-0.9921494864858725,0.007570181472471523,-144.30000000000027,57.3955,3884705.366049987
2026-07-13,50.0,362535,5960,1513,111651.70000000046,-1040.933645100844,-1.6243509339303117,0.006159499082847199,-299.4999999999994,57.3955,6408305.147350026
2026-07-13,100.0,363529,6460,787,167406.6000000006,-2582.4034230833277,-2.687655923375507,0.004605041138396128,-590.4000000000011,57.3955,9608385.510300033
2026-07-14,1.0,407726,8353,7554,7813.600000000041,4.280172514017778,0.0925085838220023,0.01916385023275445,-1.399999999999993,59.2145,462678.41720000247
2026-07-14,5.0,412991,9207,4458,28720.599999999387,4.547412796547434,0.026738854903815577,0.013908583964299167,-3.799999999999984,59.2145,1700675.9686999638
2026-07-14,10.0,415520,9430,3948,49636.499999999854,-38.92027975301119,-0.13241791216927498,0.01194563438582977,-7.499999999999827,59.2145,2939200.5292499913
2026-07-14,25.0,418043,9899,3004,102447.00000000201,-209.35685152546375,-0.3451118458997654,0.00980253227538813,-42.600000000000314,59.2145,6066347.881500119
2026-07-14,50.0,420218,10501,2336,171358.8999999989,-405.9151942873159,-0.4000373816705122,0.00815571441489888,-141.1000000000002,59.2145,10146931.584049935
2026-07-14,100.0,429632,11549,1288,261651.40000000596,-1223.9808722752023,-0.7899934702382161,0.006090128295844024,-381.9999999999985,59.2145,15493556.825300353
2026-07-15,1.0,359036,7281,6032,6392.400000000059,22.430178042892578,0.5824015729380039,0.01780434274000395,4.799999999999994,60.2485,385132.51140000357
2026-07-15,5.0,362584,8011,3368,22560.3000000001,152.9692932379719,1.1254161701186483,0.012444178452441421,21.100000000000026,60.2485,1359224.234550006
2026-07-15,10.0,363495,8243,2986,38611.60000000033,326.5829666788077,1.4038784018059358,0.010622319426677213,45.00000000000017,60.2485,2326290.9826000202
2026-07-15,25.0,363503,8569,2479,79799.79999999965,801.8376831219148,1.667778691658914,0.008781198504551507,120.4,60.2485,4807818.250299979
