dt,qty,inv_limit,pnl_usd,n_quote,n_fill,volume,gross_bp_mean,gross_bp_med,sz_mean,sz_sd,sz_p50,sz_full_frac,iat_med_ms,iat_mean_ms,buy_frac,q_abs_tw,q_max_abs,q_at_limit_frac,q_end,mid_first,mid_last
2026-07-10,0.37243947858473,1.86219739292365,13.215211712145113,268296,3862,1364.0193668528864,1.0223110236954949,0.8745984798443349,0.35318989302249776,0.05493419424645679,0.37243947858473,0.8837389953392025,9420.0,22341.443926443928,0.49870533402382183,1.1883442684200332,2.227560521415269,0.23102421212971472,0.8417132216014915,65.0985,63.047
2026-07-11,0.37243947858473,1.86219739292365,2.201168510013545,67372,1461,514.071322160149,1.0251661509401404,1.0222938701690898,0.351862643504551,0.05697061143709684,0.37243947858473,0.8733744010951403,13507.0,59115.84794520548,0.49828884325804246,1.178551368997143,2.2346368715083798,0.1679770513455098,1.6590316573556803,63.047,62.952
2026-07-12,0.37243947858473,1.86219739292365,-0.9088540499556323,74726,1901,679.7266294227188,1.0450429643094583,0.9490967762357766,0.3575626667136869,0.04711195308559779,0.37243947858473,0.8926880589163598,12058.5,45466.57263157895,0.49763282482903737,1.3336912474160774,2.230726256983242,0.31912789301886874,0.4756052141527019,62.952,61.837
2026-07-13,0.37243947858473,1.86219739292365,9.462452918007799,354660,4889,1775.311359404097,1.1103940484650359,0.9646499636072551,0.3631236161595617,0.03928458809138592,0.37243947858473,0.9359787277561874,8250.5,17647.01534369885,0.49478420944978524,1.2344879570152911,2.232216014897584,0.2367997496891064,-1.9716945996275572,61.833,55.934
2026-07-14,0.37243947858473,1.86219739292365,1.3360629943554514,407226,8246,2994.4964618249537,0.9487016858425048,0.7425926392405577,0.36314533856717846,0.04082515176685018,0.37243947858473,0.9318457433907349,5513.0,10477.976470588235,0.4992723744845986,1.1991746044680511,2.2346368715083798,0.21032652451075332,-0.7724394785847257,55.934,62.2205
2026-07-15,0.37243947858473,1.86219739292365,8.550226341899688,357544,7125,2527.637243947858,0.7396747139894484,0.6097082981303733,0.3547561044137345,0.053244596141630074,0.37243947858473,0.8616140350877193,6113.0,12120.594750140372,0.4968421052631579,1.1862501993450685,2.232216014897581,0.22209594930552165,1.8841713221601555,62.218999999999994,56.549499999999995
2026-07-16,0.37243947858473,1.86219739292365,7.042741504331771,357145,7541,2694.052886405959,0.6506962957396485,0.4865753851253577,0.3572540626450018,0.051526012740672596,0.37243947858473,0.8947089245458162,5997.0,11457.459018567639,0.4990054369447023,1.1450738109167735,2.2346368715083798,0.196255881400438,0.1448789571694592,56.555,51.447500000000005
2026-07-17,0.37243947858473,1.86219739292365,11.963059159798725,397959,9373,3372.7061452513967,0.7196269881750325,0.575738384478115,0.3598320863385679,0.04653920768374095,0.37243947858473,0.9149685266190121,4626.5,9217.469270166452,0.49855969273445,1.1243047425309571,2.231471135940415,0.18500889280094618,-1.0480446927374252,51.447500000000005,52.1425
2026-07-18,0.37243947858473,1.86219739292365,-1.0146250431202475,56316,1733,609.6945996275605,0.7004964725791697,0.6669906335462941,0.35181454104302395,0.05667202868114225,0.37243947858473,0.8742065781881131,18116.5,49858.994803695154,0.4864396999422966,1.281042037723757,2.2243947858473,0.216580839187132,1.9392923649906944,52.1395,51.826499999999996
2026-07-19,0.37243947858473,1.86219739292365,0.005269271873984849,92338,2283,836.2912476722533,0.9277796042456177,0.7614986293033978,0.36631241685162214,0.033267892466991,0.37243947858473,0.9627682873412177,8829.0,37676.67177914111,0.5006570302233903,1.221826205622687,2.2314711359404096,0.22010126345959688,1.8141527001862192,51.826499999999996,52.427
