dt,k_ticks,lat_ms,pnl_usd,n_place,n_fill,volume,gross_bp,ops_per_s,eq_min,end_inv
2026-07-10,-1,0,13.182436749612584,268162,3862,1364.019366852916,1.0218544376819625,6.207453703703703,-1.037099319478628,0.8417132216014915
2026-07-10,0,0,16.122009615889,216971,6490,2293.847486033425,1.0347307009623765,5.022476851851851,-1.232131547709585,2.0351955307262584
2026-07-10,1,0,16.167015003600554,182786,6139,2175.89273743014,1.0399512827007769,4.231157407407407,-1.2440980802980306,2.0800744878957182
2026-07-10,2,0,15.583226701108075,157888,5114,1813.1176908752677,1.0612023946174773,3.6548148148148147,-0.9351399082309939,1.1966480446927406
2026-07-10,3,0,12.493999727080691,138462,4859,1729.2266294227522,1.0588897993996684,3.205138888888889,-1.0316402869274413,1.2959031657355695
2026-07-10,5,0,10.317290044423284,105488,4441,1582.8728119180937,1.0401086744919572,2.441851851851852,-0.8766261398883017,-0.2631284916201105
2026-07-10,10,0,8.912357539638805,55117,3573,1270.397579143413,0.9680874527381519,1.2758564814814815,-0.8900610388690069,-1.0229050279329623
2026-07-10,20,0,-0.33419499943353514,22772,2375,849.5046554934959,0.8486983234375846,0.5271296296296296,-1.2814904922768378,-1.6685288640595894
2026-07-10,50,0,3.969010619965597,5896,1112,392.8504655493526,0.8586874373016329,0.13648148148148148,-1.0025326006704063,0.10707635009310967
2026-07-10,-1,100,9.26880925080043,276286,1963,707.9091247672367,0.7420235093666739,6.395509259259259,-0.1621867167225446,-1.2268156424580987
2026-07-10,0,100,12.077310928145423,215214,5825,2054.856238361304,0.7497410540144616,4.981805555555556,-0.23915185668536765,1.9627560521415306
2026-07-10,1,100,13.81548305083582,182558,5725,2019.606703910654,0.7335678167322105,4.225879629629629,0.0,0.6312849162011216
2026-07-10,2,100,12.08719806393281,157523,5415,1912.5102420856983,0.7355822798340707,3.6463657407407406,-0.00039875366853081573,0.13445065176909288
2026-07-10,3,100,11.204074366244328,137972,5206,1848.0206703910976,0.7298916881260703,3.1937962962962962,-0.14562213035387828,0.8132216014897609
2026-07-10,5,100,9.827841921339981,105196,4682,1658.3465549348548,0.7225131627710814,2.435092592592593,-0.00039875366853081573,-0.11824953445064573
2026-07-10,10,100,5.402156864681796,55249,3500,1236.7638733706005,0.7118037388081265,1.278912037037037,-0.9896657079026596,-0.43314711359404107
2026-07-10,20,100,-0.2007354063438811,22356,2214,788.9521415270146,0.6904136434593305,0.5175,-1.0147502482544795,-1.7409683426443205
2026-07-10,50,100,6.85740684319974,5850,1060,372.96629422719195,0.7659291372182762,0.13541666666666666,-1.1172261139664919,0.56927374301676
2026-07-11,-1,0,2.212126457117094,67342,1460,514.4162011173246,1.026594655240944,1.5588425925925926,-0.13316708648044084,1.6590316573556798
2026-07-11,0,0,1.8371364723503234,47169,2214,779.7262569832529,0.9923886500411547,1.091875,-0.23373473791097865,1.8283054003724404
2026-07-11,1,0,2.6577593487203472,36877,2027,706.6769087523392,1.0200333995066404,0.8536342592592593,-0.1680740450261311,1.369273743016762
