dt,cfg,qty,lat_open_ms,lat_cancel_ms,n_quote,n_fill,volume,pnl_usd,end_inv
2026-07-10,lat0,0.37243947858473,0,0,268296,3856,1364.019366852916,13.215211712145056,0.8417132216014915
2026-07-10,lat50,0.37243947858473,50,50,273044,1387,501.25083798883367,5.041276108000297,-0.34096834264431936
2026-07-10,lat100,0.37243947858473,100,100,275680,1964,708.0366852886519,9.043353058889807,-0.9543761638733705
2026-07-10,lat300,0.37243947858473,300,300,270668,4298,1492.50093109873,9.47042701526398,-1.1221601489757889
2026-07-10,open100only,0.37243947858473,100,0,270901,955,345.81284916201474,6.821758609008441,-0.3480446927374304
2026-07-10,cancel100only,0.37243947858473,0,100,267878,4781,1696.5102420856995,13.180620357653236,0.6629422718808189
2026-07-10,q1_lat0,1.0,0,0,270096,3910,3439.7000000000157,33.082890909688416,2.900000000000006
2026-07-10,q1_lat100,1.0,100,100,277477,2002,1794.800000000003,25.853499744722896,-1.7999999999999963
2026-07-11,lat0,0.37243947858473,0,0,67372,1464,514.071322160155,2.201168510013602,1.6590316573556803
2026-07-11,lat50,0.37243947858473,50,50,67123,350,123.53575418994332,-0.6360225589006845,-0.15512104283054
2026-07-11,lat100,0.37243947858473,100,100,67355,466,164.74189944134056,-0.07752411137400372,1.15195530726257
2026-07-11,lat300,0.37243947858473,300,300,65241,988,339.8972067039132,1.80723234371969,0.8558659217877111
2026-07-11,open100only,0.37243947858473,100,0,68429,240,85.2091247672251,0.47439698334798264,0.017318435754189565
2026-07-11,cancel100only,0.37243947858473,0,100,66371,1656,582.8482309124847,1.338295401027679,1.3212290502793298
2026-07-11,q1_lat0,1.0,0,0,66926,1490,1286.400000000003,5.751165594402721,4.800000000000001
2026-07-11,q1_lat100,1.0,100,100,68998,484,412.0999999999998,-0.2959332964796886,2.100000000000001
2026-07-12,lat0,0.37243947858473,0,0,74726,1901,679.7266294227289,-0.9088540499555506,0.47560521415270235
2026-07-12,lat50,0.37243947858473,50,50,73508,385,137.3262569832395,0.9477904493269982,-0.5173184357541905
2026-07-12,lat100,0.37243947858473,100,100,74509,563,200.4992551210435,2.7462390879542937,-0.7551210428305408
2026-07-12,lat300,0.37243947858473,300,300,77396,1614,563.0657355679772,2.090417036266757,-1.3905027932960867
2026-07-12,open100only,0.37243947858473,100,0,70023,255,91.6232774674112,2.362483828014632,-1.21731843575419
2026-07-12,cancel100only,0.37243947858473,0,100,74461,2176,776.9467411545739,-1.9152336865319057,0.7307262569832429
2026-07-12,q1_lat0,1.0,0,0,75421,1963,1744.700000000002,-1.963846117756873,1.699999999999986
