n_ticks,ts_min,ts_max,covered_ns,px_first,px_last,px_min,px_max,mp_tw,mid_tw,spread_bp_tw,spread_bp_med,dev_bp_tw_abs,dev_bp_ev_abs,dev_bp_p99,imb_tw,bid_sz_tw,ask_sz_tw,dwell_med,dwell_p99,gap_ns,n_all,n_crossed,n_locked,crossed_ns,dt,uncovered_ns
4928,1777910008258164181,1777939199486280788,29190238994765,47.222459893048125,42.974137883393205,42.149135974483805,47.222459893048125,42.79157316744626,42.87205139017829,142.74814134031183,62.89085962618875,44.07198484730286,37.53566168032421,122.63075288796894,0.4127824370836641,169.23698186772913,228.38888174118793,987874030.0,79517697124.0,9319724903514,4930,2,0,1502841054,2026-05-04,1502841054
14334,1777939200160413255,1778025599353200519,86385413281837,42.42626888217523,48.69396013289037,41.12857142857143,50.93991839837811,45.21810541782979,45.24240420058134,101.81467841499261,64.50847347925038,36.605259494671586,27.685214992636226,158.55832128697517,0.46459572916015746,148.75183651991796,197.13908542608374,602401325.0,105724370542.0,43499211444050,14369,27,8,11278655220,2026-05-05,14426304908
18440,1778025605016000000,1778111994825069103,86380161645878,48.6940049958368,48.58788440111421,45.33178823529411,52.586794701986754,48.98200967676459,48.96907426223426,53.99835316842749,50.16375772148694,17.97896027809211,19.52468504536638,73.27718541444719,0.5399672554921442,124.75873074266563,103.74696879217069,1029816267.0,38479489671.0,9101898171027,18482,34,8,12095255182,2026-05-06,14822354122
27286,1778112010633765589,1778198395802677380,86385340472434,48.61934666666666,46.742452160493826,45.97649402390438,49.66063163113535,47.671346385601964,47.6761148956204,54.194117244767206,42.71767782535727,18.032747188213406,16.86492268417093,50.45579898686193,0.4732987520273287,139.50888656957235,111.4472539797529,419156106.0,55380103510.0,27117794984737,27297,9,2,3586296214,2026-05-07,4025761977
29278,1778198400618659242,1778284798997501568,86389952027757,46.75788888888889,54.0270506329114,45.603221722003376,54.57325831202046,49.87547770209316,49.893863618496745,36.84323046881082,34.27690806556126,11.971601303586098,12.696384677966995,39.01755866605531,0.39332167957229547,82.65140998318476,216.9575201695711,537501277.5,39049489596.0,18731764339958,29295,15,2,8578585523,2026-05-08,9429313001
22539,1778284801092080362,1778371199295054816,86392285573717,54.030492012779554,55.60396694214876,52.6064,56.82616303983931,55.95601708288991,55.9448382902664,35.92516095489923,29.60389282327087,9.433331732825826,10.906322677929397,57.478210412702694,0.5721929659333705,107.03804685892766,62.19360296527229,887196621.0,30074000000.0,5719564216882,22553,13,1,6311928022,2026-05-09,6622345921
31628,1778371202346000000,1778457599866746355,86392992995088,55.60444444444445,55.655499999999996,55.263416856492036,56.71579961832062,56.28454102343052,56.2857583652495,31.204863841531463,33.79525864370496,9.333654175956495,11.191428743788633,47.53726308041517,0.5439103597520917,66.2968739592365,75.9476559117423,883853421.5,27328774821.0,7273277507257,31642,11,3,4387134837,2026-05-10,4661004912
86071,1778457603255875681,1778543997877625080,86355960338876,55.63775862068965,55.67822857142857,52.015550458715595,56.940066059225515,54.84273285636306,54.84476447271064,24.57827411161177,22.72060979184902,5.945181956545034,6.815189241700904,37.10197493698048,0.492048798528914,87.35682400340458,32.51932143307925,535881616.0,7569974819.0,709641656490,86182,101,10,37606313646,2026-05-11,40783785443
96592,1778544000264492001,1778630399898286495,86379246529552,55.68571186440678,50.23925,48.38492612953101,55.8437032967033,51.875337080038435,51.87375809715712,17.633514066292648,20.01082087546007,4.525587751793801,5.392618691736969,22.797642430689184,0.5178724609396553,117.09074960339956,64.22298806470283,495081027.5,6423364384.0,375091272960,96644,50,2,19657590193,2026-05-12,20488978447
74159,1778630400930002216,1778716790214254826,86377951427020,50.13244444444444,55.14206521739131,49.835092198581556,55.54516427783903,54.1829545674041,54.18382166536382,16.42236329055699,18.736223365172073,4.12737772637049,5.000424829167909,18.68765880888516,0.48453638426587897,93.87559384053192,168.568154878062,600897886.0,10014000000.0,1224813570722,74205,42,4,18839624596,2026-05-13,21118570764
