dt,k_ticks,lat_ms,pnl_usd,n_place,n_fill,volume,gross_bp,ops_per_s,eq_min,end_inv
2026-07-10,-1,300,9.200349432789992,270571,4299,1492.5009310987296,0.8295947362088044,6.263217592592593,-1.4340659122533879,-1.1221601489757884
2026-07-10,0,300,9.469020012504643,216030,6359,2237.5091247671617,0.7604181632074147,5.000694444444444,-1.1813782504284092,1.8666666666666674
2026-07-10,2,300,11.813168098331628,157145,5674,2002.2815642458495,0.7438235281528095,3.6376157407407406,-1.1491237345252046,-0.12067039106145122
2026-07-10,5,300,9.896885918128234,105127,4851,1718.0124767225657,0.7301113549783663,2.4334953703703706,-1.3343561838362064,-0.26312849162011037
2026-07-10,10,300,5.527651197050012,55590,3521,1243.4331471136175,0.7176554669477849,1.2868055555555555,-1.1855425746438328,-0.6331471135940405
2026-07-10,20,300,1.1728467537452332,22552,2195,782.3206703910741,0.6877252113139749,0.5220370370370371,-1.025899451978887,-1.8134078212290494
2026-07-10,50,300,4.7757582871465445,5775,1045,366.8797020484209,0.726081569993513,0.13368055555555555,-1.0194138121415612,0.9519553072625704
2026-07-10,100,300,-0.06730031569496475,1760,505,179.4638733705774,0.8525389963218664,0.040740740740740744,-1.5212873351906921,1.6519553072625692
2026-07-11,-1,300,2.0970957278256037,65480,988,339.3696461824978,0.7717235125610017,1.5157407407407408,-0.22793300443143494,1.1283054003724415
2026-07-11,0,300,0.09608774866514125,46506,2117,732.7918063314836,0.6973049573677773,1.0765277777777778,-0.5062726700643907,1.6968342644320336
2026-07-11,2,300,1.482282432451271,28333,1640,563.1294227188158,0.7011850711408931,0.6558564814814815,-0.20606008564772083,1.0858472998137823
2026-07-11,5,300,1.0858607391425465,16079,1291,442.88733705773313,0.7210131436431934,0.3721990740740741,-0.2043663297319256,1.5692737430167627
2026-07-11,10,300,2.2902464804812865,6982,873,302.6437616387361,0.7567180997881298,0.16162037037037036,-0.037097200610801906,1.9346368715083813
2026-07-11,20,300,0.3505173347883641,2719,557,191.5677839851026,0.7617600400877983,0.06293981481481481,-0.5727108947142199,0.87243947858473
2026-07-11,50,300,2.1889482847906123,716,249,86.48156424580979,0.8288206452883462,0.016574074074074074,0.0,1.74487895716946
2026-07-11,100,300,0.48240150329581866,233,129,42.823463687150884,0.8749745366704951,0.005393518518518519,-0.18755819865084788,1.0897579143389198
2026-07-12,-1,300,2.246906711000989,77241,1613,564.3830540037316,0.7919274550949493,1.787986111111111,-0.6204381177157927,-1.162942271880817
