dt,orders_all,orders_resting,orders_canceled,100ms_windows,100ms_cancel_ratio_mean,100ms_lambda_cancel_bid,100ms_lambda_cancel_ask,100ms_new_diff_mean,1s_windows,1s_cancel_ratio_mean,1s_lambda_cancel_bid,1s_lambda_cancel_ask,1s_new_diff_mean,10s_windows,10s_cancel_ratio_mean,10s_lambda_cancel_bid,10s_lambda_cancel_ask,10s_new_diff_mean,60s_windows,60s_cancel_ratio_mean,60s_lambda_cancel_bid,60s_lambda_cancel_ask,60s_new_diff_mean
2026-05-04,13817,10049,9886,10973,0.7270579766891133,1549.9926182447828,625.530028251162,926.5159938029709,6213,0.6971461083474803,273.74970223724455,110.47708031546759,163.63528086270722,1756,0.6633215016011715,96.85688496583144,39.08850227790433,57.896697038724376,418,0.687624105955471,67.81526714513556,27.36818580542265,40.53692185007975
2026-05-05,58196,52466,50956,49145,0.7836248092122673,2364.743188523756,521.9967036321091,1839.338895106318,24672,0.7688699200576464,471.04127756160824,103.97830739299611,366.3842007133593,5068,0.7330879305366816,229.31196527229676,50.61864246250987,178.36288476716655,1201,0.7483710923360642,161.27574798778795,35.600233139050786,125.44311684707188
2026-05-06,96464,83630,78968,66513,0.6058784585568456,1474.7158901267421,929.9302692706689,545.4812893720025,33846,0.5873124925641375,289.80611593689065,182.7467115759617,107.19611475506707,7569,0.5840961410195888,129.59146254458977,81.71812921125644,47.93446558330031,1457,0.6177498174160339,112.20290322580645,70.75320521619766,41.50262754518416
2026-05-07,90892,88307,87317,68959,0.6275728317210661,2388.2953639118896,1067.9319595701793,1323.0428805522122,32988,0.6146290122682495,499.2556687280224,223.24336122226268,276.57243239966044,6875,0.5963558102283412,239.55557818181816,107.11784727272729,132.70649309090908,1475,0.5938029056823236,186.09543502824857,83.21301694915255,103.091202259887
2026-05-08,113427,100839,96529,79377,0.47929152879834536,1207.9019867215943,1353.3270090832357,-148.23435000062992,36777,0.5011219585515378,260.70543002419987,292.09298746499167,-31.99390379856977,7247,0.5210263535054164,132.30251966330897,148.23104457016694,-16.236232923968544,1470,0.4822039233310639,108.70707029478459,121.7948276643991,-13.34058730158729
2026-05-09,90674,66029,62756,62026,0.5903940995936809,495.4007512978428,405.1270918647019,88.35059491181117,32309,0.5766629622163553,95.1057816707419,77.7752731437061,16.96132347024049,7260,0.5727456846390104,42.32469283746557,34.6121391184573,7.548256198347107,1468,0.5709966441460321,34.88615690281563,28.529079246139876,6.2216553133515
2026-05-10,94190,53777,52236,63241,0.7045223001076258,202.09988773106053,152.8786072326497,49.15765089103588,34674,0.6944730443371981,36.86046893926285,27.883128568956568,8.965735132952643,7782,0.6344488047963115,16.42379722436392,12.423793369313803,3.9948329478283218,1489,0.6283470927260886,14.30602081934184,10.821799865681665,3.4797168121781956
2026-05-11,279214,260341,238687,199907,0.543036971567566,724.9024096204736,640.2586852886592,86.54047632148949,68914,0.5481366220185873,210.2810256261427,185.72741823141888,25.103820704065935,8725,0.5318886537431748,166.08947392550144,146.69592320916905,19.828134097421202,1557,0.5235024509959993,155.11995932348535,137.00727146221368,18.518568828944552
2026-05-12,377809,355854,345881,248453,0.5267333898675357,888.5263892969697,716.7380269105223,173.44552490813152,75232,0.5297712589109902,293.4350369523607,236.70208554870274,57.28022782858359,8792,0.5517980412924396,251.0885429936306,202.54289467697905,49.01394563239309,1560,0.5569004033944336,235.85154594017095,190.25183012820514,46.03959508547008
2026-05-13,330477,315855,309229,220493,0.5411824676855269,905.6249495448835,758.1284757339236,147.98018531200537,70982,0.5495830701999751,281.3163365360232,235.49917162097435,45.967421318080646,8758,0.5478989649890535,228.0017835122174,190.86780315140442,37.25576044759077,1528,0.5411363071873518,217.80536867364748,182.33204842931937,35.58965423211169
2026-05-14,345300,332295,319515,239666,0.4425633292891476,1101.561093354919,1415.9970291989687,-315.54000984703714,72919,0.44545174738720505,362.05480190348203,465.4018074850176,-103.70988631220943,8810,0.4664164883927445,299.6671293984109,385.20583881952325,-85.83906015891034,1554,0.4662125090345576,283.1475128700128,363.9707679107679,-81.10704847704847
2026-05-15,465009,442159,430585,282078,0.3410414420144539,565.4061819780344,1094.7207545430697,-528.2996795212672,73731,0.35589442327081483,216.31151754350273,418.8152079857862,-202.11541549687374,8790,0.4024279698265564,181.4432821387941,351.30448350398177,-169.53551422070535,1553,0.4141274886939841,171.1618855977678,331.39798347284824,-159.92886563640266
2026-05-16,254423,249575,247511,188060,0.583865971520881,75.0546793576518,84.84270445602468,-9.227267893225566,61795,0.5554084611430299,22.84130269439275,25.8200809126952,-2.808123634598268,8710,0.48623168063154115,16.20526176808266,18.318621125143512,-1.9922847301951783,1505,0.467286664744537,15.630988925802878,17.669456256921375,-1.9216832779623483
2026-05-17,164838,155109,152194,132493,0.5444443464562263,223.18438709969584,189.42740371189421,32.93884959960149,55880,0.5554670851465038,52.91762526843235,44.91375268432355,7.809890837508948,8715,0.5233381571624414,33.93042914515205,28.798399311531846,5.007650028686175,1502,0.5242276972828386,32.81221593430981,27.849317576564577,4.842617620949845
