dt,n_ev,cover,px_med,range_pct,rv1,rv5,rv10,rv30,rv60,rv300,ret_cc
2026-05-04,4928,0.3378614365348032,42.769000000000005,6.381958895461668,0.10626582126920932,0.10226424394365179,0.07704554095424246,0.06646669878255229,0.06225836448238347,0.08136037175936973,-0.047103254468668705
2026-05-05,14334,0.9999906572599999,46.5625,19.571543624161073,0.16036872558564924,0.11783162654665344,0.11351812219236096,0.09455203071901003,0.09025540727386601,0.09200717349737306,0.1277318033060499
2026-05-06,18440,0.9998820494109143,48.751000000000005,14.285860802855327,0.16841039136696767,0.12632557735084865,0.11853931351472374,0.11629422080334281,0.10950602010742227,0.10288160881548816,-0.007500691087328581
2026-05-07,27286,0.9998283438864699,46.701,7.721462067193426,0.06591897804499565,0.05646080600690428,0.05505543419063511,0.05247303449313053,0.050668464897692916,0.05503167642174164,-0.034929761401573486
2026-05-08,29278,0.9999812366009954,50.954499999999996,16.317498945137334,0.08085814213818825,0.06373719494151298,0.05903668187276012,0.052602703839546766,0.05128449555811109,0.044715766817271206,0.13891783901774593
2026-05-09,22539,0.9999792010932177,56.232,7.5357447716602595,0.10213887692711525,0.07719232191733295,0.07295486117591844,0.07155134617431001,0.06399804814789048,0.054259172978159534,0.034118175379494124
2026-05-10,31628,0.9999713049346644,56.305,2.5317467365242865,0.05502441635624379,0.046527753220706965,0.04293908648789863,0.0383904032492798,0.03361386935544383,0.025364820399892702,0.0001435647120403637
2026-05-11,86071,0.9999377517291551,54.797,8.733142325309778,0.13863987352740267,0.10530133189679376,0.09799190138264441,0.09119287512033819,0.0812259695266287,0.07819075879729251,-0.0008617053321632376
2026-05-12,96592,0.9999957615103473,52.136,14.237762774282647,0.09657087574769443,0.07175359345524616,0.06867079001265888,0.07102923980224557,0.06718723182501182,0.07534875922648995,-0.10406623136682804
2026-05-13,74159,0.9998759751459491,54.364000000000004,10.460047089986023,0.05497106158653451,0.04651473850394361,0.0459149680509504,0.04842478005681141,0.04988369918958244,0.056345802803573965,0.0940111916629155
2026-05-14,83464,0.9999319518025925,53.9915,4.449774501541903,0.0589151556493023,0.04139842791192737,0.03913152497529528,0.039445614857366085,0.0400277678338253,0.040512762095682546,-0.02947574062664463
2026-05-15,155698,0.9998858527758681,51.153999999999996,9.290573562184772,0.09750391277228193,0.08026130954363317,0.07634732234952456,0.07432966807128816,0.07470933858087923,0.05950887739747634,-0.05948994224455491
2026-05-16,126488,0.9997285834543171,50.155,1.4804107267470834,0.03470197824657793,0.024128463421685793,0.01902082403143116,0.01586824698219168,0.014434144577874675,0.013648681388757467,-0.004022391741321261
2026-05-17,50965,0.9996522482138658,51.6605,4.6050657659139915,0.04894289336755769,0.038689281522350634,0.03742195015338731,0.03582179441916881,0.03345984024459504,0.028917912989583575,0.017405299726796792
2026-05-18,97578,0.9999319476553935,50.44,10.502577319587628,0.06322821763427669,0.05913721754112342,0.06067530841919142,0.06490220227548732,0.06687111562425811,0.0755785151734898,-0.027860712367402757
2026-05-19,126221,0.9999710953594096,48.598,9.261698012263874,0.04440611608489597,0.041816542753806515,0.0442656969401017,0.048806755184048034,0.0509921092881164,0.06099737920349627,0.0047359215183530754
2026-05-20,108180,0.9999323803189583,50.385999999999996,8.173897511213427,0.040858459739158505,0.04179625148196188,0.04385258950148258,0.04912930196597493,0.05162454847232016,0.049963507335724314,0.033767409887610345
2026-05-21,90480,0.9999933707858797,53.0225,7.412890753925237,0.05303497310309343,0.03580012866274605,0.03568925882567436,0.03765819370018515,0.04051877711214132,0.04234041066557317,0.05922301204259276
2026-05-22,60434,0.9998416443305903,53.701,4.354667510847091,0.02558997947289001,0.02720026568163988,0.02811081532285879,0.02980333176946082,0.031208996923267878,0.03324280831240407,-0.04158537539160171
2026-05-23,51770,0.9997397896540509,52.36450000000001,9.005146616505453,0.035658683914307404,0.039253451480695235,0.04179005489637721,0.04546037480600321,0.043132778715350685,0.03900249554035266,0.033532828583652266
2026-05-24,53623,0.9998752852186574,54.8635,2.333062965359485,0.028999293236658605,0.03019637418961969,0.030568884524003755,0.03246376131728272,0.03187405166872447,0.030706467138865795,0.015790017786734195
2026-05-25,50842,0.9999746322494676,55.1875,0.30713476783691834,0.009589088959180585,0.007770740577843501,0.006648334877995033,0.005455872638094267,0.0050169343744885945,0.004339310708928796,-0.001258322975623634
2026-05-26,98883,0.9999961715839352,59.4615,11.96908924261917,0.04009732721591549,0.04106585281830342,0.04145578827814214,0.04489891952884524,0.0456158129666142,0.0394723744801938,0.11841283525807218
2026-05-27,141033,0.9999986380279399,61.192499999999995,7.411038934509944,0.046232702949139254,0.04905275819398317,0.050231079563549455,0.05322769372428755,0.05627549622122013,0.0601803935615845,-0.042461029117784356
2026-05-28,141592,0.9999005706630324,60.569500000000005,18.2220424471062,0.19240241349734707,0.07989779771971008,0.08102574322974686,0.04669320595226915,0.04859260434043409,0.05225325635000647,0.05675189081824764
2026-05-29,94054,0.9999541558414583,63.1125,5.313527431174497,0.07280010236370707,0.029637595587015897,0.03173466299556874,0.03405241200147378,0.03617283958316446,0.034883643119995894,0.0038845446537699962
2026-05-30,39338,0.9999753601344907,64.366,4.566075257123337,0.019120889784286076,0.0223744238470534,0.02313217838135821,0.024582142497895445,0.02470267470153231,0.024114749818709372,0.036965035036889554
2026-05-31,54228,0.9999942414400116,66.036,2.07159731055787,0.026694573281499545,0.029235284484556805,0.030236962318910415,0.03187314550243743,0.03203199601562716,0.027856858131377366,0.0041159509213085504
2026-06-01,153802,0.9999902459154515,66.784,7.087026832774301,0.033561626343416806,0.038055226620218735,0.041503860333753285,0.04448282771908066,0.04946489440764299,0.046199670138077464,0.031628878593389594
2026-06-02,163521,0.9999922507254514,67.918,7.0474690067434524,0.02967878119126338,0.03486720156576,0.03846761068427978,0.04532080813411896,0.047870312549331474,0.053824683969534305,0.01866929371191513
2026-06-03,149794,0.9999213531226389,69.117,5.394476033392648,0.03170286947509367,0.03460018556021573,0.037307948315184684,0.040114413169511934,0.04313412041550281,0.04608107413201891,-0.04004562620720185
2026-06-04,179121,0.9999922904061804,65.62899999999999,7.3092687683798285,0.035776278825322125,0.04291960201462325,0.04580436331975643,0.04614904498428666,0.04994572338204199,0.055023792612515374,-0.05119065781173232
2026-06-05,251349,0.9999906758503124,60.022999999999996,16.789397397664256,0.051820064690399216,0.06292167265803797,0.06641903243673314,0.07031278639270236,0.07375340311797517,0.07349727633188675,-0.1321766644505373
2026-06-06,157131,0.999958421687963,54.915000000000006,6.687608121642549,0.04520074738225877,0.0528404940819823,0.05377565168429893,0.05497629177289709,0.055562184267979466,0.057118015141120936,0.005660545047863308
2026-06-07,119049,0.9999954805214005,56.954499999999996,5.812534567066702,0.04106067673979587,0.04567853508490181,0.04657275430742061,0.0466676216368057,0.04708545179783478,0.049237779952835216,0.008271257187806089
2026-06-08,261871,0.9999965038409837,59.507,9.424101366225818,0.05326381971844865,0.06271126378643427,0.06582479037002048,0.06848462065630327,0.07281510917157165,0.08159694732732606,0.0792447171722022
2026-06-09,267794,0.9999880371085764,59.7755,14.561986097983281,0.05554456302806011,0.06547849561374872,0.06735562712780538,0.06996700333090998,0.0755875861876584,0.0817445935238197,-0.01895190447513918
2026-06-10,307354,0.9999951001017013,58.2945,9.971781214351271,0.06182004242520532,0.07241253172806747,0.07316469382621103,0.07802710595140944,0.08476007943597749,0.08274155714845141,-0.0571160935253547
2026-06-11,296451,0.9999906151794445,60.2325,17.36520981197859,0.05210385102041326,0.06167940807850218,0.06270298218272226,0.06587121295259747,0.06843300691455634,0.06795152136930815,0.1568244714543978
2026-06-12,253954,0.9999867208918172,65.07300000000001,5.98404868378591,0.042410132225197794,0.04854820245741901,0.05091139335315745,0.05432658662355079,0.05842458360845331,0.06172942085868271,-0.005093396062894909
2026-06-13,92871,0.9999943058245486,64.9735,3.152054299060389,0.019467599662615975,0.021933938239209087,0.02257590661541519,0.023163747615352254,0.022577028308981763,0.0239840392139056,0.0008899335419113161
2026-06-14,135535,0.9999956289312385,66.9635,4.84368349921972,0.03320833743545287,0.036381025599437025,0.03794523837842195,0.04065819589595562,0.039455239007843874,0.03984713154568044,0.03766852036977319
2026-06-15,249476,0.999977484934514,69.3065,5.573070346937152,0.030199847687111623,0.03252313146645467,0.033475580771168835,0.033770840204226264,0.03247531618551753,0.031124180589825773,0.03609643645143063
2026-06-16,257004,0.9999965655398149,70.067,7.43930809082734,0.038350510177718754,0.04262448822143371,0.0416440733066071,0.04461353503675579,0.04677081123811475,0.04921958579897842,-0.02782044668738704
2026-06-17,296599,0.9999959091141203,71.2635,6.182688192412654,0.04221024251753634,0.04583589733263893,0.04762379852325272,0.05299921944060221,0.05392431847381437,0.06246619056168547,0.05014713955662278
2026-06-18,271014,0.9999966608582986,75.37899999999999,8.138208254288335,0.032966613247164815,0.036622028512230155,0.037497709639329635,0.039072805955344174,0.03896009073515381,0.03611555005322888,0.07694671761432186
2026-06-19,243485,0.9999192953300462,77.11250000000001,4.890257740314476,0.03959649077675727,0.04409848477054602,0.044933934741359885,0.04691036037796637,0.043924022170701585,0.043920770366611094,-0.00866356756732834
2026-06-20,143563,0.9999919786893866,79.761,4.343601509509662,0.0329226097863247,0.038401786661644316,0.038488567586108,0.03838202392258566,0.0376492300470138,0.03192314000437041,0.03177268439136942
2026-06-21,79803,0.9999941622430439,80.166,6.416685377840987,0.02668275914163978,0.031354586013265476,0.03286472758035798,0.03551777533286879,0.03585985091214829,0.03191446408460156,-0.03888035618501019
2026-06-22,229490,0.9999931330141321,80.027,8.971347170330018,0.03587379348555584,0.040140283801371655,0.042745294681186256,0.04775287589170882,0.04803191554485842,0.04628349761155785,0.04496452227960797
2026-06-23,354964,0.9999957387552894,71.132,16.698532306135053,0.06030242459421194,0.06984920801814988,0.07122475403513531,0.07572913512184784,0.07797282748804808,0.07510887955336253,-0.13242650930076053
