gate_q,improve,inv_limit,days,fills,mean_bp,pnl,pnl_med,pos_days,max_inv
0.0,false,0.0,10,1420.0,10.758067016484732,17564.526422939325,4574.7460780421015,8,132.8
0.0,false,5.0,10,1183.7,-0.24161347157073076,-222.26130111273952,-254.1135552881052,3,5.0
0.1,false,5.0,10,1083.6,0.05537874265823213,151.07916585343554,-87.20327092657251,4,5.0
0.2,false,5.0,10,1007.3,0.10377309472275342,99.62902199314449,-203.11991701631047,4,5.0
0.3,false,5.0,10,940.8,-0.09625433460669319,-106.24932805692931,-48.05819577190155,5,5.0
0.4,false,5.0,10,854.4,-0.4165562606074499,-439.56244194253276,-228.91711788687599,4,5.0
0.5,false,5.0,10,777.1,-0.17137959918985055,-274.2503474598084,-231.76453325892874,4,5.0
0.0,true,5.0,10,5336.4,0.2136975793362228,1298.7251941725192,762.4743529130606,7,5.0
0.1,true,5.0,10,4598.3,0.350308742327221,1552.0654304938096,1336.9802947524313,9,5.0
0.2,true,5.0,10,4162.7,0.4731210226390384,1716.4566379209914,1609.1258523650347,9,5.0
0.3,true,5.0,10,3777.3,0.558965694989493,1738.7638637916812,1877.9186194411957,9,5.0
0.4,true,5.0,10,3415.0,0.6710714224139439,1722.650720401472,1652.9845192747564,9,5.0
0.5,true,5.0,10,3098.5,0.8340229652363783,1729.7938932351221,1761.4085465970145,9,5.0
