dt,n,n_grid,range_all,range_ev
2026-07-23,493206,15,4.850115295926201,4.850115295926201
2026-07-24,448855,30,10.373421688904811,10.373421688904811
2026-07-25,112155,8,3.1733328370153893,3.1733328370153893
2026-07-26,124343,6,3.8174251235824306,3.8174251235824306
2026-07-27,486165,77,11.135631249942293,11.135528429761226
2026-07-28,589540,66,14.5094559598857,14.5094559598857
2026-07-29,710925,79,17.408968453984542,17.408968453984542
2026-07-30,582068,124,23.083999870120035,23.084499572469184
2026-07-31,567507,38,11.54817957204792,11.54817957204792
2026-08-01,94883,51,2.7755820817866192,2.7755820817866192
2026-08-02,176334,16,4.8033238845959625,4.8033238845959625
2026-08-03,478921,59,8.897143362518795,8.897143362518795
2026-08-04,494521,16,11.105785947205696,11.105785947205696
2026-08-05,489632,33,6.435575069410499,6.389455139143823
2026-08-06,459746,28,8.159205920494541,8.159205920494541
2026-08-07,405909,4,7.602847242104439,7.602847242104439
2026-08-08,66569,3,1.7498061768256195,1.749823349297324
2026-08-09,65979,2,49.51457261817292,0.8885623316189183
2026-08-10,345759,9,4.685773446288321,4.685726800326526
