dt,n,n_grid,range_all,range_ev
2026-05-04,4928,2,6.381958895461668,6.381958895461668
2026-05-05,14334,32,19.571543624161073,17.566900047248822
2026-05-06,18440,37,14.285860802855327,14.287326139580687
2026-05-07,27286,10,7.721462067193426,7.721462067193426
2026-05-08,29278,16,16.317498945137334,16.317498945137334
2026-05-09,22539,13,7.5357447716602595,7.245049482941053
2026-05-10,31628,12,2.5317467365242865,2.442944676316495
2026-05-11,86071,82,8.733142325309778,8.733142325309778
2026-05-12,96592,41,14.237762774282647,14.237626231143253
2026-05-13,74159,37,10.460047089986023,10.460047089986023
2026-05-14,83464,33,4.449774501541903,4.449774501541903
2026-05-15,155698,51,9.290573562184772,9.290573562184772
2026-05-16,126488,7,1.4804107267470834,1.4804107267470834
2026-05-17,50965,17,4.6050657659139915,4.6050657659139915
2026-05-18,97578,59,10.502577319587628,10.502577319587628
2026-05-19,126221,31,9.261698012263874,9.261698012263874
2026-05-20,108180,175,8.173897511213427,8.173816399233917
2026-05-21,90480,143,7.412890753925237,7.412890753925239
2026-05-22,60434,45,4.354667510847091,4.354667510847091
2026-05-23,51770,243,9.005146616505453,8.99568405774959
2026-05-24,53623,92,2.333062965359485,2.1781330028160673
2026-05-25,50842,3,0.30713476783691834,0.2038505096262689
2026-05-26,98883,98,11.96908924261917,11.968988597759909
2026-05-27,141033,90,7.411038934509944,7.411038934509944
2026-05-28,141592,110,18.2220424471062,10.325243519894334
2026-05-29,94054,17,5.313527431174497,3.8732422261833994
2026-05-30,39338,35,4.566075257123337,4.566075257123337
2026-05-31,54228,48,2.07159731055787,2.07159731055787
2026-06-01,153802,26,7.087026832774301,7.08700030321519
2026-06-02,163521,30,7.0474690067434524,7.0474690067434524
2026-06-03,149794,38,5.394476033392648,5.201325289002703
2026-06-04,179121,32,7.3092687683798285,7.309268768379827
2026-06-05,251349,47,16.789397397664256,16.789397397664256
2026-06-06,157131,187,6.687608121642549,6.68754723165592
2026-06-07,119049,168,5.812534567066702,5.811707693928438
2026-06-08,261871,81,9.424101366225818,9.424022182077884
2026-06-09,267794,147,14.561986097983281,14.561986097983281
2026-06-10,307354,92,9.971781214351271,9.971009023227092
2026-06-11,296451,90,17.36520981197859,17.365353964669954
2026-06-12,253954,61,5.98404868378591,5.98404868378591
2026-06-13,92871,47,3.152054299060389,3.152054299060389
2026-06-14,135535,13,4.84368349921972,4.84368349921972
2026-06-15,249476,20,5.573070346937152,5.573070346937152
2026-06-16,257004,25,7.43930809082734,7.43930809082734
2026-06-17,296599,8,6.182688192412654,6.182688192412654
2026-06-18,271014,16,8.138208254288335,8.113029202527235
2026-06-19,243485,18,4.890257740314476,4.890257740314476
2026-06-20,143563,13,4.343601509509662,4.343601509509662
2026-06-21,79803,41,6.416685377840987,6.416685377840987
2026-06-22,229490,26,8.971347170330018,8.971403222682492
2026-06-23,354964,101,16.698532306135053,16.698649684035885
2026-06-24,350261,73,19.779330738865397,19.779330738865397
2026-06-25,369875,42,8.693628765892528,8.69357257355602
2026-06-26,327798,47,7.89954494132137,7.89954494132137
2026-06-27,71230,46,11.171273080928982,1.4878016816228437
2026-06-28,114642,30,4.952044078634127,4.952044078634127
2026-06-29,339880,70,9.06032220748808,9.06032220748808
2026-06-30,279042,22,5.507803121248497,5.507803121248497
2026-07-01,320429,36,13.599718049253266,13.599817905472374
2026-07-02,426571,20,12.196562235664006,12.196562235664006
2026-07-03,213652,33,9.06646904392113,9.06646904392113
2026-07-04,70319,11,1.6302505470122235,1.6302505470122235
2026-07-05,97855,14,2.3031356494293522,2.3031356494293522
2026-07-06,349282,17,7.907412671219717,7.907412671219717
2026-07-07,440505,53,8.503597834697656,8.503597834697656
2026-07-08,477231,17,11.65492255534135,11.65492255534135
2026-07-09,397809,13,10.373486237094824,10.373486237094824
2026-07-10,389175,63,6.114508060033354,6.114508060033354
2026-07-11,112603,1,1.6742986847620551,1.6742986847620551
2026-07-12,130483,13,2.9793311381759113,2.9793311381759113
2026-07-13,472934,64,13.439206906464799,13.439206906464799
2026-07-14,508569,27,13.512737589610651,13.512737589610651
2026-07-15,468805,43,12.960488642870768,12.960542422394003
2026-07-16,498280,128,11.142558524561352,11.14245546532492
2026-07-17,525553,151,13.155246367748944,13.155117833274725
2026-07-18,104676,43,1.9014932792871932,1.9014932792871932
2026-07-19,139839,47,4.163511057255373,4.163471642384478
2026-07-20,440945,23,5.629293608124259,5.629293608124259
2026-07-21,406175,21,13.177370354670051,13.177370354670051
2026-07-22,476057,54,7.5136952726584685,7.513630656507451
