dt,n,beta,se_hac,beta_wins,spearman,sign_rate,beta_placebo
2026-05-05,14333,-0.004005561209135499,0.005327679854335978,-0.0003230536481498403,-0.09086135934327522,0.6039618488628027,-0.0022916638294996836
2026-05-06,18439,-0.01668050645215922,0.007135930228152052,-0.009921074729651074,-0.05770919659283442,0.5548182777861559,-0.002826747764980366
2026-05-07,27285,-0.002237911698606595,0.002942708486773931,-0.0010845874341587798,-0.22776517956182835,0.7118898206253124,-0.0020129766523373145
2026-05-08,29277,0.005655162048965677,0.006792364968827939,0.0038701292573386954,-0.13869098417916326,0.617230376515635,0.0007881333836604271
2026-05-09,22537,-0.018736117018683638,0.008798577681074182,-0.008320549280637765,-0.012871608498294737,0.516,-0.0019210161096788404
2026-05-10,31625,-0.0012813450864287272,0.0016431024373655856,0.0008716351400963941,0.07056840110555818,0.43373493975903615,-0.0005894341388394134
2026-05-11,86069,-0.01822572681578469,0.004681137819471918,-0.013670416637154943,-0.0388379331181363,0.5232224084271008,-0.0012627004768527876
2026-05-12,96590,-0.03955586755295891,0.006790347380400432,-0.018801174112362738,-0.04517065451783089,0.529745286595664,-0.0013576054341073562
2026-05-13,74155,-0.018581789366696713,0.004078287354580363,-0.014145358131077224,-0.05145744493801901,0.5258084049897057,-0.0012529315138666392
2026-05-14,83461,-0.048927076758175404,0.003629028374522738,-0.044043871493077924,-0.11079181727957278,0.5649303865251679,-0.0015425077074055222
2026-05-15,155696,-0.01569373901426192,0.0030220820098329423,-0.014150049558296154,-0.017750907933954924,0.50422946991238,0.0009066252685637778
2026-05-16,126487,0.000921999809664796,0.0008352257776753448,0.0026071848077238555,0.025597024343048405,0.5032101167315175,0.00027000822403223533
2026-05-17,50963,-0.008836913538324755,0.00787814498882283,-0.0007661218549952171,-0.020934063155474508,0.5073199297286746,0.0009643911760230141
2026-05-18,97577,-0.011660878041728572,0.0020357863196954875,-0.010023363858149581,-0.09783193608863835,0.5602821321904055,-0.0009178247001877256
2026-05-19,126219,-0.05365670850472748,0.006306342326763634,-0.04676650459433869,-0.21820663560556988,0.617827106813891,-0.0004006520547073814
2026-05-20,108179,-0.08937078681382361,0.005985297947706028,-0.07824615947311167,-0.20279324560852033,0.5978936202454918,0.001865799433987823
2026-05-21,90475,-0.07070702698180303,0.01016231912570883,-0.0508033242876036,-0.10210587379389151,0.56108239899727,0.0018266833039330588
2026-05-22,60433,-0.0183304926506456,0.005180799782504625,-0.017015030056261184,-0.04224531896971718,0.5344617044841394,-0.0061527572805218055
2026-05-23,51767,-0.07287899250870207,0.02151838979958158,-0.04741500051790558,-0.04624605070073613,0.52239234724656,0.010933784120695672
2026-05-24,53622,-0.03697030951851985,0.007160595868328631,-0.02676558624763965,-0.12515023514090037,0.5556174300431574,-0.0027126741356262897
2026-05-25,50839,0.02340684290400663,0.003940512966983323,0.0,0.006906474119064334,0.43655413271245636,-0.0007713473776558925
