dt,t0,twap_id,state_side,sz,state_minutes,state_randomize,state_reduceOnly,state_user,px0,bp_1s,bp_10s,bp_60s,bp_300s,bp_900s,bp_1800s,bp_dur
2026-05-04,1777911176114064766,1788531,A,580.0,35,true,false,0x6e28520e5e4c821f55086805bfe8354d1b6df5f5,43.55,-0.0,1.7221584385751498,-33.409873708381,111.2514351320315,228.58783008036787,229.0470723306548,228.01377726750727
2026-05-04,1777911272166312320,1788535,A,114.9,60,true,false,0x6e28520e5e4c821f55086805bfe8354d1b6df5f5,43.4925,-0.0,-0.0,-0.0,226.01597976662612,215.66936828188776,215.09455653273446,47.134563430476504
2026-05-04,1777913518191301685,1788645,A,36.6,5,true,false,0x6e28520e5e4c821f55086805bfe8354d1b6df5f5,42.5545,-0.0,-0.0,-0.0,-0.0,-14.45205559928997,-95.05457707175592,-0.0
2026-05-05,1777992644338518119,1791092,A,1000.0,90,false,false,0xc8116a8778191e351067c64bc9b80196ad3cf6e0,47.0995,-0.0,-0.0,-0.0,-2.229323028906105,119.85265236361342,150.95701652883764,11.57124810242105
2026-05-05,1777992675051162183,1791093,A,1000.0,90,false,false,0xc8116a8778191e351067c64bc9b80196ad3cf6e0,47.0995,-0.0,-0.0,-0.0,6.794127326192889,121.97581715304828,152.76170659985877,25.371819233749314
2026-05-05,1777992849333998892,1791099,B,101.9,30,false,false,0xd25891cfaf13c9ca8a102709261da2ffd0fb0a1f,47.113,0.0,0.0,-0.6367669220808114,-58.476429011099505,-119.07541442913838,-140.7254897798904,-140.7254897798904
2026-05-05,1777993193457743270,1791129,B,76.3,30,false,false,0x5c29e2143a07f0b20a5881e1a353f95140c73d83,46.832499999999996,0.0,-0.5338173277102953,1.6014519831331064,-61.38899268670173,-60.85517535899143,-77.72380291464098,-77.72380291464098
2026-05-05,1778003175974929551,1791526,B,107.6,30,false,false,0x06ff504c4bd35f6e14c44ebbee83d7a02bea6f3e,46.8585,0.10670422655234546,0.10670422655234546,0.2134084531091318,18.88664810013152,7.576000085365298,21.660957990545793,21.660957990545793
2026-05-05,1778003785324477823,1791566,B,426.1,690,false,false,0xd0268aed26b19532748d063c7d6c9a2787fabfef,46.894000000000005,0.0,0.0,0.0,0.0,18.33923316415742,3.5185738047505133,NaN
2026-05-05,1778007967492598084,1791726,A,1000.0,40,false,false,0xc8116a8778191e351067c64bc9b80196ad3cf6e0,46.931,-0.0,0.6392363256690903,0.6392363256690903,25.036756088724353,86.72306151584208,99.50778802923388,91.94349150881132
2026-05-05,1778008069544551688,1791731,A,200.0,15,true,false,0x707c275a866f87a86435d8e9ab3f7c6f98fe0880,46.917,-0.0,4.689131871178365,5.861414838971291,20.674808704733707,87.06865315344147,87.92122258456492,87.06865315344147
2026-05-05,1778021733934061990,1792420,B,401.6,690,false,false,0xd0268aed26b19532748d063c7d6c9a2787fabfef,49.9855,0.0,0.0,16.20469936281621,-7.502175630933472,-45.41316981924837,-218.86347040641851,NaN
2026-05-05,1778024287807943434,1792540,B,2054.2,60,false,false,0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,48.5535,0.0,6.899605589711921,6.178751274368288,23.273296466783666,61.16963761623629,NaN,NaN
2026-05-06,1778027694060716440,1792652,B,2035.5,180,false,false,0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,49.1295,0.0,7.2258011988712845,64.42157970262264,98.00628950019873,145.6355143040322,147.26386386997748,147.8744949572053
2026-05-06,1778037042779748234,1792995,A,2372.8,60,false,true,0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,50.111999999999995,-0.0,2.793742017879186,2.793742017879186,121.92688378033,96.18454661558084,0.29932950191380314,117.3371647509569
2026-05-06,1778037425694017218,1793012,A,2137.5,240,false,true,0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,49.552,-0.0,-0.8072328059416378,-3.834355828220559,11.402163383920083,-51.05747497578194,-62.25783015821884,19.979011947044434
2026-05-06,1778038167066248834,1793074,B,19.2,5,true,true,0x6e28520e5e4c821f55086805bfe8354d1b6df5f5,49.7,0.0,2.012072434607326,0.20120724345984442,27.364185110663186,60.26156941649763,-28.87323943661979,27.364185110663186
2026-05-06,1778048331632254186,1793543,B,602.4,30,false,false,0xc3baee00470d78c489b623f405e57d5d99bc0f33,50.1345,0.0,0.0,-16.75492924034461,-17.253587848686802,-45.9763236892774,-102.6239415971053,-102.6239415971053
2026-05-06,1778065546636787190,1794396,B,100.0,5,false,false,0xcb6befe9e20cb368fc7991a0d8e3d6b4369c39d7,49.8585,0.0,8.02270425303675,52.14757764473443,76.41625801016794,73.20717630895368,196.15511898673165,76.41625801016794
