dt,lat_ms,thr_bp,hold_ms,pnl_usd,n_place,n_fill,n_pull,volume,gross_bp,ops_per_s,eq_min,end_inv
2026-07-10,0,inf,0,16.122009615889,216971,6490,0,2293.847486033425,1.0347307009623765,5.022476851851851,-1.232131547709585,2.0351955307262584
2026-07-10,0,1.0,500,14.866181931384503,164398,4359,25838,1524.1480446927699,1.0149071600352737,3.805509259259259,0.0,2.0478584729981426
2026-07-10,0,2.0,500,14.934463828935264,195251,5698,8526,2002.324208566151,1.012714133402137,4.519699074074074,-0.795327391880889,2.1659217877095
2026-07-10,0,4.0,500,14.615512447497721,207732,6196,3111,2186.129795158255,1.0198567566178443,4.808611111111111,-1.272417545772882,1.9454376163873395
2026-07-10,0,2.0,250,16.56488909747023,204503,6071,9163,2139.5646182495275,1.0254757130310017,4.7338657407407405,-0.7921789932216399,1.8934823091247703
2026-07-10,0,2.0,1000,16.018620195044704,184434,5401,7693,1894.7135940410092,1.002109585717167,4.2693055555555555,-0.03180623433893004,2.148603351955309
2026-07-10,100,inf,0,12.077310928145423,215214,5825,0,2054.856238361304,0.7497410540144616,4.981805555555556,-0.23915185668536765,1.9627560521415306
2026-07-10,100,1.0,500,11.664605948497652,165958,3553,26376,1245.2687150838235,0.8176049126779384,3.84162037037037,0.0,1.3234636871508396
2026-07-10,100,2.0,500,13.56698971229602,196092,5074,8651,1782.7690875233143,0.7658653681460532,4.539166666666667,0.0,1.8588454376163928
2026-07-10,100,4.0,500,13.003875549817224,206500,5547,3097,1953.7148975791831,0.7555127539644265,4.780092592592593,-0.06319358212294901,2.000558659217879
2026-07-10,100,2.0,250,13.042413793064298,203326,5256,9218,1849.9908752328129,0.7799989935344898,4.70662037037037,0.0,1.7312849162011228
2026-07-10,100,2.0,1000,13.183852439292508,186595,4866,7807,1707.58826815646,0.7667119989264355,4.319328703703704,0.0,1.696648044692739
2026-07-11,0,inf,0,1.8371364723503234,47169,2214,0,779.7262569832529,0.9923886500411547,1.091875,-0.23373473791097865,1.8283054003724404
2026-07-11,0,1.0,500,2.1837301448809683,44026,1968,3720,691.83445065178,1.0092463967500112,1.0191203703703704,-0.20229073502270012,1.9834264432029822
2026-07-11,0,2.0,500,1.844413875555773,45878,2133,675,750.7932960893974,0.998635791354736,1.0619907407407407,-0.4038649516287762,1.800744878957174
2026-07-11,0,4.0,500,1.9172977065153844,46970,2189,221,770.2703910614649,0.995613420753608,1.0872685185185185,-0.3882143957527262,1.6558659217877119
2026-07-11,0,2.0,250,2.4303387752164554,47033,2196,694,772.2774674115582,0.9987432029981939,1.0887268518518518,-0.2961023430674743,1.573184357541902
2026-07-11,0,2.0,1000,2.0500938237765354,45373,2095,666,738.2201117318552,0.9989907678536804,1.050300925925926,-0.32900432473866204,1.8007448789571723
2026-07-11,100,inf,0,-0.31060984120121304,47483,1988,0,692.0651769087635,0.6840780354877991,1.0991435185185185,-0.9237381778328455,1.6141527001862241
2026-07-11,100,1.0,500,0.5626452513567415,44116,1664,3828,581.061638733714,0.7371419798016432,1.0212037037037036,-0.3961265738732296,1.3141527001862232
