dt,series,step,rho1,rho2,rho3,zero_share
2026-05-04,mid,1ms,0.005368179485665081,-1.8840864525305193e-8,-1.8840864525305193e-8,0.9999021983649417
2026-05-04,mid,10ms,-6.614634250245386e-7,-1.8640716313271462e-7,3.2500640441952764e-7,0.999023353866539
2026-05-04,mid,100ms,-0.016245246304013475,-0.0048082414918105675,-0.006836796139070459,0.9904596169459127
2026-05-04,mid,1s,-0.006118346533483418,-0.008172710759383079,-0.03466249304386365,0.9296701037991162
2026-05-04,mid,10s,-0.1662188997555853,0.03669904585396455,0.016431543615277752,0.6365193559438164
2026-05-04,mid,60s,0.11468023788550995,0.020052615176135956,0.06543380901575765,0.220164609053498
2026-05-04,micro,1ms,-0.003934194899803945,-2.8263303142268065e-9,-2.8263303142268065e-9,0.9998312193849623
2026-05-04,micro,10ms,-0.000019336806052590243,-2.8486354977854706e-8,-0.0007920944463095232,0.9983156194183698
2026-05-04,micro,100ms,-0.0973708377647088,-0.02829725082449586,-0.015037313338542593,0.9835706724856723
2026-05-04,micro,1s,-0.21102445266172476,-0.027772739340981505,-0.036867076850861755,0.8821897160083587
2026-05-04,micro,10s,-0.2278561623229195,-0.0772105150054167,0.04653517720139249,0.4878383007879411
2026-05-04,micro,60s,-0.28874595447794826,-0.014578417449643423,0.005627136800706876,0.17901234567901236
2026-05-04,trade,1ms,-3.762719003107319e-9,-3.762719003107319e-9,-3.762719003107319e-9,0.9999962328104974
2026-05-04,trade,10ms,-3.7627200492720344e-8,-3.7627200492720344e-8,-3.7627200492720344e-8,0.9999623280957759
2026-05-04,trade,100ms,-3.762731823448151e-7,-4.5332320755243385e-7,-3.762731823448151e-7,0.9996232799065176
2026-05-04,trade,1s,0.0016270528409622256,-4.239504909325696e-6,0.0001999811602407235,0.9962676154597461
2026-05-04,trade,10s,-0.07595903412137733,-0.07299704085456422,0.023239433537105503,0.9658060013956734
2026-05-04,trade,60s,-0.11533289707774047,-0.04384687929592324,-0.13666888192001383,0.8511530398322851
2026-05-05,mid,1ms,0.02353935152242314,-6.1044873691148174e-9,-6.1044873691148174e-9,0.9998656016014104
2026-05-05,mid,10ms,0.0009993412708797257,-5.841671581531743e-8,-5.841671581531743e-8,0.9986709464590382
2026-05-05,mid,100ms,-0.02576410359924665,-0.016172012381168433,-0.04565468323207104,0.9867800619908842
2026-05-05,mid,1s,-0.2438106650905209,-0.011996297076386284,-0.05757874825451103,0.9123137999282399
2026-05-05,mid,10s,-0.17987398781256686,0.002607439589566377,0.01395371872827772,0.6758884130107652
2026-05-05,mid,60s,-0.05750918737683831,-0.014954201933344182,0.01553474658299081,0.3794301598332175
2026-05-05,micro,1ms,-0.011445379544014238,-1.0333563833561994e-9,-1.0333563833561994e-9,0.9998341084871698
2026-05-05,micro,10ms,0.0000999063463457516,-1.0578165832720792e-8,-1.0578165832720792e-8,0.9983601819586914
2026-05-05,micro,100ms,-0.014716762200817475,-0.028710613970290004,-0.08810719597624306,0.9837221845420938
2026-05-05,micro,1s,-0.23358202101117898,-0.045822627788227786,-0.01886875131313437,0.8913529091771896
2026-05-05,micro,10s,-0.20599224236489994,-0.0893273657753454,-0.009600312554067207,0.6180113439055446
2026-05-05,micro,60s,-0.15782679645880254,-0.11308131572643591,0.031610192953488034,0.3224461431549688
