dt,n_tr,vol,notional
2026-05-04,323,11755.999999999998,503303.0013
2026-05-05,2958,74239.90000000001,3460548.5731
2026-05-06,7136,120523.80000000002,5848751.4261
2026-05-07,1710,46690.4,2226920.0028
2026-05-08,8748,141964.9,7271776.270099999
2026-05-09,6725,79809.0,4461589.517
2026-05-10,2936,46090.9,2574881.2034000005
2026-05-11,36499,355692.3,19353064.9105
2026-05-12,22024,256570.0,13235987.7325
2026-05-13,11943,182541.8,9843223.123399999
2026-05-14,22728,229164.6,12390293.898199998
2026-05-15,31852,525307.2,26824310.944100004
2026-05-16,4480,57194.59999999999,2866396.2977000005
2026-05-17,5580,39996.99999999999,2056255.9858
2026-05-18,24808,223998.80000000002,11237396.3121
2026-05-19,28147,244911.6,11915444.1003
2026-05-20,18656,154996.2,7801157.3249
2026-05-21,29341,499033.39999999997,26628392.1102
2026-05-22,13095,228790.9,12306631.815
2026-05-23,10350,85249.40000000001,4524957.514099999
2026-05-24,4444,36429.9,1997024.083
2026-05-25,739,31085.0,1715485.6014
2026-05-26,37082,384497.1,22588650.7125
2026-05-27,42599,554495.3,34079951.0734
2026-05-28,35696,565764.0,34855363.05229999
2026-05-29,14864,187539.69999999998,11816540.2602
2026-05-30,5839,30413.1,1950615.0301
2026-05-31,12685,80926.5,5347846.5105
2026-06-01,25888,374403.3,25131730.6542
2026-06-02,23659,292679.0,19948096.266500004
2026-06-03,18457,274284.29999999993,18850336.224
2026-06-04,27157,322661.1,21075131.7831
2026-06-05,49321,595586.7000000001,34963217.440699995
2026-06-06,30300,159351.7,8674820.714399999
2026-06-07,24341,190594.8,10895542.9303
2026-06-08,39903,514011.30000000005,30419314.996000003
2026-06-09,35573,601870.6000000001,36121768.7856
2026-06-10,34092,485589.8,28429768.603399996
2026-06-11,30207,441629.10000000003,27175459.505700003
2026-06-12,26456,438908.7,28409824.4666
2026-06-13,14088,79979.7,5188564.548599999
2026-06-14,27331,180192.9,12110558.7591
2026-06-15,28471,440866.50000000006,30603443.530700002
2026-06-16,34594,661747.3,46412899.1194
2026-06-17,37944,673998.2,48032993.2082
2026-06-18,50113,849495.4,64310294.3175
2026-06-19,38473,358492.29999999993,27510107.6498
2026-06-20,31051,234846.9,18661451.301599998
2026-06-21,24573,272726.8,21631355.7335
2026-06-22,52057,1073815.0999999999,85386644.12550001
2026-06-23,84260,2153419.7,156317641.6255
2026-06-24,100657,2421948.4,178482175.2936
2026-06-25,99050,2473478.9,190937243.0323
2026-06-26,57529,1919789.8,140449148.1414
2026-06-27,16823,222118.6,16099161.855000002
2026-06-28,27395,447872.6,33045750.887899995
2026-06-29,64374,2327135.5,162434775.3395
2026-06-30,39441,1102217.8,80205529.79290001
2026-07-01,63731,2146992.1999999997,145573494.40409997
2026-07-02,83629,3262573.4,203867119.1501
2026-07-03,44870,1038569.3999999999,65865836.4086
2026-07-04,21767,210493.5,13662404.976699999
2026-07-05,33400,458322.5,30092464.283199996
2026-07-06,69297,2002346.5000000002,130310801.9031
2026-07-07,94289,2676335.9,162154370.26509997
2026-07-08,90395,3589191.9000000004,214996054.65489998
2026-07-09,90855,3049525.9,195308360.82790002
2026-07-10,99616,3636178.5,228450392.0141
2026-07-11,23892,337718.39999999997,21331752.3351
2026-07-12,35232,661710.4,41565424.38239999
2026-07-13,108262,4235336.399999999,244435816.25290003
2026-07-14,150937,5983333.199999999,352257673.7182
2026-07-15,131800,4530809.0,268066481.15760002
2026-07-16,151039,5359727.3,287213635.5134
2026-07-17,197304,7604928.3,391265970.74039996
2026-07-18,22889,345230.7,18020242.3681
2026-07-19,37730,865390.8,45695696.37030001
2026-07-20,115371,3043403.4000000004,163504732.48190004
2026-07-21,111072,3287046.8000000003,186749741.63410002
2026-07-22,125634,3686085.3,214107722.3428
2026-07-23,127474,4022433.5,235117932.5532
2026-07-24,94678,3635719.9999999995,200013899.18700004
2026-07-25,22523,393595.7,21183425.9004
2026-07-26,28691,567891.8,31360371.1429
2026-07-27,148950,4643937.7,245695851.8402
2026-07-28,202938,8012350.399999999,384727720.559
2026-07-29,287715,12779798.000000002,588698375.2241001
2026-07-30,243199,7485876.999999999,360095462.1299
2026-07-31,252939,9313395.299999999,489137316.0076
2026-08-01,27165,497701.6,24827891.066700004
2026-08-02,57992,1221494.0,62984399.9092
2026-08-03,172780,5878160.0,294957604.1008001
2026-08-04,162644,4811973.8,255673282.0837
2026-08-05,159971,3721223.8000000003,200670793.26310003
2026-08-06,149911,4428451.100000001,226373866.82810003
2026-08-07,146372,5114721.200000001,259660813.35709998
2026-08-08,16049,249119.2,12649285.7951
2026-08-09,20225,249103.19999999995,12714423.6012
2026-08-10,98300,3301621.7,165254115.41490003
