dt,policy,n_quote,n_fill,n_pull,pnl_bp,per_fill,gross_bp,adv_bp,buy_frac,end_inv
2026-07-10,A+B 基準,263112,3760,0,5175.561794284182,1.376479200607495,1.0135238432691396,-0.09096754839806481,0.5002659574468085,2.0
2026-07-10,A+B+C 前方フロー,264489,3729,68,5004.072248627062,1.3419340972451226,1.022661958973321,-0.09749593971342146,0.500402252614642,3.0
2026-07-10,A+B+D ゲート0,139118,1730,0,3322.876110983784,1.9207376364068116,1.0214048301437733,0.1068733485732728,0.500578034682081,2.0
2026-07-10,A+B+D ゲート-0.1,182592,2363,0,5219.107372065932,2.208678532402003,1.0121447578954368,0.04617253891923874,0.5010579771476936,5.0
2026-07-10,A+B+D ゲート-0.3,237212,3246,0,4916.298347725916,1.5145712716346014,1.003355353693407,-0.03330324713215516,0.5003080714725816,2.0
2026-07-10,A+B+D ゲート-1.0,258447,3652,0,4438.98158016852,1.2154933132991566,1.0041660669432264,-0.05833072299698296,0.5002738225629791,2.0
2026-07-10,A+B+C+D ゲート-0.3,238757,3219,60,4782.926289414311,1.4858422769227435,1.0145504169762376,-0.034743027222007145,0.5004659832246039,3.0
2026-07-11,A+B 基準,66233,1398,0,910.5676043143293,0.6513359115267019,1.0225499063204642,-0.1608294346419378,0.5014306151645207,4.0
2026-07-11,A+B+C 前方フロー,66266,1390,8,883.4375977602822,0.6355666170937282,1.027311728364515,-0.16095923294414513,0.5014388489208633,4.0
2026-07-11,A+B+D ゲート0,33994,755,0,635.929487537889,0.8422907119707139,0.9857856079875215,-0.07873682175359231,0.5033112582781457,5.0
2026-07-11,A+B+D ゲート-0.1,48097,1027,0,799.9556540125791,0.7789246874513915,1.0075116544670302,-0.09541927355199774,0.5024342745861733,5.0
2026-07-11,A+B+D ゲート-0.3,62005,1301,0,818.3301145709606,0.6290008567032749,1.0322242568678677,-0.14064960134715196,0.5019215987701768,5.0
2026-07-11,A+B+D ゲート-1.0,65497,1389,0,833.9763772152671,0.6004149583983205,1.0261021142978868,-0.15090434939705502,0.5017998560115191,5.0
2026-07-11,A+B+C+D ゲート-0.3,61958,1295,6,805.0842545441978,0.6216866830457126,1.0344983976449782,-0.14142201200670543,0.5019305019305019,5.0
2026-07-12,A+B 基準,74306,1860,0,-372.5055141404876,-0.20027178179596108,1.0371291794291408,-0.21052641463498775,0.5005376344086021,2.0
2026-07-12,A+B+C 前方フロー,74481,1847,11,-7.032901565308015,-0.0038077431322728833,1.0410483863289153,-0.2164050592016502,0.5002707092582567,1.0
2026-07-12,A+B+D ゲート0,37083,903,0,-904.1574238070544,-1.0012817539391523,1.027552860787261,-0.23047945936524025,0.49723145071982283,-5.0
2026-07-12,A+B+D ゲート-0.1,50339,1234,0,-340.59108666720897,-0.27600574284214663,1.0579095088853927,-0.2068494699695881,0.5,0.0
2026-07-12,A+B+D ゲート-0.3,66964,1684,0,-392.68939673045753,-0.2331884778684427,1.0491968932053433,-0.1858563245957407,0.5005938242280285,2.0
2026-07-12,A+B+D ゲート-1.0,73676,1855,0,-243.37216137361102,-0.1311979306596286,1.0432566651668007,-0.2122444299383531,0.5008086253369273,3.0
2026-07-12,A+B+C+D ゲート-0.3,67123,1670,10,-38.91607480990889,-0.023303038808328676,1.0549434152253914,-0.18928302759462984,0.5005988023952096,2.0
2026-07-13,A+B 基準,351323,4809,0,4560.27980377895,0.9482802669534103,1.1077002286964075,-0.22055499881151705,0.4994801414015388,-5.0
2026-07-13,A+B+C 前方フロー,351100,4781,29,4525.3092605974225,0.9465194019237445,1.112264868245313,-0.22256150956585094,0.4994770968416649,-5.0
2026-07-13,A+B+D ゲート0,180958,2068,0,-557.0657284210247,-0.26937414333705256,1.109940027242785,-0.0072917023833133175,0.4990328820116054,-4.0
2026-07-13,A+B+D ゲート-0.1,234507,2827,0,348.35399603245435,0.12322391087104859,1.1119156560460188,-0.07469218032003704,0.499115670321896,-5.0
2026-07-13,A+B+D ゲート-0.3,310805,3973,0,1977.6514543394505,0.49777283018863594,1.098737781316633,-0.11157114712356274,0.4993707525799144,-5.0
2026-07-13,A+B+D ゲート-1.0,342609,4639,0,3803.3917937903466,0.8198732040936294,1.0929801702236095,-0.17213175185319052,0.4994610907523173,-5.0
2026-07-13,A+B+C+D ゲート-0.3,311184,3947,26,1916.0704198830128,0.4854498150197651,1.1022029931067652,-0.11391595394329988,0.499366607550038,-5.0
2026-07-14,A+B 基準,404063,8060,0,497.34332837920726,0.061705127590472364,0.9453544748527586,-0.17774428353258281,0.4998759305210918,-2.0
2026-07-14,A+B+C 前方フロー,404208,7988,76,362.2673490363293,0.045351445798238514,0.9527279673335715,-0.18059124605835503,0.49987481221832747,-2.0
2026-07-14,A+B+D ゲート0,197099,3466,0,-453.80738931329637,-0.13093115675513456,0.9694796956103764,0.030105119551901097,0.49942296595499136,-4.0
2026-07-14,A+B+D ゲート-0.1,263391,4842,0,-309.31999586048613,-0.06388269224710577,0.926157400536903,-0.03833913354031026,0.4995869475423379,-4.0
2026-07-14,A+B+D ゲート-0.3,353610,6792,0,554.5387826858262,0.08164587495374355,0.9108049493921991,-0.11327021633151749,0.4997055359246172,-4.0
2026-07-14,A+B+D ゲート-1.0,397237,7862,0,236.13864756752187,0.03003544232606485,0.930416030773062,-0.143487848026332,0.49987280590180616,-2.0
2026-07-14,A+B+C+D ゲート-0.3,353065,6720,67,194.2043738831712,0.02889946039928143,0.9182137876963599,-0.1122178018041466,0.49970238095238095,-4.0
