dt,lev,pnl_drop,eqmin_drop,n_row_drop,pnl_with,eqmin_with
2026-07-10,1,13.228199860227,-1.1084496140037885,389112,13.215211712145056,-1.1785233838361933
2026-07-10,3,38.378892293291614,-3.4603110870169758,389112,38.349983626476245,-3.8286657802014474
2026-07-10,5,57.89328547011473,-5.628565314818104,389112,57.84510435875666,-6.206220809045249
2026-07-10,10,111.77282450590803,-10.856050688480082,389112,111.88502655581362,-12.378786393178189
2026-07-11,1,2.201168510013545,-0.1575410905027752,112602,2.2011685100136305,-0.1575410905027752
2026-07-11,3,6.365159714120011,-0.47262327150838246,112602,6.365159714120125,-0.47262327150838246
2026-07-11,5,9.700874569538712,-0.787705452513876,112602,9.70087456953894,-0.787705452513876
2026-07-11,10,14.377862635068709,-1.6058707651665145,112602,14.377862635069391,-1.6058707651665145
2026-07-12,1,-0.9088540499556323,-1.4319868451884474,130470,-0.9088540499555506,-1.4319868451883622
2026-07-12,3,-2.3424359987891847,-3.8327764250525433,130470,-2.3424359987892984,-3.832776425052657
2026-07-12,5,-8.988294972366987,-11.09867768124343,130470,-8.988294972367783,-11.098677681244169
2026-07-12,10,-20.125823386784646,-23.02761243425266,130470,-20.125823386786806,-23.027612434254706
2026-07-13,1,9.462452918007799,-0.659374791778319,472870,9.462452918007827,-0.659374791778319
2026-07-13,3,28.159937861988453,-2.0765005083065944,472870,28.159937861988624,-2.0765005083065944
2026-07-13,5,27.220811242662535,-6.396339882987036,472870,27.22081124266299,-6.396339882986922
2026-07-13,10,26.874473831055866,-13.19996607523558,472870,26.874473831058594,-13.199966075234443
2026-07-14,1,1.3360629943554514,-3.768218727177981,508542,1.3360629943555082,-3.7682187271780094
2026-07-14,3,6.241068921740805,-10.12349764480831,508542,6.241068921740464,-10.123497644808651
2026-07-14,5,2.5719485023870163,-18.881248280075965,508542,2.5719485023875848,-18.881248280075965
2026-07-14,10,-5.940479082632351,-37.82411394581777,508542,-5.940479082633715,-37.82411394581709
2026-07-15,1,8.372943590018863,-0.9496756993279121,468762,8.550226341899744,-0.9496756993279121
2026-07-15,3,26.41785605445739,-3.2791609447478436,468762,26.446707781357816,-3.2791609447478436
2026-07-15,5,43.941032532356246,-5.369896051628757,468762,44.80696194017588,-5.369896051628643
2026-07-15,10,105.57114437849259,-11.532126439351714,468762,108.58109223692963,-11.532126439351941
2026-07-16,1,7.213917010129128,-0.60244304657013,498152,7.008477373828971,-0.60244304657013
2026-07-16,3,19.648296895305208,-1.430351822604763,498152,20.367372819693742,-1.430351822604763
2026-07-16,5,28.136425506984324,-2.465544534788819,498152,29.966576452373204,-2.465544534788819
2026-07-16,10,48.1922486311812,-10.449660687806954,498152,48.1301125369298,-9.5965984665811
2026-07-17,1,11.912822658609812,-2.9821817967345794,525402,11.963059159798696,-2.9821817967345794
2026-07-17,3,35.78815099273257,-7.30022725977085,525402,35.221031560633236,-7.184027165022371
2026-07-17,5,52.6225227460736,-15.021751839207468,525402,50.62642897119551,-15.021751839207468
2026-07-17,10,81.49893515335202,-28.11716308688142,525402,81.86755235462851,-28.11716308688301
2026-07-18,1,-0.9685065853176411,-1.3104483320382343,104633,-1.014625043120219,-1.31044833203822
2026-07-18,3,-3.2923023241050373,-4.658779931287597,104633,-3.4928824859450174,-4.658779931287825
2026-07-18,5,-5.340120017843503,-8.01595191859667,104633,-5.7570936476385555,-8.015951918596215
2026-07-18,10,-10.458210242173323,-16.190104325370612,104633,-11.099518148062316,-16.190104325370157
2026-07-19,1,0.17381744357642503,-2.3399802551341224,139792,0.005269271873956427,-2.5106826167806844
2026-07-19,3,1.6082385992326067,-6.200961878448425,139792,1.1071610226455846,-6.650415677983119
2026-07-19,5,2.976062983089946,-10.602037011916082,139792,2.7982930966972503,-10.779806898308834
2026-07-19,10,-6.946762786009913,-23.965472768853488,139792,-7.556267731678304,-24.392991103721215
2026-07-20,1,5.579881536820729,-1.0791715736693277,440922,5.579881536820871,-1.0791715736693561
2026-07-20,3,18.765512067056648,-2.452345722064919,440922,18.76551206705622,-2.452345722064919
2026-07-20,5,37.71456123796162,-4.068843684444232,440922,37.714561237962755,-4.068843684444232
2026-07-20,10,76.45132482825,-13.61632605960881,440922,76.45132482825443,-13.6163260596079
