dt,cancels,vol_bid,vol_ask,1ms_windows,1ms_cancels_per_window,10ms_windows,10ms_cancels_per_window,100ms_windows,100ms_cancels_per_window,1s_windows,1s_cancels_per_window,10s_windows,10s_cancels_per_window,60s_windows,60s_cancels_per_window
2026-05-04,9886,1700806.9000000001,686394.1,7232,1.3669800884955752,7232,1.3669800884955752,7020,1.4082621082621083,4731,2.0896216444726274,1663,5.944678292242934,409,24.17114914425428
2026-05-05,50956,11621530.4,2565352.8,39874,1.2779254652154286,39874,1.2779254652154286,39147,1.3016578537308094,20742,2.4566579886221196,4777,10.666945781871467,1145,44.50305676855895
2026-05-06,78968,9808777.8,6185245.200000001,44400,1.7785585585585586,44400,1.7785585585585586,43030,1.835184754822217,25659,3.077594606181067,7116,11.097245643620012,1407,56.12508884150675
2026-05-07,87317,16469446.000000002,7364352.0,58137,1.5019178836197258,58136,1.5019437181780653,56538,1.5443949202306413,29026,3.008233997106043,6522,13.388071143820914,1408,62.01491477272727
2026-05-08,96529,9587963.6,10742303.8,63031,1.5314527772048674,63030,1.5314770744090116,60647,1.5916533381700662,31739,3.0413371561800937,6948,13.893062751871042,1414,68.26661951909476
2026-05-09,62756,3072772.6999999997,2512841.3000000003,46419,1.3519464012581055,46419,1.3519464012581055,44403,1.4133279282931333,27088,2.3167454223272297,6815,9.208510638297872,1405,44.666192170818505
2026-05-10,52236,1278099.9,966819.6000000001,45331,1.152324016677329,45331,1.152324016677329,44404,1.1763805062606973,29448,1.773838630806846,7361,7.096318434995245,1413,36.968152866242036
2026-05-11,238687,14491306.600000001,12799219.3,142017,1.6806931564531007,142008,1.6807996732578445,134549,1.7739782532757582,60456,3.9481110228926823,8533,27.972225477557718,1440,165.7548611111111
2026-05-12,345881,22075704.7,17807571.3,197905,1.7477122861979233,197896,1.7477917694142378,184516,1.8745312059658783,69249,4.994743606405868,8630,40.07891077636153,1440,240.1951388888889
2026-05-13,309229,19968396.2,16716202.2,167124,1.8502967856202581,167105,1.8505071661530175,156083,1.9811830884849728,63272,4.887296118346188,8637,35.80282505499595,1440,214.7423611111111
2026-05-14,319515,26400674.1,33936634.4,183542,1.740827712458184,183536,1.740884622090489,171784,1.8599811391049224,64977,4.917355371900826,8634,37.00660180681029,1440,221.88541666666666
2026-05-15,430585,15948864.5,30879664.099999998,243889,1.7654957788174128,243849,1.765785383577542,226372,1.902112452070044,68532,6.282977295278118,8619,49.95765169973315,1440,299.0173611111111
2026-05-16,247511,1411478.2999999998,1595551.9,162256,1.5254351148801892,162251,1.5254821233767435,155285,1.5939144154296938,56238,4.40113446424126,8581,28.844074117235753,1440,171.8826388888889
2026-05-17,152194,2957036.9000000004,2509780.5,88261,1.7243629689217208,88259,1.724402043984183,84121,1.8092271846506818,45324,3.3579119230429795,8578,17.742364187456282,1440,105.69027777777778
2026-05-18,369484,15680812.3,13982127.5,195304,1.8918404128947692,195294,1.8919372842995688,181265,2.038363721623038,66590,5.548640937077639,8276,44.645239246012565,1380,267.74202898550726
2026-05-19,517852,24451831.0,21324362.6,247866,2.089241767729338,247844,2.0894272203482838,226906,2.2822314086009183,72768,7.1164797713280565,8639,59.9435119805533,1440,359.61944444444447
2026-05-20,489774,24116756.2,19533455.4,227277,2.1549650866563708,227255,2.155173703548877,207407,2.3614149956365984,68320,7.16882318501171,8279,59.15859403309578,1380,354.9086956521739
2026-05-21,496583,22548205.400000002,20406156.9,205525,2.4161683493492276,205500,2.416462287104623,188189,2.638746154132282,65899,7.53551647217712,8638,57.48819171104422,1440,344.84930555555553
2026-05-22,435935,21609400.2,20125249.8,178921,2.4364663734273786,178906,2.4366706538629224,164394,2.651769529301556,63340,6.882459741079886,8636,50.478809634089856,1440,302.7326388888889
2026-05-23,248929,7055663.6,7328921.4,116824,2.130803601999589,116820,2.1308765622324946,107882,2.3074192172929684,46750,5.324684491978609,8613,28.901544177406247,1439,172.98749131341208
2026-05-24,199778,5772568.199999999,5300258.5,108044,1.8490429824886156,108035,1.8491970194844263,100930,1.9793718418706034,43112,4.633930228242717,8334,23.97144228461723,1440,138.73472222222222
2026-05-25,199546,7789431.300000001,4684244.3,96836,2.0606592589532817,96833,2.060723100595871,92572,2.1555762001469128,47173,4.2300892459669726,8571,23.281530743203827,1440,138.57361111111112
2026-05-26,594423,27643325.6,29565390.4,208582,2.8498288442914537,208569,2.8500064726781065,188846,3.147659998093685,61892,9.604197634589285,8601,69.11091733519358,1440,412.79375
2026-05-27,821819,29719563.0,32023946.000000004,281584,2.9185571623387694,281558,2.9188266715916438,251312,3.270114439421914,70307,11.6890067845307,8277,99.28947686359793,1380,595.5210144927536
2026-05-28,967279,38008686.7,39395329.800000004,289335,3.343110926780376,289305,3.34345759665405,257706,3.753420564519258,72344,13.370549043459029,8638,111.97950914563556,1440,671.7215277777777
2026-05-29,738437,36019612.1,34112325.5,222057,3.325438963869637,222041,3.3256785908908717,200111,3.6901369739794414,64379,11.470153310862237,8620,85.66554524361949,1440,512.8034722222222
2026-05-30,266374,5158674.2,5206555.6,103541,2.572642721240861,103538,2.5727172632270277,97442,2.7336672071591304,48913,5.445873285220698,8580,31.045920745920746,1440,184.98194444444445
2026-05-31,347911,7326876.4,6703027.0,124934,2.7847583524100723,124927,2.7849143900037623,115374,3.0155060932272435,49588,7.016032104541421,8594,40.48301140330463,1440,241.60486111111112
2026-06-01,781727,34725724.3,32855853.299999997,281807,2.773980064370296,281791,2.774137570043046,253399,3.0849648183299854,73022,10.705362767385171,8635,90.5300521134916,1440,542.8659722222222
2026-06-02,801110,38153984.300000004,38175239.199999996,296167,2.7049266123504645,296156,2.705027080322533,266007,3.011612476363404,75013,10.67961553330756,8636,92.76401111625752,1440,556.3263888888889
2026-06-03,1184240,74697147.8,78203603.6,318943,3.7130145511893975,318934,3.713119328763945,279610,4.235327777976467,71319,16.604831811999606,8628,137.25544738062123,1440,822.3888888888889
2026-06-04,1436054,83179218.69999999,77670991.5,389699,3.6850338338050648,389678,3.6852324226669197,342312,4.195161139545211,79371,18.092930667372215,8637,166.26768553896028,1440,997.2597222222222
2026-06-05,1944449,125819684.69999999,129175997.49999999,481848,4.0353991300161045,481831,4.035541507291976,414974,4.685712839840568,82748,23.49844104993474,8640,225.0519675925926,1440,1350.3118055555556
2026-06-06,575771,104406161.0,15201001.0,225512,2.553172336727092,225505,2.5532515908738165,205535,2.801328240932201,66576,8.64832672434511,8595,66.9890634089587,1440,399.8409722222222
2026-06-07,533306,122007649.50000003,44379484.60000001,197580,2.6991902014373923,197573,2.699285833590622,180264,2.9584720188168463,60600,8.800429042904291,8536,62.47727272727273,1440,370.3513888888889
2026-06-08,1860078,229787270.70000002,174510902.1,501824,3.706634198444076,501809,3.7067449966022927,431404,4.311684638992684,82801,22.46443883527977,8638,215.3366520027784,1440,1291.7208333333333
