dt,cancels,vol_bid,vol_ask,1ms_windows,1ms_cancels_per_window,10ms_windows,10ms_cancels_per_window,100ms_windows,100ms_cancels_per_window,1s_windows,1s_cancels_per_window,10s_windows,10s_cancels_per_window,60s_windows,60s_cancels_per_window
2026-06-09,2609287,297558790.70000005,255421718.20000002,531831,4.9062333711272945,531817,4.9063625269594615,447292,5.833520384893984,80911,32.248853678733425,8435,309.3404860699467,1407,1854.5039090262972
2026-06-10,2617857,277481718.8,272376531.4000001,556175,4.706894412729806,556147,4.707131387924416,468676,5.585643386902679,83139,31.48771334752643,8639,303.0277809931705,1440,1817.95625
2026-06-11,2755676,255182683.39999998,234070594.89999995,584726,4.712764611117001,584713,4.712869390624118,490950,5.612946328546696,83698,32.92403641664078,8640,318.9439814814815,1440,1913.6638888888888
2026-06-12,2092448,179420091.8,165572026.00000003,499248,4.1911995641444735,499239,4.191275120733756,422983,4.946884390152796,78730,26.57751809983488,8630,242.46210892236385,1440,1453.088888888889
2026-06-13,343268,16542398.600000001,17461299.7,142780,2.4041742540972124,142778,2.4042079311938815,132241,2.5957758940116906,52741,6.508560702299919,8536,40.21415182755389,1440,238.38055555555556
2026-06-14,572382,28224925.8,26185073.199999996,210391,2.7205631419594947,210381,2.720692457969113,191103,2.9951492127282147,63070,9.0753448549231,8594,66.6025133814289,1440,397.4875
2026-06-15,1488148,116196244.9,92853411.0,426848,3.4863651698028337,426817,3.486618386802775,372074,3.9996022296639917,81616,18.233532640658694,8639,172.2592892695914,1440,1033.4361111111111
2026-06-16,2116856,174101817.89999998,166357577.39999998,487049,4.346289593038893,487022,4.346530546874679,417410,5.071407009894348,82405,25.688441235361932,8639,245.03484199560134,1440,1470.0388888888888
2026-06-17,2608542,212858072.29999998,218068912.59999996,522757,4.989970483417726,522705,4.990466898154791,444364,5.870282021045809,83433,31.265110927330912,8640,301.9145833333333,1440,1811.4875
2026-06-18,2142099,152118747.8,136887737.89999998,471373,4.544382049884062,471335,4.544748427339366,406199,5.273521106649697,83216,25.741431936166123,8640,247.928125,1440,1487.56875
2026-06-19,1298153,50574706.699999996,61165498.7,365186,3.5547720887438183,365154,3.555083608559676,324134,4.00498867752226,79807,16.266154597967596,8640,150.24918981481483,1440,901.4951388888888
2026-06-20,722977,23853175.2,12608918.299999999,243170,2.9731340214664637,243156,2.973305203244008,220581,3.2776032387195633,68579,10.542250543169192,8620,83.87204176334107,1440,502.0673611111111
2026-06-21,532764,20711483.200000003,10734153.7,182220,2.9237405334211393,182211,2.923884946572929,165391,3.221239366108192,58408,9.121421723051636,8624,61.776901669758814,1440,369.975
2026-06-22,2452645,236992177.9,145339659.5,529499,4.632010636469569,529466,4.632299335556957,449987,5.450479680524104,83273,29.453064018349284,8640,283.8709490740741,1440,1703.2256944444443
2026-06-23,4013836,419817370.2,311180293.3,674792,5.948256647974487,674720,5.948891391984823,558681,7.1844863168785045,85578,46.90266189908621,8640,464.5643518518518,1440,2787.386111111111
2026-06-24,3738405,390216072.00000006,309178221.5,667927,5.597026321738753,667859,5.597596199197735,552447,6.766993032815818,85478,43.7352886122745,8640,432.6857638888889,1440,2596.1145833333335
2026-06-25,5123002,493501676.0,469588243.59999996,682490,7.506340019633988,682430,7.506999985346482,561396,9.125469365652766,85474,59.93637831387323,8640,592.9400462962963,1440,3557.6402777777776
2026-06-26,4722331,450766532.90000004,449842086.3,662801,7.124809709098206,662735,7.125519249775551,548188,8.614437017957343,84531,55.865079083413185,8640,546.5660879629629,1440,3279.396527777778
2026-06-27,463979,33412035.099999998,28407983.4,148154,3.1317345464854136,148147,3.1318825220895463,135484,3.4246036432346254,49894,9.29929450434922,8169,56.79752723711593,1379,336.46047860768675
2026-06-28,761962,44712208.699999996,48489754.900000006,221453,3.440739118458544,221438,3.4409721908615505,199201,3.8250912395018095,60412,12.612759054492486,8601,88.5899314033252,1440,529.1402777777778
2026-06-29,4478494,473217752.6,485950355.9,625730,7.1572307544787686,625655,7.158088723018277,520471,8.60469459393511,83883,53.38976908312769,8640,518.344212962963,1440,3110.0652777777777
2026-06-30,3404182,283895127.2,358743556.4,548118,6.210673614075801,548055,6.2113875432210275,461609,7.374600581877736,82436,41.2948469115435,8639,394.04815372149557,1440,2364.0152777777776
2026-07-01,3860584,382649953.49999994,437075090.4,614299,6.284535706553323,614227,6.285272383011493,511232,7.551530420630947,84185,45.858335808041815,8640,446.82685185185187,1440,2680.961111111111
2026-07-02,6465007,859560862.9,706801851.9999999,771775,8.376802824657446,771682,8.37781236312367,623057,10.376268944895893,85772,75.37432961805717,8640,748.2646990740741,1440,4489.5881944444445
2026-07-03,2281646,146740455.59999996,107766773.20000002,367988,6.200327184582106,367950,6.200967522761244,314680,7.250686411592729,71623,31.856331066836074,8632,264.3241427247451,1440,1584.4763888888888
2026-07-04,409826,25751687.099999998,19746852.1,128687,3.1846728884813538,128681,3.1848213800017096,120064,3.4133961886993602,51375,7.977148418491484,8576,47.787546641791046,1440,284.6013888888889
2026-07-05,552915,32197620.499999996,27038161.1,173656,3.1839671534528033,173656,3.1839671534528033,160615,3.4424866917784764,59362,9.314291971294768,8617,64.16560287803179,1440,383.96875
2026-07-06,4122903,396461891.59999996,425977475.4,616931,6.6829240222974695,616929,6.682945687429186,521803,7.901263503659427,84204,48.96326777825281,8640,477.1878472222222,1440,2863.1270833333333
2026-07-07,5944984,649296432.9,563933089.5,713346,8.333941733744915,713345,8.333953416649727,591177,10.056182835259152,85606,69.44587996168492,8640,688.0768518518519,1440,4128.461111111111
2026-07-08,7762631,700165307.0,676723669.3,832849,9.320574317793502,832843,9.320641465438264,674286,11.512371604927287,86342,89.90561951309907,8640,898.452662037037,1440,5390.715972222222
2026-07-09,6388186,460991452.9,478616965.7,784188,8.146242992751738,784183,8.146294933708075,641673,9.955516283215905,86338,73.99043294957029,8640,739.3733796296297,1440,4436.240277777778
2026-07-10,5813948,486141522.7,434195580.59999996,710170,8.186698959404087,710170,8.186698959404087,586692,9.90971071703722,85532,67.97395126970022,8640,672.9106481481482,1440,4037.463888888889
2026-07-11,966995,39239654.300000004,37746698.1,279023,3.4656462012092195,279022,3.465658621900782,255690,3.781903867965114,77206,12.524868533533663,8633,112.0114676242326,1440,671.5243055555555
2026-07-12,1222886,52821463.199999996,51894531.199999996,279778,4.370915511584185,279777,4.370931134439214,254442,4.806148356010407,76563,15.972284262633387,8640,141.53773148148147,1440,849.2263888888889
2026-07-13,7055737,622572626.4,570048161.2,776823,9.082811657224362,776821,9.082835041792125,636384,11.087231922864182,86192,81.86069472804901,8640,816.6362268518518,1440,4899.8173611111115
2026-07-14,6796633,557738503.9,520621457.6000001,715087,9.504623912894514,715086,9.504637204476104,589785,11.523916342395959,85671,79.33411539494111,8640,786.647337962963,1440,4719.884027777778
2026-07-15,5885992,506860091.9,462548603.8,658250,8.941879225218383,658250,8.941879225218383,552008,10.662874451094911,85444,68.88713075230561,8640,681.2490740740741,1440,4087.4944444444445
2026-07-16,6722252,663399297.5000001,624519260.0999999,721462,9.317541325807873,721462,9.317541325807873,596979,11.260449697560551,85882,78.27311893062574,8640,778.0384259259259,1440,4668.230555555556
2026-07-17,9553150,912241335.5,875968879.0,769481,12.415056382158884,769479,12.415088650892358,630353,15.155238414031503,85920,111.18656890130354,8640,1105.6886574074074,1440,6634.131944444444
2026-07-18,713533,40599462.3,39924380.8,210823,3.3845121262860314,210823,3.3845121262860314,192577,3.705182861920167,62406,11.433724321379355,7926,90.02435023971739,1324,538.9222054380665
2026-07-19,1458092,77404038.10000001,82418957.9,273981,5.321872684602217,273980,5.321892108913059,244599,5.961152743878757,70261,20.75250850400649,8637,168.81926594882484,1440,1012.5638888888889
2026-07-20,7283216,604552766.3,594226389.3,696591,10.455512632233262,696590,10.455527641797902,576930,12.624089577591736,85018,85.66675292291045,8640,842.9648148148148,1440,5057.788888888889
2026-07-21,5340628,473719647.20000005,471181345.8,639146,8.355881128881352,639144,8.355907275981625,538609,9.91559368670037,85720,62.30317312179188,8640,618.1282407407407,1440,3708.7694444444446
2026-07-22,6661057,602306977.7,582161813.9,734457,9.069362808169846,734457,9.069362808169846,607620,10.962537441163885,86116,77.34981884899437,8640,770.9556712962963,1440,4625.734027777778
2026-07-23,8798274,908156709.2999998,906756373.5000001,768909,11.442542615576096,768907,11.442572378714202,627911,14.011976219559779,86012,102.29123843184672,8640,1018.31875,1440,6109.9125
2026-07-24,8555464,940515862.2,901566971.8000001,741659,11.535576322811426,741657,11.53560743038898,606156,14.114294010122807,85311,100.28559036935448,8640,990.2157407407408,1440,5941.294444444445
2026-07-25,767821,56395278.0,45497931.599999994,213824,3.5909018632146066,213824,3.5909018632146066,195290,3.931696451431205,66491,11.547743303605,8628,88.99177097821048,1440,533.2090277777778
2026-07-26,1372004,68551455.2,64588976.599999994,266014,5.15763831978768,266014,5.15763831978768,236538,5.800353431583932,69092,19.857639089909107,8638,158.8335262792313,1440,952.7805555555556
2026-07-27,11938028,1185836418.9999995,1101279040.5,769842,15.507114446860525,769841,15.50713459012965,622542,19.17626120004755,85727,139.25633697668178,8640,1381.7162037037037,1440,8290.297222222222
2026-07-28,16560489,1827033343.4,1736296050.0999997,879868,18.821560734110115,879868,18.821560734110115,700141,23.653077023056785,86204,192.10812723307504,8640,1916.7232638888888,1440,11500.339583333332
2026-07-29,21732296,2469414480.6000004,2359559986.7,943596,23.03135663991793,943596,23.03135663991793,741881,29.293506640552867,86385,251.57487989813046,8640,2515.312037037037,1440,15091.872222222222
2026-07-30,13826517,1141505211.2,1080795731.6,842918,16.403157839789873,842916,16.403196759819483,672202,20.568991166345832,82265,168.07289855953323,8232,1679.6060495626823,1373,10070.296431172615
2026-07-31,15451188,1463728785.1,1431024775.6000001,843723,18.313105130475286,843722,18.313126835616472,675601,22.87028586399369,85999,179.66706589611508,8640,1788.3319444444444,1440,10729.991666666667
2026-08-01,1344581,76820699.2,80502300.50000001,263913,5.094788812980035,263913,5.094788812980035,235730,5.703902770118356,68979,19.49261369402282,8628,155.83924432081594,1440,933.7368055555555
2026-08-02,2903103,160479102.49999997,154920304.09999996,409593,7.087774937559968,409593,7.087774937559968,354092,8.1987251900636,78801,36.840941104808316,8640,336.0072916666667,1440,2016.04375
2026-08-03,12003152,1142647465.9000003,1123030487.3999999,796716,15.065785047620482,796716,15.065785047620482,645552,18.593625300518006,86051,139.48881477263484,8640,1389.2537037037036,1440,8335.522222222222
2026-08-04,11475156,946387345.7000002,960562562.9999998,817341,14.03961871483261,817341,14.03961871483261,661869,17.337503342806507,86279,133.00056792498754,8640,1328.1430555555555,1440,7968.858333333334
2026-08-05,11584903,886103723.5999999,930699629.1,796008,14.553751972341987,796007,14.553770255789209,645075,17.95900166647289,86263,134.29747400391824,8640,1340.8452546296296,1440,8045.071527777778
2026-08-06,10785192,925607100.2,936089958.4999999,763487,14.126228737358986,763487,14.126228737358986,620685,17.37627298871408,85893,125.5654360658028,8640,1248.286111111111,1440,7489.716666666666
2026-08-07,9028265,880264120.0,866706159.1,693791,13.01294626191461,693790,13.012965018233183,570686,15.82002186841801,84774,106.49804185245476,8640,1044.9380787037037,1440,6269.628472222223
2026-08-08,806916,48405149.7,47512061.9,208603,3.8681898151033303,208602,3.868208358500877,191730,4.208605851979346,66914,12.059001105897122,8628,93.52294853963839,1440,560.3583333333333
2026-08-09,860381,67930740.3,62102179.800000004,201062,4.279182540708836,201062,4.279182540708836,184064,4.674357832058415,64933,13.250288759182542,8633,99.66187883702074,1440,597.4868055555555
2026-08-10,7827551,736467320.5999999,774788311.9,646923,12.099664102219275,646922,12.099682805655087,537673,14.558199872413159,85134,91.94388845819532,8640,905.966550925926,1440,5435.799305555555
